;logFC;AveExpr;t;P.Value;adj.P.Val;B
lnc-ID1-1;1.33849300000003;7.2740285;5.42331348477571;0.000826325350915696;0.00986220797879889;-0.38023607398808
LINC00537;1.20295000000002;9.1858175;5.41441453340148;0.000834572211214885;0.00992480478516694;-0.390768728891791
SLC48A1;1.44857874999996;11.593603625;5.4058688529685;0.000842577520108771;0.00998409061462222;-0.400894096706057
TAS2R10;1.15142949999999;5.53874775;5.37161760911056;0.000875526816896742;0.0101918720304952;-0.441583501474312
LINC02249;1.43195550000003;7.01817675;5.3622425012262;0.000884792325267927;0.0102277755505224;-0.452750667134502
lnc-B3GAT2-3;1.16324399999999;6.268885;5.36095630443263;0.000886071927511319;0.0102277755505224;-0.454283722745198
lnc-FBXO15-4;1.34545499999996;5.0375955;5.35913019687652;0.000887892190865069;0.0102277755505224;-0.456460729037929
lnc-KIAA0226-3;1.24866100000003;8.0656235;5.35211731430329;0.000894921181240434;0.0102729493929891;-0.464825713941431
lnc-AF131215.3.1-1;1.74613950000007;7.34991875;5.33091303149299;0.000916551380089233;0.0104486857330173;-0.490162004668958
TMEM178B;1.25617175000001;8.109071375;5.31611954450346;0.000931984346631699;0.0105881108246199;-0.507877251099576
SCARNA3;1.25281000000003;6.2516425;5.30258382883036;0.000946357259022066;0.0107145791038594;-0.524114435898717
LOC100190986;1.44239850000005;8.63512525;5.29348630611161;0.000956155152006946;0.0107885629096756;-0.53504276700991
EDA;1.27940150000002;5.22858025;5.2838050909867;0.00096670503035183;0.0108336502723497;-0.546685613819417
LOC389602;1.14581750000002;5.8527755;5.27036160590424;0.000981568807494016;0.0109630624242406;-0.562875915724438
lnc-FAM133B-1;1.90333250000008;5.80768875;5.26696670309031;0.000985362216640113;0.0109632615745603;-0.56696868360984
ANGPTL4;1.23918149999998;12.38697675;5.25155830632197;0.0010027842071123;0.0110015876622591;-0.585565813513439
JAKMIP3;1.92962550000009;6.62741325;5.24545522192697;0.00100977875956034;0.0110015876622591;-0.5929415951233
SNORA13;1.2400705;7.17927075;5.24523292497852;0.00101003454285378;0.0110015876622591;-0.593210352128859
GFRA1;1.14967624999999;10.930543375;5.24383885616465;0.00101164024480544;0.0110015876622591;-0.594895947521256
lnc-PAPSS2-2;1.49611650000002;6.05466075;5.23043613787663;0.00102722238579167;0.011134417073532;-0.61111606734832
RNA5-8SN5;1.1611575;11.16410625;5.20886278855621;0.00105286382074314;0.0111677156687475;-0.637280113048221
GOLGA8R;1.19904750000002;8.1654925;5.20731489376126;0.0010547306119342;0.0111677156687475;-0.639160037880597
CDH16;2.1569374999999;8.91781025;5.20334933599912;0.00105952985770807;0.0111677156687475;-0.643977842301422
MANCR;1.25725200000003;6.699371;5.19856593742231;0.00106535100921644;0.0111677156687475;-0.649792348521071
LINC01268;1.2154405;5.33750475;5.19611385028357;0.001068348764728;0.0111677156687475;-0.652774319998682
WI2-87327B8.2;1.17109550000002;6.75587575;5.19302832769668;0.00107213416293012;0.0111677156687475;-0.656527874424683
TMEM212;1.15471150000002;14.92827775;5.1870422356312;0.00107952038000699;0.0111677156687475;-0.663814008733818
P3H2;1.27280349999997;14.66096025;5.18628412745226;0.00108045981002861;0.0111677156687475;-0.664737139426379
RPS15AP10;1.3130785;6.40750875;5.15859208838454;0.00111540184454755;0.0114372400603153;-0.698515502661842
lnc-SLC15A1-1;1.13952600000002;8.4191385;5.15604325201308;0.00111868018065253;0.0114372400603153;-0.701630256604322
ANKRD36C;1.22713175000003;8.043500625;5.15432900799822;0.00112089104039388;0.0114372400603153;-0.703725656448305
LOC100335030;1.16364700000002;5.5310025;5.14832910830142;0.00112866718551685;0.0114551094644764;-0.711063049071358
MIR181A1HG;1.21738100000002;6.670224;5.14763378768068;0.00112957219764649;0.0114551094644764;-0.711913715820854
KIAA0754;1.42651400000005;7.4642005;5.14120983522279;0.00113797145491173;0.0115049958102085;-0.719776283685401
MEX3A;1.36714650000002;8.60225625;5.13392932778436;0.00114757410421696;0.0115315501171467;-0.728694644175139
FSTL3;1.09595199999999;9.245841;5.10428689855001;0.00118760508663282;0.0118616991432269;-0.765086983685649
LINC02256;1.10790599999999;7.4712835;5.09427800604088;0.00120146782037975;0.0118676843111248;-0.777404567565655
LOC105377137;1.68980849999994;7.60158975;5.09349251464015;0.00120256329226461;0.0118676843111248;-0.778371875544568
lnc-TRIM16-1;1.26715300000004;6.1665215;5.07513503802936;0.00122848171159;0.0119087921091105;-0.801004739559986
LINC00566;1.11056799999998;5.0462105;5.07214806635263;0.00123275694540985;0.0119087921091105;-0.804692122655311
MAP3K14;1.08919649999999;10.40411475;5.07183406342543;0.00123320732844765;0.0119087921091105;-0.805079833123571
ITGB2;1.15577875000002;7.439153875;5.07029543609843;0.00123541684962936;0.0119087921091105;-0.806979843243692
lnc-RABEPK-1;1.09398850000001;6.10701125;5.07020546466587;0.0012355461867589;0.0119087921091105;-0.80709095752084
STARD13;1.11890075000001;7.449855875;5.06655742610353;0.00124080297476221;0.0119168573388574;-0.811597285339818
XLOC_l2_010348;1.11826450000002;6.59551825;5.05966565154572;0.00125080142062418;0.0119168573388574;-0.82011594085866
SNORD89;1.10649449999999;7.71188475;5.05476806543325;0.00125796075284237;0.0119454560342371;-0.826173970392247
PDE7A;1.13923225000002;5.765185875;5.05267806016332;0.00126102969024464;0.0119454560342371;-0.828760276711207
KIRREL1-IT1;1.16212000000002;5.6504055;5.04321868565552;0.00127502336945106;0.0119596926131799;-0.840474077848764
CERS1;1.1519995;9.52567325;5.04058340586694;0.0012789522978343;0.0119596926131799;-0.843739799460755
lnc-LRRC61-1;1.11261749999998;7.03773275;5.03604692070065;0.00128574703951573;0.0119596926131799;-0.849363987664518
UNC80;1.09862450000002;8.26195575;5.03271876345567;0.00129075726513363;0.0119596926131799;-0.853492087665097
LOC114224;1.15774050000002;7.65431825;5.02714416849891;0.00129919759244299;0.0119596926131799;-0.860410283386642
TET1;1.11021149999998;8.89665525;5.02525815746386;0.00130206690891381;0.0119596926131799;-0.862751917755475
NAT8;2.48784499999987;7.709947;5.02508816413069;0.00130232587439346;0.0119596926131799;-0.862963004306617
HYMAI;1.17381549999997;7.78451025;5.02009256679416;0.00130996151318767;0.011996489647087;-0.869168140357422
BTNL2;1.16297400000003;6.2227575;5.01389323236;0.00131950574846285;0.0120505138243596;-0.876873659193082
lnc-PAK2-1;1.06732600000001;7.5798195;5.00631928958517;0.00133127047042864;0.0121244632926641;-0.88629557221893
lnc-ELTD1-6;1.07077700000002;9.7521165;4.99971865359001;0.00134161768647092;0.0121363066224165;-0.894513709996351
lnc-TFB2M-2;1.98683900000009;5.5047045;4.99624583420985;0.00134709727807148;0.0121363066224165;-0.898840173699165
STAP2;1.07587849999999;7.85885975;4.99351564366264;0.00135142243421871;0.0121363066224165;-0.902242734346758
SNORA36A;1.16822850000001;6.47480225;4.99211552867652;0.00135364642642072;0.0121363066224165;-0.903988092265165
lnc-AC004980.12.1-1;1.27069499999999;5.041338;4.99061448529817;0.00135603521873308;0.0121363066224165;-0.905859592157481
TNFAIP8L1;1.05930300000001;12.5663545;4.98883774299404;0.00135886877108017;0.0121363066224165;-0.908075269924775
LOC100505912;1.13663800000002;6.997465;4.98499177932988;0.00136502470119384;0.0121363066224165;-0.912872981522996
LOC101928837;1.10446199999999;5.52294;4.9846272174585;0.00136560981958226;0.0121363066224165;-0.913327875427512
SUSD3;1.15675649999997;10.30498925;4.96626453079342;0.00139544243791871;0.0123351141704793;-0.936266310563654
SNAPC1;1.06601949999999;11.059604;4.93980505069823;0.00143969998265386;0.0125280049957746;-0.96940818579367
FOXN3-AS1;1.22912149999996;7.65303475;4.93962841899325;0.00144000057422696;0.0125280049957746;-0.969629779602283
lnc-EBPL-2;1.56395950000007;8.05357525;4.9333714862303;0.00145069334345311;0.0125332660116548;-0.977482457604178
NPIPA2;1.62365850000007;6.54522775;4.93100701944473;0.00145475683852624;0.0125332660116548;-0.980451481496427
NUAK2;1.59994799999993;11.189482;4.91380298224281;0.00148470337442142;0.0127491671580188;-1.00207963341034
lnc-PHF2-1;1.23181150000004;6.76016175;4.90347018533988;0.00150301528600766;0.012839711978143;-1.01509096811231
LOC105375282;1.63317099999993;8.7448995;4.89469316302353;0.00151876548003494;0.0129075544395771;-1.02615585100208
SNORD98;1.19271750000003;5.50207675;4.88822371777024;0.00153049110420822;0.0129681904011341;-1.03431907722622
SNORA6;1.10479650000003;8.78965175;4.87105825753072;0.00156208872864898;0.0131646311446797;-1.05600921668925
TMEM56;1.15866050000001;7.27773775;4.86484538990804;0.00157370159672762;0.0131646311446797;-1.06387068731195
AKR1B1;1.38576649999997;14.21159625;4.86184690070529;0.00157934023378912;0.0131646311446797;-1.06766691558014
AMZ1;1.04144600000001;12.881176;4.86138411030431;0.00158021248686235;0.0131646311446797;-1.06825295068012
TSSC2;1.13182400000003;8.7479245;4.85847399125405;0.00158570955339457;0.0131646311446797;-1.07193879682015
SNORA1B;1.17373800000003;7.8647455;4.84472730200617;0.00161196242117454;0.0132706364403235;-1.08936708807526
SNORA64;1.0810115;9.10692825;4.84058440124853;0.00161996787799609;0.0132706364403235;-1.0946251164893
SNORA41;1.15736499999998;6.5637085;4.83812547560163;0.00162474001770306;0.0132706364403235;-1.0977471250259
CPA6;1.23405299999999;8.0016425;4.83556418062409;0.00162972728214499;0.0132706364403235;-1.10100007771569
lnc-SLC38A6-1;1.38715550000005;5.96483675;4.82348652287958;0.00165347254630559;0.0133961554817408;-1.11635254587429
lnc-LRIG2-4;1.08083050000002;7.43796825;4.821994966243;0.00165643132789537;0.0133961554817408;-1.11825005884204
KCNJ16;1.50072799999993;9.303713;4.81799690715903;0.00166439099431099;0.0134206747004686;-1.12333792353541
lnc-KLRG2-1;1.87736350000009;7.09143075;4.81334571111763;0.00167370396591726;0.0134484401680641;-1.12925999449184
LINC01910;1.06976149999999;8.18374075;4.81221820711689;0.00167597016008542;0.0134484401680641;-1.13069606490318
LRP11;1.050787;6.27175525;4.79534314374544;0.00171029406367732;0.0135826258758466;-1.15221228567941
LOC100506271;1.0167285;9.42792025;4.79391459980237;0.0017132350242674;0.0135826258758466;-1.1540356960358
ANKRD36;1.07594516700002;8.1705850835;4.77516684420608;0.00175235102001239;0.0138097558994932;-1.17799410469755
lnc-ZNF236-1;2.34880299999989;9.1521285;4.77423390322699;0.00175432302683378;0.0138097558994932;-1.17918772850194
MZT2A;1.08375049999999;6.87981325;4.77094822929118;0.00176128758081896;0.0138097558994932;-1.18339253356941
XLOC_l2_004595;1.11752200000003;7.838268;4.76825736021305;0.00176701398523624;0.0138097558994932;-1.18683735791091
CECR7;1.12383575000003;6.837009875;4.76710884838539;0.00176946434816685;0.0138097558994932;-1.18830800449491
NEK10;1.07546849999999;7.31206625;4.76498372153704;0.0017740081863783;0.0138097558994932;-1.19102971251425
lnc-DKK4-1;1.26544300000004;6.3989845;4.76438001082729;0.00177530134824096;0.0138097558994932;-1.19180302571086
ABCB1;1.46911449999994;5.20835075;4.7417103098239;0.00182461838863251;0.0141269049012156;-1.22088124504739
lnc-IL4R-1;1.05665050000002;9.69312925;4.73618322789948;0.0018368693583615;0.014155454775625;-1.22798255298119
SNORA11C;1.0341415;8.63603025;4.73220010193178;0.00184575413120211;0.0141728150298748;-1.23310301590343
DUSP5P1;1.40843450000004;5.80221825;4.72776450684661;0.00185570379238147;0.0141728150298748;-1.23880796605589
SNORA81;1.28385749999999;7.58928175;4.72751283701588;0.00185627008709492;0.0141728150298748;-1.23913174652963
C3;1.64579074999992;7.721787625;4.71590746571907;0.00188259129532589;0.0143076938444767;-1.25407278498094
FXYD2;2.02497074999989;9.675467125;4.71034781270213;0.0018953457323641;0.0143646133360646;-1.26123762708551
LOC401261;1.05279400000002;5.70064075;4.68296446544093;0.00195956674599361;0.0147035697477838;-1.29659527230146
PALM;1.46460599999993;10.4871155;4.68035383974115;0.00196581301528143;0.0147035697477838;-1.29997205310913
AGPAT4-IT1;1.53430400000007;8.0572255;4.65484683398728;0.00202800539711218;0.0149899224889793;-1.33301892287834
PLAC8;1.15697599999996;11.4165995;4.65351874013464;0.0020313022610595;0.0149899224889793;-1.33474229306948
LOC107985200;1.33054250000006;9.18523225;4.65112948208738;0.00203724818335918;0.0150003173589876;-1.3378433292379
COL4A1;1.01290050000001;11.14657225;4.64877414479392;0.00204312839349557;0.0150101832642141;-1.3409011834846
ZSWIM4;1.07129999999997;8.83541;4.64083445342468;0.00206308784997484;0.0151029494612068;-1.35121518829427
SNORA5A;1.06052750000001;7.37486975;4.64012091228782;0.00206489206184678;0.0151029494612068;-1.35214257563603
lnc-DZIP1-3;1.8474200000001;5.9116095;4.63646012643751;0.00207417574865566;0.0151339368775159;-1.35690169775947
SNHG4;1.09668425000003;6.562074625;4.62415874602893;0.00210570893728867;0.0152467525828048;-1.37290865863804
SNORD64;1.17283800000002;6.2121485;4.61414150516068;0.00213177568527639;0.0153304637371504;-1.38596030384854
CRLF1;1.50444949999993;9.17751275;4.61044916045834;0.00214147298263857;0.0153304637371504;-1.39077494874522
COL12A1;1.13302474999997;8.875463375;4.60962437038288;0.00214364575508799;0.0153304637371504;-1.39185071771849
MED14;1.006582;9.6894165;4.608350287476;0.00214700686941943;0.0153304637371504;-1.39351269863553
CCDC80;1.08981799999997;8.749054;4.59654691083581;0.00217842125497777;0.0155212514417166;-1.40892129727573
TYSND1;1.035175;7.385678;4.58804731149392;0.00220135487184643;0.0156173373526273;-1.420030037829
MIR181A2HG;1.05630849999997;6.33397125;4.57421798931621;0.00223923704498803;0.0157844726454807;-1.43812787901331
TBILA;1.05957200000003;6.5678305;4.55020552314794;0.00230672281750393;0.0159373627634919;-1.46962050459588
NAT8B;1.90136799999989;6.2526105;4.54430796121507;0.00232363654786608;0.0159426314581085;-1.47736852498533
TRIM38;1.02782699999998;8.5975175;4.53774839804751;0.00234260866337609;0.0160103598191823;-1.48599241937073
KRT81;1.11061849999997;15.16282225;4.53162364976493;0.00236047650065931;0.0160901758993395;-1.49405051446199
