,GSM758901,GSM758908,GSM758921,GSM758928,GSM758961,GSM758973
NEK4,-0.69290876,-0.39307308,1.248642,-0.50205135,-0.16636181,-0.76225567
RASL10B,0.09954405,0.4018321,-0.55871916,1.1517029,-1.5484118,0.1936717
TNFRSF9,1.6548433,0.38370323,-2.566705,-0.41891003,0.56748676,3.2244368
FBXO38,-0.44062233,-0.17460251,-0.48331356,-0.4132557,1.0483828,-0.120202065
HTR1D,1.0405501,-0.523828,3.1036482,0.10155022,0.34272468,-0.32287657
STYX,0.17383194,0.05298519,-2.0504618,0.3844285,-1.1195855,-0.023134708
HTR1A,-0.09350574,-0.26608837,6.29025,-0.34739828,0.08164692,-0.07470703
RFXANK,-0.16992664,-0.11618328,-0.43091202,0.27175426,-0.012767792,-0.31580925
FBXO32,0.014435768,-0.38054562,1.065342,0.7093353,1.9195061,0.39154625
C6orf15,-0.22379601,0.08609271,0.7972388,-0.018026471,-0.65467286,-0.29328907
DRAP1,0.6708355,0.43655586,0.9895544,0.9500084,0.9068985,-0.37956238
SON,-0.10695839,0.006572723,0.22235346,0.1263237,1.0221472,0.23046494
VNN3P,-1.6277103,-1.4087274,0.5746107,-0.39211416,-2.2182393,-1.7528569
SP2,-0.094516754,0.018989563,0.1452961,0.4111123,1.1104021,0.09064579
SP3,-0.78734875,-0.46999264,-0.50087833,0.13023376,-0.052049637,-0.43375397
MNAT1,-0.22051239,0.096328735,0.09098339,0.5632038,0.50486183,0.07571411
LRCH3,0.09906435,-0.5606897,0.10355878,-0.9038923,-0.7999904,0.7875488
BCAR3,1.0897312,1.0422802,2.0110931,1.559267,3.9642324,1.2807379
ALAS2,0.5540352,0.23404789,-0.42975044,-0.21694374,-0.12418413,0.6242089
BMP10,0.10828185,0.088886976,-0.0353446,-0.30095196,-1.2391033,0.48703957
LINC02762,1.3573108,0.33776903,-0.3325076,1.1507449,0.3527751,1.5203042
PIWIL4,0.07445812,-0.36517763,-0.001912117,0.052887917,0.49059868,1.1360979
ALAS1,0.44756556,0.51277924,0.5920625,0.48333168,0.93857384,1.4789171
LRRC37BP1,-0.10759926,0.28258133,-0.08036327,0.15373707,0.42779827,-0.27338123
DYSF,3.0780783,2.1712198,0.23409176,1.3361673,1.864151,2.1131783
BICD1,-0.38463402,-0.2224915,-1.1167061,-0.3384273,-0.12845278,-0.05379629
TNFSF13B,0.32556915,-0.43471146,-0.45932865,0.35165405,0.17985153,-0.001523972
UNC80,-0.49991006,0.2867024,1.5534549,0.7086916,-0.6949916,-0.67527616
SPR,0.77887726,0.65462494,0.62585926,0.5109291,1.8870478,0.49911022
BOC,0.14604592,-1.0673206,0.8866775,0.09516764,1.1687889,0.094112635
SPDYE1,0.34044933,0.13187337,-0.9498403,0.24837375,-1.4121492,-0.016652822
SPDL1,0.15456533,0.4425316,-0.8239708,-0.23476362,0.5483999,-0.044806004
NEO1,1.2631497,0.43100858,-0.06824732,-0.19589043,1.6366186,1.5391717
BCAS2,-0.6197481,-0.2864027,-0.4614954,-0.39448452,-0.10932636,-0.42474556
MBL2,-0.49901485,-0.4170463,6.950618,0.5488069,-0.13158345,1.7119794
UNC45A,0.37458992,-0.16810751,0.31091642,0.5666256,-0.1846652,-0.5879164
CERS3,-0.5838981,-0.38380384,1.5798227,0.6552125,-1.1876655,-0.6956835
CERS4,0.27036858,-1.1125069,3.035449,-0.8019538,-1.2886066,0.3012643
BCAS3,0.051486015,-0.12252283,0.85756254,-0.14433765,0.5009928,0.06572342
UNC45B,-0.40611625,-1.0172281,0.9483063,0.14075923,-0.8355839,0.23343754
SLC36A2,-0.56019527,-0.4606852,6.545695,0.5062791,-1.0921459,0.91079867
VPS13D,-0.42089748,-0.39145088,0.88610554,0.28667355,0.34307575,0.009958744
VPS13A,0.074650764,-0.42788458,-1.3287883,-0.027526855,0.62237835,0.005493641
HTR3D,0.63463163,-0.6460093,1.448822,0.2938143,-0.6449127,-1.039224
VPS13B,-1.0991836,-1.6829953,-0.28022432,1.5669947,-1.5997767,-0.4767785
HTR3A,1.1996422,-0.06458092,-0.34614348,0.57502866,-0.23603916,-0.044627428
CES4A,-0.5154648,-1.4858289,1.7522802,0.89637566,0.76665497,-0.1273303
MSL1,0.111130714,0.08510876,0.23037529,0.008034706,1.4002886,-0.008034706
C1D,-0.050302505,-0.18807793,-0.14540482,0.35287285,0.6820507,0.044085503
BPI,0.41695786,-0.7197697,-0.7601042,-1.8895583,-2.0921206,-2.2037342
C1S,0.020730257,0.97592974,-0.31112933,1.1181121,-0.4418044,1.2681375
UHRF2,-0.7288313,-0.15820026,-0.14138556,-1.600965,0.7264652,-0.7148385
C1R,-0.26604104,0.019320488,-0.892292,-1.1542785,-0.059747458,-0.962425
SRF,0.79662085,0.62716293,0.9341922,0.8305092,1.8690696,0.3271885
LRTM2,-0.06444442,-1.0159249,0.96505475,-0.15537453,1.3284454,1.7003608
MLLT1,0.44221878,0.42139053,-0.20737982,0.6559391,-2.5884652,-0.11067486
IL2RG,2.2327576,1.097105,0.6912384,-0.010307312,2.0453663,1.0901232
MALT1,0.518208,-0.59796286,0.050761223,0.17961264,1.0438285,2.0817108
U2AF2,0.71683455,-0.38687277,0.36276674,0.8854532,-0.6726489,-0.22204399
LINC00113,-0.6739595,-0.43855232,1.5331557,0.5992197,-1.3019166,-0.7820353
KCNJ2,-2.4157667,-1.9313531,-0.6970911,-0.55555344,0.15126133,-2.2185001
KCNJ3,-0.39945084,-0.6666358,1.3315566,0.4937892,-1.426894,-0.9659617
NOP56,0.10594368,0.36329842,-0.07372856,0.14686966,0.42735195,-0.05830002
COL26A1,0.41727448,-0.017750263,0.11703396,-0.16134167,-0.37687778,-0.40370417
GPKOW,-0.3519783,-0.39297867,0.03785801,0.16534805,-0.09887123,-0.29696178
PRKCZ-AS1,-1.3392338,-1.8430874,0.12305784,-0.9539077,-0.34110737,-0.5350957
SPDYE3,-0.7030463,-0.14243913,-0.7107506,-0.48625398,-1.0297842,-0.21586275
APLN,1.7548308,2.6882114,-0.5669019,-1.0951114,0.05519581,-1.0993559
GSTZ1,-0.42927933,-0.19669914,-1.3322959,-0.63368225,-0.30971622,-0.6668558
IL2RA,-3.869756,-2.6304023,-2.4794357,0.9152746,-2.1767483,-4.0507684
IL2RB,-0.5653882,-1.6715455,-1.1826124,-0.4049921,-2.223569,-0.070794106
ST7,0.8010621,0.85585165,0.06537533,0.42978477,1.6168375,1.3964548
PDCD1,1.515543,0.8168812,0.9130392,0.62096596,2.7517004,0.5302763
EGFEM1P,1.0113401,1.0105345,0.9033704,-0.14301372,2.7284756,0.9691205
KCNK3,-0.60664773,-0.14336157,-0.35595417,0.33532453,-0.6693835,-0.933969
ENSG00000234352,-0.16252589,-0.4912722,1.4501882,0.6301255,-1.367728,-0.7203767
CERK,1.4247074,0.48148537,2.2467775,2.2047749,1.712676,1.2931738
STH,0.5503435,-0.75265443,1.2758405,0.27873898,-0.45269752,-1.0588582
MT1X,-0.02806282,-0.5572338,-3.0821753,-2.089985,-1.1231403,-0.8756466
RCBTB1,-0.25969362,-0.736238,-0.24813318,1.1555066,-1.6665864,-0.5245609
RCBTB2,-2.2682123,-1.7610521,0.6195326,0.00568676,-1.1438227,-2.723816
LGALS3,1.3395748,0.48665237,-0.35427094,0.08584976,0.28343105,1.0119066
C4A,-0.36239624,-0.2197361,-0.113875866,1.2267632,-1.1015,0.8421664
MT2A,-0.1285429,-0.5386696,-3.7602377,-2.4936504,-1.3788424,-0.54944324
LGALS1,1.1343365,1.2380867,0.12553692,1.1568508,0.94013214,0.82125854
IL36A,0.48185587,0.0610919,0.33938956,-0.38248754,-0.98991466,-0.7621987
IL36B,0.12471199,0.1260016,-0.28626108,-1.0690086,0.18767023,-0.3473823
PEG10,-0.6554174,-0.5451342,1.5795406,0.39522266,-1.3190589,2.8239245
TNFSF10,-3.816053,-3.590394,-2.4749165,-3.4529972,-1.7824316,-4.7782354
TNFSF11,-0.20256138,-0.22975004,1.5429578,0.6308718,-1.3089818,-0.8344642
ATXN7L3,0.37778187,0.24348545,0.37699413,-0.7225971,0.24500275,-0.06377888
LGALS7,0.29609585,0.009039879,0.21972418,0.2886505,-0.8253727,-0.012019634
CER1,-0.55821186,-0.4092744,1.4839171,0.66300976,-1.2123599,-0.71368
QRSL1P1,0.077805996,-0.06832552,0.41296577,0.45880127,0.38629246,-0.10925007
LIMCH1,3.7528257,2.516673,3.1827297,2.4888754,3.6601348,5.2602296
DRAIC,0.9210007,-0.010097265,0.5407114,0.49940395,0.2969699,-0.35224617
ZNF542P,0.07721996,0.21806192,0.2838645,1.258956,1.1989708,-0.15598202
CRISPLD1,-0.71537054,-1.0198095,1.0087907,0.9045491,-0.53958225,-1.3043306
CRISPLD2,-0.95922065,-0.56339383,-1.0530617,-1.8790445,-1.0225177,-2.4288917
NINJ2,-0.91168976,-0.69319344,-4.247664,-1.290185,-0.5889864,-1.1674886
SUB1,0.068143845,-0.46733665,0.520566,0.9232292,1.0097208,0.41883755
NINJ1,-0.7386389,-0.100087166,-2.1545467,-0.62024975,-1.7809095,-1.3724241
GLIS3-AS1,0.23128068,-0.37261474,0.883021,0.68229115,-1.0606898,1.6653701
BTK,0.27368593,0.51451254,-0.017074108,0.47760963,-0.16219425,0.2724905
MT1F,-0.32939625,-0.43688107,-4.655382,-3.2564335,-0.8040447,-0.40570736
KCNQ4,1.0863605,0.5430207,-0.8572216,1.2675161,-4.2140827,-0.24834633
MT1H,0.021155357,-0.43290043,-2.764656,-2.186799,-1.0174646,-0.694664
DOCK9-DT,-0.71455973,-0.6652495,1.3669672,0.35006523,-0.76775,0.7246103
CES3,0.12883735,0.2693808,1.4131968,0.20097089,0.20040631,-0.90284634
CES2,0.26863337,-0.11959839,-0.002948284,-0.33317423,-0.47559023,-0.19570208
CES1,-0.25805426,-0.6743355,-1.0451283,0.11593628,-3.6053562,-1.0303812
GRB7,0.40894413,-0.6920781,-0.079235554,-0.24337292,0.24607706,-0.2634492
CETP,2.1991448,0.7891264,-0.55452037,-0.8744421,0.6943903,2.9806619
AARS1,-0.1841135,-0.39194965,0.36974144,0.8800974,-0.70305157,0.5160303
SDC4,1.0636044,0.57831764,-0.36801052,-0.2628746,0.2810049,1.575675
DHX8,0.05611515,0.023442268,0.046364784,0.21434498,0.21555138,0.06725407
RRAD,0.01873684,-0.14308739,-0.89247894,-0.393651,-0.6756172,0.11612558
SDC2,1.1042185,1.4289875,1.2884912,1.3323884,1.9785581,0.9145322
ZBTB2,-1.6136818,-0.7488518,-0.83236265,0.09593582,0.3776827,-0.9384837
NKAIN3,0.9246261,-0.5821159,0.8025067,-0.110657096,-1.1060028,-1.4883382
H3C1,-1.5838623,0.091882706,0.15395546,0.16610527,-0.13241863,0.00211525
STK38L,-1.1925244,-1.4268513,1.3104258,0.93672657,1.7130408,-0.58185196
H3C3,-0.0680294,-0.2074089,-0.20102692,0.08818436,-0.28933048,-0.13223743
KCNN3,-0.41028172,-0.41301405,1.5987097,0.5585538,-1.2732165,-0.8429279
APOE,1.4899721,0.12432957,-4.4442787,-5.858655,-0.8280773,0.005044937
TNFSF18,-1.0658001,-0.883348,1.088387,1.921849,-1.3224767,-0.54174805
SLC10A4,-0.058212757,0.15886045,1.0360146,-0.003185749,0.9306717,0.29376554
NTNG1,-0.75413346,-0.60248804,1.4714446,0.42751884,-1.3053423,-0.9086989
MSR1,0.7594347,1.2501707,-5.291178,-4.3812594,-2.1201353,0.14224434
XBP1,-0.19960022,-0.026008606,-0.03775692,-0.2509575,0.18856907,-0.45059872
APOBEC3F,0.038887024,-0.026191711,-0.09628582,-0.2574072,0.027190208,-0.32233906
SLC10A7,-0.5873337,0.67273927,1.276227,0.100785136,-1.3838178,-1.2020462
