"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADGRE1",-1.4628364,-1.6929939,-6.13486769235664,0.000587432814369426,0.0265084192386427,0.0514875662241279
"IFITM3",-2.900406875,-3.32890051666667,-6.06803131556077,0.000625542936976451,0.0275001608528295,-0.0159562908248487
"CTSK",-1.66174865,-1.75820685,-6.06648601237968,0.000626456476889189,0.0275001608528295,-0.0175224760153654
"IFI6",-1.870572075,-1.93408933333333,-6.01487637995527,0.000657848552057791,0.0284905819223418,-0.070008073267803
"CXCL2",-3.27808175,-3.40612258333333,-5.97863613629811,0.000680952418259756,0.0287223041622575,-0.107071556220646
"FGD6",-1.07464171,-0.96608583,-5.96962027457855,0.000686841393413332,0.0287223041622575,-0.116319026275477
"HERC5",-2.3447069,-2.17355633333333,-5.96277572931946,0.000691350455589011,0.0287223041622575,-0.123346550194123
"APOL3",-1.1065394625,-1.172597075,-5.94715081506124,0.000701769443771547,0.0287223041622575,-0.139412329960582
"CXCL1",-1.8234371,-1.87050795,-5.90962372518701,0.000727523986855769,0.0293419517948767,-0.178130214988771
"DCHS1",-2.2068214,-2.937773,-5.88864347890875,0.000742385794168014,0.0295717008010259,-0.199857690879573
"MLKL",-1.9597555325,-2.184591205,-5.85606263621367,0.000766148132175232,0.0300816056103102,-0.23371529062866
"ADAM28",-1.5478534925,-1.740238845,-5.85199877813517,0.000769171691569996,0.0300816056103102,-0.23794835796801
"MAP3K7CL",-2.4195679,-2.14644553333333,-5.74410850781583,0.0008545739110019,0.0328247943315194,-0.351144106195835
"GIMAP8",-3.383353575,-3.94310568333333,-5.59088438020055,0.000994820538896249,0.0363505833238554,-0.514629850066942
"SELL",-1.97613145,-2.59311573333333,-5.58200657337704,0.00100370727374759,0.0363872080758043,-0.524201502752446
"C1orf21",-2.958607425,-2.99653513333333,-5.55289460449837,0.0010334806191098,0.0368455825144504,-0.555665667289933
"CLGN",-1.352124615,-1.31154469333333,-5.51244528648084,0.00107651046029668,0.0376397201934981,-0.599579643942864
"PAQR6",-1.3394217575,-1.51431228833333,-5.49849450962391,0.00109181524721825,0.0376397201934981,-0.614778534289306
"FYB1",-1.419273625,-1.32078855,-5.49266530803454,0.00109828249163028,0.0376397201934981,-0.621137346831532
