"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RNF24",1.55747088,1.4600405,7.91263056435582,9.81015406747414e-06,0.00011281329885427,3.62259336009148
"NUP153-AS1",1.91215124,1.99554396666667,7.90881858885593,9.85321016009186e-06,0.000112935639721266,3.61797733420446
"RELA",1.8282225,1.68501941555556,7.87249301129225,1.02739105997626e-05,0.000117133471908601,3.57390514127828
"H6PD",1.56795156,1.67348818888889,7.86421374825513,1.03724886873746e-05,0.000117840967428923,3.56383882357997
"ZMIZ2",1.72141,1.77593147777778,7.85226619115975,1.05165507249118e-05,0.000118642136062685,3.54929834536933
"SYNGR3",3.1985117,2.95645704444444,7.84847037166323,1.05627718474078e-05,0.00011895561384175,3.54467525309344
"VAV2",2.07347832,2.06409422222222,7.84676359736255,1.05836265151025e-05,0.000118982825613165,3.54259595108047
"B4GALNT1",2.59252272,2.5952161,7.8440475319864,1.06169053036285e-05,0.000119149373781417,3.53928636474106
"PIM1",1.70467586,1.83018143333333,7.83176681192013,1.07687942198242e-05,0.000120644147743968,3.52431127591324
"CTRL",1.888382448,1.87371434888889,7.8011703738653,1.11575264392176e-05,0.000124445091741308,3.48692526214452
"RUNX2",2.25982934,2.40483475555556,7.78937531336419,1.13114125125304e-05,0.000125416743888932,3.47248346412729
"GGH",1.54262218,1.42969565555556,7.75892509117591,1.17193933771856e-05,0.000128396002483835,3.43512472733789
"CCL27",1.70986362,1.73411494444444,7.70830865547685,1.24331848256289e-05,0.000134805139138794,3.37278216961487
"JAK3",1.54337254,1.65425661111111,7.70711176785654,1.24506218699397e-05,0.000134805139138794,3.37130432884438
"HEXIM1",1.52220094,1.50151505555556,7.70210521108489,1.25238476484204e-05,0.000135370835636946,3.36512070611682
"TFRC",1.69717426,1.46637927333333,7.69992819212268,1.25558337256669e-05,0.000135489623798877,3.36243093022156
"SMAD7",1.55374374,1.45533274888889,7.62837549321714,1.36578505773519e-05,0.000145738903403459,3.27371086149629
"NANOS3",2.96102306,3.38164282222222,7.62720603106246,1.36767079422354e-05,0.000145738903403459,3.27225573019814
"P2RX7",1.52639598,1.4790839,7.61385650788846,1.38939708866932e-05,0.000147221336833878,3.25563363811
"PI4K2B",2.06752912,1.9565664,7.58684208282426,1.43451215768902e-05,0.000150918848911228,3.22193123410099
"STAP1",2.97969208,2.72949362222222,7.57143038402499,1.46095713542255e-05,0.000153044746670158,3.20266466932025
"GSDME",2.09114054,1.60345479444444,7.55590385481188,1.48813238837498e-05,0.000155135998419769,3.18322555267659
"ID2B",1.98830796,2.0294003,7.55299280990135,1.4932879436374e-05,0.000155172095012756,3.17957769822023
