,GSM758903,GSM758910,GSM758914,GSM758924,GSM758944,GSM758951,GSM758956,GSM758964,GSM758968
ZKSCAN8,-0.027906656,0.0768826,-0.6080575,-0.26969576,0.16210055,-0.30677843,0.89000463,-0.060388803,-0.64203477
ZKSCAN3,-0.32186985,-0.3094039,-0.37996817,-0.09512091,-0.7133832,-0.591207,-1.0965233,-0.289773,-0.16603899
ZKSCAN2,0.5852709,1.0124865,0.8463764,1.3839941,0.9085088,0.5965891,0.80161524,1.2291875,0.46876907
CERT1,-1.1185513,-1.0586119,-1.3021345,-1.1238003,-0.9672041,-0.8904648,-0.9459801,-0.96512413,-0.51049423
ZKSCAN1,-0.3574047,-0.018834114,0.033621788,0.13862991,0.07450676,-0.27293015,-1.0134468,0.177392,-0.3074913
NEK8,0.4306488,0.8243551,0.44826317,0.2687211,-0.1385262,-0.42949605,0.92326164,0.4963112,0.21432447
LINC01485,-1.0587851,0.46556497,-0.1317544,-0.33304405,-1.1532884,0.15570879,1.5927231,-2.0716891,-1.3440695
NEK4,0.33637142,0.54205227,0.64297104,-0.2027092,0.7309933,0.7213869,0.8727064,0.67751884,0.39031887
RASL10B,0.3427682,0.2326436,-1.1075611,0.6627741,0.67539215,0.006613731,3.6846428,-0.8345566,-0.67772937
TNFRSF9,4.1106663,5.2899923,4.199641,5.8816566,5.322604,4.56172,3.6347694,5.28131,4.8986053
FBXO38,-0.7830324,-0.5468683,-0.12278938,0.3470707,0.05592537,-0.8735819,-0.41629505,-0.06630993,-0.22919273
HTR1D,-0.10136187,0.25351298,1.2084328,-0.3751583,-0.27645993,0.5339383,2.506122,-1.2128801,-1.0757377
STYX,-0.5306525,-0.3853631,-0.7040796,0.4057412,0.37151194,0.09502649,-0.14791584,-0.42528105,-0.260427
HTR1A,-0.428993,0.22109365,-1.4619094,-0.35287333,0.73177123,0.2689948,2.5648117,-1.2222078,-1.1305163
RFXANK,0.46548748,0.5082989,0.2612028,0.26478672,0.30021477,1.0983915,0.59022427,0.5617933,0.40383434
FBXO32,2.009777,2.3909378,3.2078943,1.7944393,2.007471,2.6981583,2.8879147,2.5778208,2.5699444
C6orf15,0.12645674,1.1553476,0.20901632,0.3010459,0.09485865,0.5505843,2.7910542,-0.6358937,-0.8391895
DRAP1,1.1511078,1.0811253,1.1956949,0.44138718,1.0575581,0.7796135,1.6990128,1.2390642,0.36016273
SON,0.4239273,0.61367464,0.60332966,0.60833836,0.7111473,0.2394619,0.18096352,0.4465952,0.41701412
VNN3P,-0.7188163,0.1424067,0.014355421,0.8776405,-0.29418373,0.15560246,2.4675696,-1.2318428,-1.25625
SP2,0.037628174,0.3720708,0.43172836,0.79648685,-0.027819633,0.8265619,-0.41814423,0.56051064,1.0025396
SP3,-0.22281933,0.1283741,0.34829903,0.62821674,0.5580082,0.092473984,0.8898306,0.20871162,0.4839697
MNAT1,0.5677967,1.0383472,0.36736393,1.4483757,1.2330837,0.74193954,0.75369835,0.97431755,1.4941006
LRCH3,0.7589333,0.41015887,0.013026953,0.71849084,1.1160598,0.90672684,1.9297271,0.2258625,1.098897
BCAR3,0.82714653,0.6093912,2.2090197,-0.19152164,0.6042948,0.8609581,1.2355385,0.9559479,1.2407608
ALAS2,0.30349493,0.45409012,-0.5810952,-0.016140461,-0.031253815,0.54662323,0.954103,-0.5738554,0.11518431
BMP10,0.56378746,0.7437265,0.08886671,-0.539587,-0.005099535,0.08504057,1.8128705,0.4567864,0.7360711
LINC02762,-0.029660702,0.8593621,0.48901033,0.36337757,0.78704023,1.1193929,2.180705,0.8183737,0.8739724
PIWIL4,1.4024782,1.4445477,1.760396,1.7053022,1.6952581,2.1602182,1.1919031,1.5360174,1.5984125
ALAS1,2.9741564,3.528635,3.1495228,3.4717588,2.8009844,2.2266798,1.8349457,3.1110182,2.742652
