"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GEMIN6",-1.6469819,-1.84425348888889,-10.4717589864501,7.08318095045403E-07,1.46499252157948E-05,6.38085756394018
"KIF14",-3.63656176,-2.79889654,-10.4425527522483,7.27624706026313E-07,1.50011572779163E-05,6.35280803487528
"LINC00324",-3.98022528,-3.77880872222222,-10.3828088527887,7.68924538155857E-07,1.57021203946827E-05,6.29521006035871
"SELENOP",-3.58704214,-3.51194866666667,-10.3013318329512,8.29409274127908E-07,1.67622091861924E-05,6.21617917300597
"CTSK",-1.94207438,-1.98451787777778,-10.2486455078672,8.71263877580294E-07,1.7406395671906E-05,6.1647769372332
"TMEM86A",-4.47908574,-4.2906019,-10.2352970095811,8.82228880429501E-07,1.75322174229822E-05,6.15171640855873
"ALDH7A1",-2.05007772,-2.22045208888889,-10.1469784409267,9.5866729765234E-07,1.88032828928588E-05,6.06491991753981
"POU2F2",-2.97499284,-3.10413857777778,-10.0847883095963,1.01680009628241E-06,1.97632862087663E-05,6.00339914590374
"TGFBI",-3.04437748,-3.21516276666667,-10.0614190033215,1.03962570902233E-06,2.01462603613246E-05,5.98019473587167
"ECM1",-2.97529774,-3.10906822222222,-10.0122811954878,1.08945767760076E-06,2.09234237903504E-05,5.93124835424526
"PPBP",-3.53116786,-2.97111630222222,-10.0045711789595,1.09750947861368E-06,2.09533392470239E-05,5.92354920092625
"ANKH",-4.58296758,-4.06028706666667,-9.97224525774748,1.13197921466287E-06,2.15476751392905E-05,5.89121198766431
"CCR2",-3.53861268,-2.73777963333333,-9.92480355182636,1.18471498786233E-06,2.24192545943566E-05,5.84358686034949
"UBE3D",-3.61764476,-3.06442596444444,-9.88764987322624,1.22787844161565E-06,2.29002878142943E-05,5.80615023603469
"FRMD4A",-3.43930298,-3.05259166666667,-9.85610677153805,1.26586595940996E-06,2.35407292105835E-05,5.77427037855099
"FAM111B",-3.55149162,-2.7310103,-9.84343122816001,1.2814891336703E-06,2.36946973626774E-05,5.7614344489198
"GFOD1",-3.45962156,-2.71637287211111,-9.82891133445655,1.29964337903103E-06,2.3961710642535E-05,5.74671312952759
"CD1C",-3.78632814,-3.48848552222222,-9.81647093757845,1.31541992392957E-06,2.40085854994482E-05,5.73408509184331
"KIF20A",-3.51326428,-2.84714120977778,-9.81433331190057,1.31815168032989E-06,2.40085854994482E-05,5.73191382263424
"TMIGD3",-3.06924352,-3.30707262222222,-9.78072098837784,1.36192630448386E-06,2.45489118514925E-05,5.69771833090641
"IRAG1",-4.06278214,-3.96187466666667,-9.64662250981328,1.55295434022117E-06,2.76066511224442E-05,5.5602720071585
"PGPEP1",-1.97445726,-2.31702645555556,-9.57422231705247,1.66803490276457E-06,2.93292349524244E-05,5.48537805857139
"TGFBR2",-2.34089986,-2.51066992222222,-9.51169074891999,1.77489917854069E-06,3.07887752664599E-05,5.42030066982056
"PIMREG",-2.78418122,-2.82674817777778,-9.49928184970193,1.796976822616E-06,3.09902292675525E-05,5.4073430848498
"DAB2",-1.83610994,-1.87012027777778,-9.48432178507638,1.82399060768804E-06,3.1138125374103E-05,5.39170230472232
"FCGRT",-2.89123976,-2.88226192222222,-9.47917046214641,1.83339425869642E-06,3.12160769165382E-05,5.38631171393375
"PRNP",-1.8608473,-1.82254442222222,-9.41338587574655,1.95822368654274E-06,3.30796268305243E-05,5.3172513023262
"PLA2G12A",-2.52738004,-2.66281885555556,-9.40949566597853,1.96588906920057E-06,3.31224077377317E-05,5.31315453736742
"S100A4",-3.61220916,-3.26304892666667,-9.38116828218616,2.02269795541043E-06,3.3902519237048E-05,5.28327966397983
"FZD3",-3.04568896,-2.30014083111111,-9.35945563977755,2.06744735898637E-06,3.45627922475104E-05,5.26032907698967
"DNASE2B",-3.30257556,-2.47434561111111,-9.33892547521486,2.11074933898312E-06,3.50145095076698E-05,5.23858690064836
"ITGB5",-2.53099098,-3.01509925555556,-9.33812773053817,2.1124516785904E-06,3.50145095076698E-05,5.23774124512173
"IL10",-3.06480282,-2.95961112222222,-9.33541174025978,2.11825862061513E-06,3.50145095076698E-05,5.23486168035071
"LIPA",-2.45629924,-2.62941096666667,-9.27034701743968,2.26267997090802E-06,3.67374642741164E-05,5.16566608833436
"MFNG",-1.72552148,-1.72511113333333,-9.26897115271398,2.26584701396224E-06,3.67374642741164E-05,5.16419845866998
"RRS1",-2.62290754,-2.84630108888889,-9.26318698675317,2.2792140469332E-06,3.68615745485211E-05,5.15802650498929
"CD300A",-6.48206974,-6.25566795555556,-9.25419277031038,2.30016967891081E-06,3.71074873450286E-05,5.14842284700862
"PLK1",-1.82468932,-1.7564388,-9.21028651900402,2.40551250818527E-06,3.81073950219753E-05,5.10142866719974
"SYK",-1.56997318,-1.78747918888889,-9.197720234715,2.43661743602971E-06,3.83499812553652E-05,5.08794400791676
"PDLIM2",-3.09416038,-3.1473517,-9.16434652990657,2.52136471746198E-06,3.94910339186515E-05,5.05205624326121
"RPP40",-2.13860138,-1.82718779444444,-9.16198743320412,2.52747512914971E-06,3.94910339186515E-05,5.04951530043367
"CNRIP1",-2.55126628,-2.72270186666667,-9.15351844102167,2.54954378071266E-06,3.97396280602387E-05,5.04038898723067
