"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"AC068025.2",0.0712570403054037,0.0215080808896385,-0.409367413722612,0.286192167666522,0.03291723839853,0.141117625560774,0.171373843612672,-0.123320658521594,-0.198937256878106,0.193856462553723,1.4009410108159,1.32541917134073,0.147849764641516,1.34733061887088,0.110302921365329
"AC068025.1",-0.849276121583663,-1,-0.674667180330049,-0.858862932954838,-1,-0.818647476051295,-0.829785113698997,-0.726142746283141,-1,-1,-1,-1,-0.903095588994439,-1,-0.922502428733577
"TAOK1",6.24462867887455,6.42536684044245,6.23599930182209,6.36386203254781,6.4439356481907,6.53171235221244,6.66348126970292,6.41739941067981,5.11476976252396,6.21992305819908,7.47817773586008,7.42521233725635,5.95023831142366,7.45085029654206,6.60554374027466
"ABHD15-AS1",-0.47342495933584,-0.642819657052588,-0.674667180330049,-0.730311073142503,-0.653779425317033,-0.657567092626806,-0.298557082327321,-1,-1,-1,-1,-1,-0.903095588994439,-0.865972556623476,-0.922502428733577
"ABHD15",4.45051914752808,4.28952008277513,4.06082742041241,4.59630253534507,4.38944237476438,4.38265770149967,4.51824977706907,4.12365953161129,3.44537952371125,4.39931804425926,4.6567259095116,4.59962506601021,4.30721148466792,4.51056916460309,4.46632618677111
"TP53I13",4.8061447446172,4.69356710188009,5.07738739180237,4.86660766460236,4.78372432745076,4.99292572339087,5.17749650260081,4.68307001808318,4.00809845939751,5.14349971157065,4.735582883335,4.58984757530825,5.02209263639306,4.76934982556541,4.87995812540621
"GIT1",3.93659018283292,3.87641464749973,3.86184786604131,4.02465639823322,3.93374435450407,4.0853749023548,4.01375336220203,3.93937319483353,2.84427666007166,3.97362785604795,4.12723255947068,3.9022470461069,4.22383968890335,4.09991211290052,3.89758821406246
"ANKRD13B",-0.849276121583663,-0.541030157253225,-0.409367413722612,-0.612282575451117,-0.841353100124364,-0.657567092626806,-1,-1,-1,0.0886029960930976,-0.760104144452544,-0.683113261552561,-0.0715797023943518,-0.743344819786082,-0.848956445103301
"AC104564.4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CORO6",0.62872718420597,0.208492206236682,-0.409367413722612,0.611398377034656,0.936779279765629,0.980691498490701,0.58670093680552,0.526732091241532,0.313111340247061,-0.148183842998114,0.820772776435876,1.12335988489363,0.41545008702998,0.820147544681707,0.182235955532614
"SSH2",5.8327587471864,6.02587957165702,5.67498853128453,5.49024037599724,5.57688718964263,5.9126527650604,6.05379617179421,5.76913214385143,4.74709935049169,5.48680791106966,6.59428187221218,6.7783228089582,5.62372197821654,6.40197432122457,5.6738542794502
"AC104564.1",-1,-0.752339812477763,-1,-1,-0.945156278303407,-1,-1,-0.726142746283141,-0.198937256878106,-1,-1,-1,-0.950734325619881,-0.865972556623476,-0.778978543463239
"AC023389.1",-0.47342495933584,-0.752339812477763,-0.674667180330049,-1,-0.610463353796752,-0.657567092626806,-0.0918922792135946,-1,-1,-0.597377589606624,-0.915524121505859,-0.683113261552561,-0.950734325619881,-1,-0.848956445103301
"AC104982.1",-1,-0.870862096694557,-0.674667180330049,-1,-0.841353100124364,-0.818647476051295,-1,-0.726142746283141,-1,-0.784688827661239,-0.835722240985268,-0.591266953670636,-0.726867676497101,-0.743344819786082,-0.922502428733577
"EFCAB5",-0.367143922298791,-0.272750476020087,-0.409367413722612,-0.0551675077045748,-0.568410001574089,-0.0457104524474553,-0.0918922792135946,-0.297689872372675,-1,0.0886029960930976,0.550742628145229,0.3537284287686,-0.60752538702171,-0.0922053649099518,-0.219756842817761
"AC104996.1",-0.849276121583663,-1,-0.674667180330049,-0.858862932954838,-0.653779425317033,-1,-0.829785113698997,-1,-1,-1,-0.915524121505859,-0.683113261552561,-1,-0.630328681136131,-0.922502428733577
"AC104984.2",-0.47342495933584,-0.752339812477763,-0.674667180330049,-0.218080096350898,-0.653779425317033,-0.818647476051295,-0.829785113698997,-1,-0.198937256878106,-1,-0.554469457876939,-0.781206749047561,-0.812292482631236,-1,-0.528757129484926
"NSRP1",6.04734862617174,6.1461589439384,6.41772359754674,6.27666527843736,6.01878303143133,6.12965832989205,6.20103417767907,5.9556177026968,6.00775698674482,5.91395496402794,6.58479661326828,6.5949651658732,5.97753714539416,6.66053516550582,6.12999561026895
"AC104984.3",1.74987100077518,1.74675118979862,2.37285151755929,0.992929355166545,1.40622914737178,1.69861963264924,2.02465409087668,2.01920826396329,0.988970611850136,0.838051657823977,1.35065791420018,1.85257228099137,2.7292866887212,1.26206015278471,1.18012091918472
"AC104984.6",-0.849276121583663,-0.870862096694557,-0.409367413722612,-0.218080096350898,-0.841353100124364,-0.260383179599968,-1,-1,-1,-0.597377589606624,-0.688252911558905,0.207941549853454,-0.209644683967438,-0.250277234600058,-0.712238473312217
"SLC6A4",-0.849276121583663,-0.541030157253225,-1,-1,-0.792124255156966,-0.657567092626806,-0.677550154297818,-0.726142746283141,-1,-1,-0.760104144452544,-1,-0.856979761200062,-0.250277234600058,-0.922502428733577
"AC104984.1",-1,-1,-0.674667180330049,-1,-1,-0.657567092626806,-1,-1,-1,-0.784688827661239,-0.915524121505859,-1,-0.856979761200062,-0.865972556623476,-1
"AC104984.4",-1,-1,-1,-0.858862932954838,-1,-1,-1,-1,-1,-1,-1,-0.886459681591492,-0.950734325619881,-1,-1
"BLMH",3.42515713147389,3.55871076772858,3.78450987483846,3.4021552925262,3.69134182911355,3.60328118525829,3.36880279839118,3.27762564772638,2.19632781787158,3.38945200783467,4.14946315128517,4.05929253989308,4.12390037885492,4.29497558767464,3.55217872291078
"TMIGD1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CPD",5.11891170672058,4.80649612031997,4.79799725089697,4.69118650018371,4.78169351887446,4.65610285607913,5.30863564179303,4.82813961871554,3.93994898447448,5.21713680127443,5.81067519893851,5.49976142233525,4.87614223845063,5.7205461653737,4.99802040259959
"GOSR1",5.32121717476848,5.33762033139398,5.383061858936,5.30200164812209,5.39356480229123,5.20423713788895,5.51827824256059,5.51919028640731,4.36067134694184,5.22647037773515,5.7012291305366,5.55482727962331,4.79632713852023,5.86007357436401,5.58127089860167
"AC011840.3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"TBC1D29",-0.849276121583663,-1,-0.674667180330049,-1,-0.945156278303407,-0.657567092626806,-0.414168019386466,-1,-1,-0.597377589606624,-1,-1,-0.903095588994439,-0.865972556623476,-1
"AC011840.5",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.950734325619881,-1,-1
"AC011840.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC127024.3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC127024.2",-1,-0.870862096694557,-1,-1,-1,-1,-0.829785113698997,-0.496069128224585,-1,-1,-0.491959539002952,-0.591266953670636,-0.428242066547953,-0.0922053649099518,-1
"CRLF3",4.53860581655777,4.58236437181098,4.75133709028811,4.64748543970527,4.26413075933487,4.4637126902925,4.98270518660584,4.50857688002353,3.83128007561219,4.57521382439697,5.39397907586669,5.31032264865332,4.75701886864638,5.62417212065359,4.73949356019058
"AC127024.5",-0.268158085620723,-0.272750476020087,-0.409367413722612,0.0198721818018457,-0.141081578148664,-0.381022949257834,0.088843535227359,0.300564404146094,-1,-0.597377589606624,0.869203666586821,0.399224407890932,1.04489421055648,0.859383572621982,-0.528757129484926
"AC127024.6",-0.588162667547801,-1,-0.185359052620329,-0.503184145095744,-0.792124255156966,-0.512678942779828,-0.414168019386466,-0.726142746283141,-1,-0.784688827661239,-0.619810995417488,-0.886459681591492,-0.152823589085722,-0.169077447834718,-0.848956445103301
"ATAD5",3.49727788392295,3.43925330253083,3.37367391417962,3.54872740003814,3.45693081620886,3.40775487106088,3.61721040265413,3.6218217221455,1.79474300118132,3.34443901522668,4.36110660715548,4.17498421644355,3.46279155461881,4.48257121474813,3.88686420902083
"AC130324.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.915524121505859,-0.781206749047561,-0.950734325619881,-1,-0.922502428733577
"AC130324.1",-0.175529960451728,-0.272750476020087,-0.185359052620329,-0.0551675077045748,-0.698436400130555,0.523687622128789,0.001304023411488,-0.297689872372675,-0.198937256878106,-0.784688827661239,0.218256899929836,0.0457493397015892,0.10189053595841,0.354816024141524,-0.41823844608083
"TEFM",3.99255890031797,3.83441579239314,4.16621637975407,3.99706441945355,3.8910529426313,3.71786178414963,3.73042903682204,4.0252256215351,2.98620003933601,3.95128463240414,3.77993124081466,3.68983597022255,3.70492270252603,4.07095564072453,3.96031027538122
"AC130324.3",0.0712570403054037,0.0215080808896385,-0.409367413722612,-0.306998355655685,-0.141081578148664,0.0507257401628887,0.461091080328133,0.722202149401994,-1,0.628729644342332,-0.116977820822467,0.0457493397015892,0.256723559647554,0.179884605909057,-0.08698321095741
"ADAP2",5.80460991716251,6.03517945260937,6.15637571895193,5.89213505624997,5.90491454302172,5.84702456066485,6.11241866714198,5.9531859908806,5.66137710115251,6.09640336242351,5.8616864921381,5.63426984592947,6.44060256890352,6.00598583041658,5.92840044139641
"AC138207.1",-1,-1,-1,-1,-1,-1,-1,-0.726142746283141,-1,-1,-0.554469457876939,-0.273134797032887,-0.685980133762603,-0.169077447834718,-0.848956445103301
"AC138207.5",-0.588162667547801,-0.642819657052588,0.00849679344913952,-0.0551675077045748,-0.527547829399739,-0.657567092626806,-0.53985694975207,-0.726142746283141,-1,-0.784688827661239,-0.688252911558905,-0.683113261552561,-0.394911851747628,-0.525526320001457,-0.922502428733577
"RNF135",5.13256334103991,5.3089402331699,5.176579564602,4.95051895848044,5.21319721738963,4.9989815517603,5.29259243121336,4.87513984356496,4.7864406790953,5.35684823154862,5.50542542567587,5.39276719344256,5.31743614947652,5.16541944980247,5.36456563847185
"AC138207.7",-0.712820072634071,-0.752339812477763,-0.409367413722612,0.659126532282495,-0.568410001574089,-0.381022949257834,-0.53985694975207,-1,0.313111340247061,-0.784688827661239,-0.265928025612475,-0.886459681591492,-0.0715797023943518,-0.019222927507195,-0.219756842817761
"AC138207.2",-0.47342495933584,-0.272750476020087,-0.674667180330049,-0.858862932954838,-0.698436400130555,-0.818647476051295,-0.829785113698997,-1,-1,-1,-1,-1,-0.646219523218901,-1,-1
"NF1",5.09586793262671,4.96627988192651,5.18161597550626,5.07670301399844,5.1484780051275,5.30787897933198,5.14722829863025,5.04004140326341,4.04100281319478,4.74502358384897,5.81222433272364,5.80350589767689,4.98696579181396,6.04160249303907,5.10830219794635
"OMG",2.74892024171923,2.38648527543677,2.87376265949555,-0.401759010749382,0.00533601196456499,0.879285911192879,0.58670093680552,0.722202149401994,-1,1.28181781373775,3.23183394888737,1.43869557002366,0.318310383451191,2.79187356158884,2.87638650103592
"EVI2B",8.37423574332333,8.28947950330618,8.09372824042319,8.39101657671623,8.22887175043715,8.19593804149385,8.30752442097134,8.43434491780028,7.874810501921,7.99235392698987,8.66652805309931,9.11663850846948,7.61091428810934,8.49136371470476,8.07106311455237
"AC134669.1",-1,-1,-1,-0.730311073142503,-1,-0.818647476051295,-0.829785113698997,-1,-1,-1,-0.619810995417488,-0.42344957364721,-0.856979761200062,-0.743344819786082,-0.848956445103301
"EVI2A",6.06644037226252,5.79111167941531,6.10957756869699,5.91565986330793,5.41599594536535,5.79750507688591,5.95678217528404,5.98209946198589,5.66137710115251,5.36250350511709,6.42540224813293,6.41632343999218,6.35196339921636,6.50530994262486,5.81630304138991
"RAB11FIP4",3.51127927180811,3.26048927466262,3.58609001992105,3.29293494180224,3.21953192944134,3.31371391443189,4.30174873965467,3.65810754602046,2.84427666007166,3.99563031772592,4.14946315128517,4.0051462773266,3.18825087067395,4.48884010606043,3.59563461629251
"AC003101.2",-0.268158085620723,-0.642819657052588,0.179362801429943,0.0912010106186509,0.188171121660292,-0.14905758704244,0.001304023411488,-0.496069128224585,0.313111340247061,-0.597377589606624,-0.491959539002952,-0.346335403161137,-0.46236054778904,-0.336321224825509,-0.315587020899772
"AC003101.1",-0.849276121583663,-1,-0.674667180330049,-0.730311073142503,-0.945156278303407,-0.818647476051295,-1,-0.496069128224585,-1,-1,-0.760104144452544,-0.886459681591492,-0.856979761200062,-0.630328681136131,-0.922502428733577
"AC007923.4",-1,-1,-1,-1,-0.945156278303407,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC007923.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC004253.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"COPRS",5.75398792917368,5.91046102770044,6.02804050788314,5.80862468661076,6.21289251936937,5.84870218019622,6.05107406778309,5.9653037687171,4.64377985516602,6.323584388742,5.33053431063774,5.40397033121492,5.58561571018165,5.47742306021133,5.87106162579468
"UTP6",4.74820676101779,4.83753949161223,5.19163635629867,4.65338929981921,4.69371037722451,4.946678145514,5.013793743981,4.99346633895557,3.71375417113538,5.23574395816792,5.02862293436926,5.00659295594077,5.12045633264045,5.32634298763586,5.06257744579765
"AC004253.1",-0.849276121583663,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.950734325619881,-1,-1
"SUZ12",5.53675806365893,5.50165363812682,5.72414176716405,5.49846341209998,5.5651283022531,5.50586036365721,5.57243506132541,5.59601837640721,4.13543929412201,5.46594476679691,6.30458346502019,6.1703671491917,5.62372197821654,6.63108096652948,5.8642439717921
"LRRC37B",2.80683014664702,2.8841171327085,3.40845890749951,2.72575180757653,2.38064883574742,3.04769449286897,2.933173408765,2.98564241957275,0.988970611850136,2.51879054026498,3.03891306166792,2.80930123462739,3.57638173271002,3.1806328296199,2.23086378917949
"AC116407.2",1.4343089567307,0.474648801810899,1.10043775939563,1.51793093911147,0.535347414955168,0.77021009855383,1.42838698151208,0.973245587119805,2.3086826745415,0.771595900775718,0.360568927794977,-0.273134797032887,1.22719886208267,1.37466974725163,0.524229224371915
"AC116407.1",0.215067296132507,0.522457463387674,0.596280474453491,0.876614061719884,0.393611804284999,0.141117625560774,0.461091080328133,-0.297689872372675,-1,-0.282950155997326,-0.214550181637674,0.207941549853454,0.35795453065706,0.51081177982409,1.07066351734397
"RHOT1",5.54698901299732,5.48967701080711,5.6277963000907,5.61498348790125,5.45729589502694,5.52696926265849,5.47221929810273,5.48593042918989,4.74709935049169,5.50992386965959,6.11990245471474,6.11690353561997,5.42341800539588,6.02120344903888,5.53394080721472
"RHBDL3",-1,-0.870862096694557,-1,-0.858862932954838,-0.892321299269235,-0.818647476051295,-0.677550154297818,-0.297689872372675,-1,-1,-0.554469457876939,-0.781206749047561,-0.60752538702171,-0.743344819786082,-0.712238473312217
"AC026620.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"C17orf75",3.48313927947543,3.12768596354959,3.26398451399777,3.01886039154047,2.96416379038451,3.14920305850593,3.24087361436176,3.30839319470349,1.79474300118132,3.04015704633747,3.39785242164904,3.61468179574911,3.27105100525992,3.66324229988044,3.36780990446648
"AC005899.3",-1,-1,-1,-0.858862932954838,-1,-0.818647476051295,-1,-1,-0.198937256878106,-1,-1,-1,-1,-1,-1
"ZNF207",7.29452456662545,7.0213738640653,7.14100477284879,7.32567634880573,7.29744267123895,7.38192816564043,7.32396315893173,7.22239560133638,6.36690703601667,7.28523431678448,7.6017844384755,7.55148149455573,7.4707521537848,7.74797974345589,7.06514773330215
"AC005899.6",1.0682112578293,0.998729760475382,1.10043775939563,0.83566066780243,1.04909842965432,1.36522787079834,1.28747472955324,1.11921561460381,0.690261744521335,0.628729644342332,0.845191438487785,0.856051847775627,1.64280667727724,0.779814536961797,0.57855348929385
"AC005899.7",0.465724543511922,1.12797646842379,1.0127264977678,1.06556949620457,0.798996460754557,0.589378508233869,0.809217452026548,1.31373483782109,-1,0.193856462553723,0.664887348165332,0.486125960994671,0.10189053595841,0.93479257249259,-0.315587020899772
"AC005899.5",0.345832809483294,1.09673401545464,0.712191230369669,0.159168767638572,0.350419761729258,1.07543509162539,0.39393175430365,0.418075684481347,-1,-0.0249379436664162,0.218256899929836,1.39444648355655,-0.0715797023943518,0.971068697999974,-0.365999937235114
"AC005899.8",-0.849276121583663,-0.870862096694557,-0.674667180330049,-0.730311073142503,-1,-1,-0.829785113698997,-1,-1,-0.784688827661239,-1,-0.781206749047561,-0.950734325619881,-0.630328681136131,-0.648449813682387
"AC005899.1",-1,-1,-1,-0.858862932954838,-1,-1,-1,-1,-1,-1,-1,-1,-0.903095588994439,-1,-1
"PSMD11",5.37580621173466,5.44385776418249,5.7582533881049,5.47031172854569,5.58447938999076,5.57031742189437,5.62828933719041,5.5834944647557,5.27548330431302,5.79562066888215,5.48323091283099,5.26034569171567,5.49183777507662,5.74432147081466,5.65185341161563
"CDK5R1",-0.268158085620723,-0.356753385622561,0.179362801429943,-0.401759010749382,-0.568410001574089,-0.381022949257834,-0.414168019386466,0.300564404146094,-1,-0.431614806914915,-0.619810995417488,-0.346335403161137,0.793440633573385,0.606162210397199,-0.315587020899772
"MYO1D",1.27929953039622,1.24659038821652,1.65810235050508,-0.306998355655685,-0.568410001574089,1.32722568415879,0.525262622318624,0.300564404146094,0.690261744521335,0.838051657823977,1.82589744246939,0.306750866189745,1.27974776948361,1.66775696084212,0.630906203410429
"AC079336.5",-1,-0.870862096694557,-0.674667180330049,-1,-1,-1,-1,-1,-1,-0.784688827661239,-1,-0.886459681591492,-1,-0.865972556623476,-1
"AC079336.4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.915524121505859,-1,-1,-1,-1
"AC025211.1",-1,-0.870862096694557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.950734325619881,-0.865972556623476,-0.922502428733577
"AC084809.1",-1,-0.752339812477763,-1,-1,-0.945156278303407,-0.818647476051295,-1,-1,-1,-1,-0.760104144452544,-1,-0.950734325619881,-1,-0.848956445103301
"AC084809.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.950734325619881,-1,-1
"TMEM98",1.34331534213038,0.856754575588777,1.18312070179595,-1,-0.698436400130555,-0.818647476051295,-0.677550154297818,0.300564404146094,-1,-0.148183842998114,0.744934496540529,-0.591266953670636,-0.856979761200062,-0.169077447834718,-0.587362544761354
"SPACA3",-1,-1,-1,-1,-0.945156278303407,-1,-1,-1,-1,-1,-1,-1,-0.768947900595294,-1,-1
"ASIC2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC008133.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC011824.4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC011824.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC011824.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
