"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"NR3C1",13355,13184,14463,11230,14955,13214,13706,17024,1592,9005,11690,10533,4285,12903,16658
"AC016598.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC016598.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HMHB1",0,2,0,0,0,0,1,2,0,11,0,8,23,0,26
"YIPF5",6481,5769,5080,3920,7368,5656,5107,8564,914,4064,4121,4017,2404,4045,7194
"KCTD16",2,4,8,6,3,2,1,1,0,0,2,5,6,1,6
"AC132803.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC137770.1",0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
"AC008700.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PRELID2",400,413,422,298,523,335,293,418,67,239,253,284,75,276,456
"GRXCR2",2,5,1,3,2,4,0,2,0,3,2,1,0,1,2
"SH3RF2",4,5,7,3,13,5,6,2,0,3,26,6,6,2,8
"PLAC8L1",3,0,6,5,5,4,1,2,0,0,5,0,8,5,3
"AC091887.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARS",9705,9030,9399,6589,10018,7575,7998,9521,912,5457,8744,9110,4117,8534,12556
"AC091959.3",15,11,23,64,11,18,7,19,10,28,46,24,31,64,103
"RBM27",1393,1544,1401,1205,1705,1402,1634,1711,176,1077,1183,1146,847,1335,1619
"AC011396.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POU4F3",6,7,6,4,14,13,13,6,1,4,4,1,3,4,7
"AC011396.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCERG1",3921,4430,4502,2833,4210,4473,3928,5297,512,2393,3360,3661,2381,3875,4538
"GPR151",0,0,0,0,0,0,1,0,0,0,2,1,1,2,0
"AC008728.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP2R2B",56,63,79,48,104,314,58,140,18,38,125,19,64,303,100
"STK32A-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STK32A",0,1,0,0,0,0,0,0,0,0,2,0,1,0,2
"DPYSL3",17,72,35,3,3,4,37,1,13,218,21,1,3,8,37
"AC011373.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAKMIP2-AS1",3,5,6,3,1,5,7,4,0,1,8,5,0,15,4
"JAKMIP2",4374,5274,5190,2691,4064,9171,5135,5513,509,2062,1824,1938,323,5620,4992
"SPINK1",116,9,57,29,33,15,24,390,0,11,1,6,641,23,85
"SCGB3A2",2,20,2,3,11,17,4,3,7,24,3,0,62,3,7
"C5orf46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011352.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC011352.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SPINK5",1,4,1,0,1,0,0,0,0,1,34,0,0,34,0
"SPINK14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPINK6",29,128,32,33,40,85,43,70,7,18,10,19,46,40,109
"MARCOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPINK13",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC091948.1",12,7,2,8,7,11,12,12,1,0,18,21,8,15,13
"SPINK7",0,6,2,0,3,1,0,0,0,0,0,1,0,6,8
"SPINK9",2,1,3,1,2,1,5,2,2,2,0,0,1,0,0
"FBXO38",1917,2087,1759,1432,1913,2042,2162,1940,214,1279,2301,2453,1357,2760,2359
"AC114939.1",26,31,20,21,18,22,24,24,65,7,17,16,12,19,26
"HTR4",0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"ADRB2",2009,2691,2271,1480,2151,920,2144,2221,318,1276,1623,2092,622,1651,2553
"SH3TC2",1,1,8,3,2,1,5,3,1,0,1,4,0,3,1
"AC116312.1",22,27,16,8,28,10,19,15,0,2,10,18,8,8,22
"SH3TC2-DT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABLIM3",11,13,7,6,7,9,3,8,0,1,3,2,20,11,11
"AC012613.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC012613.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AFAP1L1",145,34,37,61,122,274,20,110,0,17,28,28,8,27,139
"GRPEL2",583,498,494,362,596,551,536,607,86,355,474,423,344,530,595
"GRPEL2-AS1",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"PCYOX1L",791,780,780,586,784,747,873,641,44,541,528,638,688,436,741
