"GENENAME","log2FoldChange","padj"
"MAP1B",3.88274757541355,7.68026432553944e-07
"RXFP1",3.88216160466352,0.00933634253698854
"SEMA6D",3.88214552338933,0.00020566021162579
"IRF6",3.87038500870118,1.82895092335364e-08
"ADGRB2",3.86828891334923,0.0239969259696486
"MAP7D2",3.86273907612271,0.00183907035257208
"MOCS1",3.86072888974862,0.006993632056397
"FHL2",3.84459557392508,1.70812190867371e-08
"SP6",3.84019085166255,0.0001686394378603
"CDH5",3.83570720661253,1.15801840699043e-09
"MALL",3.81591112068743,0.00032494427540421
"SEPTIN3",3.81463105889774,5.9164613604002e-07
"PLEKHG4B",3.79636295291544,0.0368636462600921
"MEX3D",3.79257461114022,7.76166172914508e-10
"NR2F6",3.79254831601513,6.72005739865891e-08
"RASL11B",3.7856808497248,0.00150540580332913
"PKD1P2",3.78499269085621,0.00337897460674001
"FERMT2",3.78145515886378,8.99101069976583e-09
"ARHGEF34P",3.77868401857663,9.20303097475282e-06
"CDH3",3.77803190040637,0.0185689550223224
"TSKU",3.77630168588842,3.82223575304478e-07
"WWC1",3.77095369563118,3.50105850717709e-07
"B3GNT3",3.77088470439827,0.00081576141704351
"ENAH",3.76948184753446,0.00051769274893538
"HCAR1",3.76858340906535,0.00559721868967472
"EFNA1",3.76114517031859,4.38311134047538e-09
"TMC5",3.75942212208083,0.00746578619034943
"ENSG00000278291",3.74590701441751,0.00590638299555031
"AFAP1",3.74407510224148,9.89247493071212e-10
"LUM",3.73474282404941,0.0444809319859023
"SLC1A6",3.72906829932794,0.00549032662614455
"LIFR",3.72870672934865,1.03186704027168e-05
"EGFR",3.71925662235773,5.4695595313449e-10
"FRMD6",3.71918740831915,1.72819283995385e-06
"BCAP29",3.71447117162117,4.36168131920328e-08
"TRIM29",3.71411877399382,2.75698966820092e-08
"CDC42EP1",3.71248748217536,6.35614648497549e-08
"SMAGP",3.71140806733263,8.90130048661034e-08
"HSD17B2",3.71036296312148,9.56928486226526e-06
"MYCL",3.70219927380921,0.00049555364854122
"TM4SF1",3.69811035416531,1.97411404748797e-08
"PDCD1LG2",3.69564083369733,0.0001059894684202
"DLX5",3.69196810278816,4.63819454767076e-05
"VGLL1",3.68918810134485,5.69019279794391e-09
"NR2F2",3.68704784713574,0.000205299665413
"CAVIN1",3.68305642958074,2.29635267451544e-10
"HAS3",3.67857001060685,0.00123137651396273
"CALD1",3.66798671267739,6.01435881815665e-09
