"gene","SRR26204549","SRR26204550","SRR26204553","SRR26204554","SRR26204557","SRR26204558"
"SLC29A3",462.079,118.816,218,224.53,311.989,310
"SLC29A4",2.26,25.075,16.652,50.101,12.724,17.979
"SLC29A4P1",0,0,0,0,0,0
"SLC29A4P2",0,0,0,0,0,0
"SLC2A1",2603.999,945.999,2101.001,1717.974,2402.134,4057.002
"SLC2A1-DT",140.688,16.36,111.567,10.063,116.764,16.252
"SLC2A10",0,4.013,4,10.666,9.1,238.001
"SLC2A11",1963.234,134.976,650.34,138.506,958.929,120.166
"SLC2A12",1,2,4.024,0,6,4
"SLC2A13",2,86.212,77.245,113.442,106.266,76
"SLC2A13P1",0,0,0,0,0,0
"SLC2A14",1.216,21.157,9.821,21.3,9.993,13.319
"SLC2A2",0,0,0,0,0,0
"SLC2A3",519.882,45525.485,9676.483,37615.068,17984.322,18370.735
"SLC2A3P1",52.432,20.006,0,128.547,0,25.392
"SLC2A3P2",0,2.073,1.011,1.016,3.052,0
"SLC2A3P4",1.017,0,0,0,1.023,2.26
"SLC2A4",2.332,38.626,48.641,6.507,56.487,5.739
"SLC2A4RG",484,361.999,337,318,625.001,298
"SLC2A5",23.954,137.502,96.662,291.478,113.81,148.094
"SLC2A6",12.908,1767.756,386.881,2628.573,281.617,566.801
"SLC2A7",0,0,0,0,0,0
"SLC2A8",268,91.036,176.002,112.001,274.079,54
"SLC2A9",32.015,56,121.999,162,132.999,105
"SLC2A9-AS1",0,0,0,0,0,0
"SLC2AXP1",0,0,0,0,0,0
"SLC30A1",109,218,690,245,596,125
"SLC30A10",0,5.095,7.634,19.187,0,0
"SLC30A2",776.507,22.291,176.211,32.194,458.543,395.524
"SLC30A3",3.006,8.972,1.003,12.758,0,8.514
"SLC30A4",69.193,95.861,66.931,61.66,89.382,144.381
"SLC30A4-AS1",2.225,145.89,9.933,273.774,15.003,90.001
"SLC30A5",539.151,270.037,473.388,382.433,603.489,327.017
"SLC30A6",213.345,129.023,315.247,177.136,286.162,155.124
"SLC30A6-DT",1.605,10.531,5.692,12.722,6.304,5.291
"SLC30A6P1",0,0,0,0,0,0
"SLC30A7",192.692,427.112,498.112,489.195,453.851,233.764
"SLC30A8",35.886,2,49.739,5.038,37.829,4.179
"SLC30A9",1662.022,311.485,992.879,382.125,1437.9,288.199
"SLC31A1",684.528,788.129,935.018,1252.682,893.577,501.052
"SLC31A1P1",0,0,1.079,0,0,0
"SLC31A2",1375.999,500,1291,953.002,1694,335
"SLC32A1",0,7,0,5,0,2
"SLC33A1",94.078,182.904,349.565,277.54,245.337,175.764
"SLC34A1",0,0,0,0,0,0
"SLC34A2",2,1,11,12.018,34.392,206
"SLC34A3",0,0,0,0,0,1
"SLC35A1",57.247,154.477,431.603,211.894,351.682,87.622
"SLC35A2",263,196,196,227.001,271,223
"SLC35A3",168.824,296.179,379.862,283.016,341.01,352.988
"SLC35A4",3382,522,1597.001,710.001,2231,509
"SLC35A5",477.007,102.915,408.002,207.094,578.998,146.023
"SLC35B1",1744.042,346.238,749.976,391.052,1100.519,240.055
"SLC35B2",64,558,168,642,260,410
"SLC35B3",553.999,83,368,107,452.001,87
"SLC35B4",123.438,96.002,157.971,183.011,165.287,289.845
"SLC35C1",416,125,335,183,347,151
"SLC35C2",1130.858,431.287,696.131,496.501,984.299,374.004
"SLC35C2P1",1,0,0,0,0,0
"SLC35D1",18,610,132.032,487,118,198
"SLC35D2",730,189.826,444.652,231.154,514.551,204.808
"SLC35D3",0,0,0,1,0,0
"SLC35E1",3352.848,1445.695,1407.927,1573.075,2462.985,891.855
"SLC35E1P1",3,1,5,5,1,3
"SLC35E2A",0,0,0,0,0,0
"SLC35E2B",283.958,1342.67,763.161,1090.248,853.402,689.169
"SLC35E3",45.878,366.125,319.618,393.538,319.459,165.339
"SLC35E4",2,73.183,43,189.025,25.001,86.127
"SLC35F1",2.842,0,2.538,1.839,0,3.306
"SLC35F2",209.308,99.001,168.083,188.064,324,153.007
"SLC35F3",0,1,2,1,10,12
"SLC35F3-AS1",0,0,0,0,0,0
"SLC35F4",0,1,0,0,0,1
"SLC35F5",488.437,430.544,664.857,607.166,590.678,389.653
"SLC35F6",694.028,342.372,638.334,591.328,745.49,331.291
"SLC35G1",1,34.964,16,41,11,17
"SLC35G2",16.643,8,3,3.385,5.594,26.11
"SLC35G3",0,0,0,0,0,0
"SLC35G4",0,0,0,0,0,0
"SLC35G5",0,0,1,2,1,0
"SLC35G6",0,0,0,0,0,0
"SLC36A1",31,376,487.982,776.955,352.999,351.888
"SLC36A2",1.528,13.113,3.166,10.397,1.085,13.975
"SLC36A3",0,0,0,0,2.29,0
"SLC36A4",288,497.054,435,389,481,154
"SLC37A1",572.999,234,345,348.001,445.999,182.999
