"Celulas","Enriquecido_En","ID","Description","enrichmentScore","pvalue","p.adjust","qvalue","setSize","core_enrichment"
"Hofbauer (HBC)","Femenino","GO:0043087","regulation of GTPase activity",0.387834821119864,0.00319782827024023,0.0256201845476462,0.0197619235562885,133,"ASAP3/ARHGEF16/PRTN3/ADCYAP1/ARHGAP44/RGS6/RAPGEF3/EPHA2/APC2/PLXNB1/SH3BP4/BCAR3/EFNA5/RASIP1/SYDE2/MET/F2RL1/BCR/SYDE1/DOCK9/PLXNB3/DAB2IP/KLRK1/AGRN/PROM2/ARHGAP42/ARHGEF5/PTK2/EVI5L/THY1/SIPA1L1/ITGB1BP1"
"Hofbauer (HBC)","Femenino","GO:0050878","regulation of body fluid levels",0.318287558262368,0.00325608764542666,0.0260432470802551,0.0200882494425599,336,"SAA1/ANGPT2/APLN/PEAR1/ADGRG1/GJA5/ATP6V1B1/SCNN1A/ANGPT4/TSPAN9/VWF/SERPINE1/PLAT/SERPINE2/SELP/ADAMTS18/FGA/FN1/CAV1/EDN1/ANGPTL2/ITGA2/ADCY6/CTSG/NPR1/NEGR1/WFS1/FAP/ANXA8/CCND1/TP73/TSPAN8/AGR2/HYAL2/F2R/MYO5B/DDR1/F2RL1/C1QTNF1/GP1BB/VIP/FBLN1/TTR/SLC6A4/THBS1/SLC7A11/SCUBE1/EXT1/NEURL1/PROCR/PIK3CB/F2RL3/ATP7B/SERPING1/MTCO2P12/ADRA2C/EDNRB/CYP4F11/TYRO3/MMRN1/F5/MYL9/SRF/PRRG4/ITPR3/STXBP1/MT-CO2/PRRG1/AQP3/FGB"
"Hofbauer (HBC)","Femenino","GO:0001706","endoderm formation",0.467968815898848,0.00326944364293282,0.0261063434699067,0.020136918335895,58,"COL8A1/DKK1/LAMB1/COL4A2/FN1/MMP15/COL12A1/LAMA3/HMGA2/HNF1B/COL7A1/INHBA/SOX17/POU5F1/COL11A1/NR0B1/GATA6/ITGA5/NOG/DUSP4/LAMB3"
"Hofbauer (HBC)","Femenino","GO:0034698","response to gonadotropin",0.612883479511258,0.00327667643116385,0.0261204172935015,0.0201477740666766,22,"EDN1/PAX8/ITGA3/EFNA5/NPR2/INHBA/SLC5A5/GCLM/CCNA2/GATA6"
"Hofbauer (HBC)","Femenino","GO:0032332","positive regulation of chondrocyte differentiation",0.643594326691103,0.00328439843743405,0.0261383375645793,0.0201615967238276,18,"ACVRL1/LOXL2/GLI3/BMP6/SOX9/BMPR1B/PKDCC"
"Hofbauer (HBC)","Femenino","GO:0003231","cardiac ventricle development",0.399494052836132,0.00330855639594107,0.0262867833454553,0.0202760991845132,114,"CCN1/SLIT3/GJA5/ADAMTS19/NRG1/ISL1/DSP/TPM1/GREB1L/PAX8/BMP4/GRHL2/PKP2/LRP2/PPP1R13L/SMARCD3/TGFB2/GATA3/FGFR2/PDE2A/CPE/EVA1A/MYL3/COL11A1/SALL1/CITED2/RYR2/DCTN5/BMPR1A/NOG/FOXF1/FOXC1/ENG/NOS3"
"Hofbauer (HBC)","Femenino","GO:0085029","extracellular matrix assembly",0.519733636578963,0.00332296091420226,0.0263573726998602,0.0203305477160233,41,"NTN4/RAMP2/PXDN/FKBP10/LOX/PXDNL/TIE1/ANTXR1/SOX9/SMPD3/THSD4/HAS3/QSOX1/EFEMP2"
"Hofbauer (HBC)","Femenino","GO:0009953","dorsal/ventral pattern formation",0.46590072034498,0.00336934032119969,0.0266809287458184,0.0205801200731041,63,"VAX2/SFRP1/ACVRL1/TLL1/GLI3/EDN1/BMP4/HHIP/OVOL2/HOXD11/MDFI/WNT7A/HOXB2/BMPR1B/BMPR1A/NOG/LHX2/TULP3/FKBP8/INTU/BMP1/SMAD6/LRP4/TLL2/DSCAML1/DYNC2H1/WNT3/GLI2/SMO/TCTN1/PTCH1/PAX6"
"Hofbauer (HBC)","Femenino","GO:0001701","in utero embryonic development",0.310807334650865,0.00338071608745883,0.0267266876119468,0.0206154158069335,396,"SLC34A2/CCN1/BMP7/CDKN1C/TM4SF1/ACVRL1/IGF2/SOX18/PTH1R/HSD17B2/FKBP10/DSC3/KRT8/NR2F2/KRT19/FGFR1/ASCL2/GLI3/EDN1/RSPO3/TIE1/ETNK2/EGFR/GRHL2/PTPRR/OVOL2/YAP1/TEAD4/AMOT/HNF1B/PPP4R4/ELF3/MDFI/ELF5/TTPA/GATA3/NCKAP1/XRCC2/FGFR2/GCM1/MYH10/CAPN2/SOX17/EPAS1/TFAP2C/POU5F1/PLCD3/RRP7A/MT-ND4/E2F7/FBXW8/VASH2/CITED2/GATA2/SRF/OTUD7B/GATA6/JAG2/WNT7B/ENDOG/BMPR1A/PCGF2/LLGL2/MYB/DBN1/PELO/NOG/FOXF1/FOXC1/NR5A2/NOS3/CASP8/BMI1/TENT5C/PLK4/AR/XAB2/FUT8/SLC25A34/MBD3/RRM2/HES1/PSMC3/DNAAF2/CMIP/ACVR1C/CAMSAP3/BMP2/SUV39H1/NMT1/PSMC4"
"Hofbauer (HBC)","Femenino","GO:0072311","glomerular epithelial cell differentiation",0.610787921054779,0.00339691812430625,0.0268103868488634,0.0206799765410136,22,"FOXJ1/PODXL/PROM1/EDN1/CD24/EXT1/LAMB2/EDNRB"
"Hofbauer (HBC)","Masculino","GO:0034134","toll-like receptor 2 signaling pathway",-0.665598784662787,0.00340826254629081,0.0268404154829256,0.020703138886692,17,"ACOD1/PJA2/MFHAS1/TNFAIP3/RIPK2/TLR1/TREM2/TLR6"
"Hofbauer (HBC)","Masculino","GO:0150078","positive regulation of neuroinflammatory response",-0.626710568708794,0.00341820469747849,0.0268404154829256,0.020703138886692,19,"NUPR1/CCL3/IL18/CTSC/TNF/TREM2"
"Hofbauer (HBC)","Femenino","GO:0001570","vasculogenesis",0.455193547100447,0.00342320691708936,0.0268404154829256,0.020703138886692,74,"CD34/RAMP2/SOX18/EGFL7/KDR/CAV1/EPHA2/TIE1/RASIP1/YAP1/AMOT/FZD4/NPR2/WNT7A/GJC1/TEAD2/ITGB8/SOX17/CITED2/WNT7B/PAXIP1/FOXF1/ENG"
