"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CLC",115.909184559938,4.63054029215179,1.00113864935055,4.62527372722618,3.7410401305002e-06,0.000191659739237063
"CCDC88C",1577.38937228724,2.23700462882935,0.484278968450201,4.61924794295374,3.85133418732945e-06,0.000196733357463876
"PVR",1885.35679716474,-2.19698328589326,0.47607240338036,-4.6148091556947,3.93456692658702e-06,0.000200399079322085
"ENSG00000288550",27.9597336305075,-9.06503002187522,1.96564617703772,-4.61173029397206,3.99330912770889e-06,0.000201627486881718
"EXTL3",1184.42106298365,-2.32767638781317,0.504699587830552,-4.61200374230277,3.98805813063086e-06,0.000201627486881718
"RPL13AP5",181.212106904774,3.30788244807893,0.717215725112376,4.61211645570186,3.98589563472991e-06,0.000201627486881718
"HES2",349.200427682351,-2.72426266009403,0.591054961986884,-4.60915284584732,4.04313024260125e-06,0.000203554712790328
"GZMK",791.741695794935,2.80913020313544,0.611627725681589,4.59287583800258,4.37179192769399e-06,0.000218840128873393
"MCEMP1",768.412343116334,2.9636892358289,0.645278319187726,4.59288519031537,4.3715959370023e-06,0.000218840128873393
"CRACDL",146.18214058102,-3.36712604070393,0.733605287357168,-4.58983338688041,4.43599954429204e-06,0.000221419748682234
"LINC01819",86.9116574926382,-3.81558584290539,0.833741563303177,-4.57646111318779,4.72907565285887e-06,0.000235375930642292
"CD3E",2654.11082189029,2.34737648852628,0.513683990416688,4.56968979434641,4.88446650496809e-06,0.000242419402959638
"LAMB1",1392.37180342205,-2.73953689175326,0.600120934166802,-4.56497471723227,4.99554542126034e-06,0.000247229967448777
"ARHGEF16",126.564692551188,-3.3173217345915,0.727310498331668,-4.56108050440754,5.08910634371398e-06,0.000250861072026306
"FKBP9",691.770315765603,-2.45482272127391,0.538321990001564,-4.56013829430743,5.11199436985489e-06,0.000250861072026306
"MYO1E",1508.69251081439,-2.30282228235142,0.504987722558689,-4.56015498888449,5.1115879712559e-06,0.000250861072026306
"MT-CO1",693683.181913087,-2.06085008263987,0.452269191317644,-4.5566890741237,5.19662612255724e-06,0.000254299883364356
"SNX7",110.448403199413,-3.4640053834973,0.760768494019373,-4.55329763354933,5.28114722379446e-06,0.000257714083798015
"FCMR",1011.82074396082,2.40037905608518,0.528284112778018,4.54372750954523,5.5268093683454e-06,0.000268950862576585
"ERVMER34-1",147.356417191439,-3.45219312124235,0.759996669754126,-4.54237927431866,5.56228514548546e-06,0.000269925337476753
"CD38",907.99563453355,2.30522308172806,0.50760172903173,4.54140116135019,5.58815831501875e-06,0.000270429711255894
"TLE6",90.6548817775622,-3.79756089415259,0.836324661944628,-4.54077353802108,5.60482092492932e-06,0.000270486799885401
"KRT8P36",81.7984882022575,-4.1041755881938,0.904068963782917,-4.53967092401957,5.63420917600145e-06,0.000271156017368444
"JPT2",885.957098160871,-2.297381491789,0.506451332930247,-4.53623347873667,5.72677799025195e-06,0.00027485387771896
"LAMC1",1374.24075043191,-2.7927918336839,0.61580618392544,-4.53517990982378,5.75544038189406e-06,0.000275472721840245
"C3orf36",26.5846647634334,-8.99227315177758,1.98639148313835,-4.5269390390108,5.9844194304742e-06,0.000284871409946551
"TTC4P1",26.5846647634334,-8.99227315177758,1.98639148313835,-4.5269390390108,5.9844194304742e-06,0.000284871409946551
"FCAR",2108.56781331266,2.35345692647489,0.52114194641605,4.5159614240609,6.30301386494868e-06,0.000299221881034385
"BMPER",39.4924528980429,-5.73276363538817,1.27082668013774,-4.51105073963889,6.45072866969507e-06,0.000305404416963612
"LRIG1",937.431919413536,2.51011303933149,0.556592165380968,4.50978866656057,6.48922385626312e-06,0.000306396596672748
"AMOTL2",440.305697499241,-3.17740632333483,0.705151812343545,-4.505989019265,6.60645038001387e-06,0.000311090803608739
"IL1RAP",1359.95247985486,-2.21080113277154,0.491322807869315,-4.49969164337998,6.8052104763114e-06,0.000319588782314947
"KLRD1",1342.38705446842,2.49875950234264,0.555785347637821,4.49590748112158,6.92738551484047e-06,0.000324454222370678
"ITGB5",1242.43361899438,-2.22916583020511,0.496052656591495,-4.49380887408662,6.99604240673175e-06,0.00032679374557648
"ERAP2",1278.52254576891,2.28819951836032,0.509513861839104,4.49094654677501,7.09073464598447e-06,0.000330333691374263
"CFP",1507.58281591406,2.49493994850149,0.555642882945087,4.49018609808786,7.11609735831498e-06,0.000330633566089794
"ENSG00000282416",137.082829421766,9.66694351765537,2.15345115380076,4.48904703531055,7.15425009851178e-06,0.000331524533742708
"DOP1B",1366.65867018183,-2.18780774264984,0.487430926267595,-4.48844672085652,7.17443618448973e-06,0.000331580423658824
"MT-CO3",216608.109856337,-2.04788850481103,0.456946411162728,-4.48168199767682,7.40570386772899e-06,0.000341365822082389
"EFHD1",929.4708132407,-2.50960391177446,0.560057962063848,-4.48097175964861,7.43039438356285e-06,0.000341602604949587
"PRDX4",618.486582953144,-2.3176288101217,0.517973047043305,-4.4744197084215,7.6619110586486e-06,0.000351321748542234
