"Enriquecido_En","ID","Description","enrichmentScore","p.adjust","setSize","core_enrichment"
"Masculino","GO:0071706","tumor necrosis factor superfamily cytokine production",-0.371411736629422,0.000738903547624904,172,"TYROBP/IFNGR1/EPHB2/NOD1/ADAM10/TWIST1/TMEM106A/SYK/CCL19/CYBB/CLEC7A/PTPN6/CD86/FCGR1A/WNT5A/LILRB4/CCL3/TNFAIP3/HAVCR2/PYCARD/RIPK2/SIRPA/FCGR3A/IFIH1/AXL/FCGR2A/FCGR1BP/ZFP36/LGALS9/CD33/BTK/IL10/CD36/LY96/FCGR2B/TLR1/IL23A/CARD9/TREM2/ACP5/TLR6/LPL/GPNMB"
"Masculino","GO:1903555","regulation of tumor necrosis factor superfamily cytokine production",-0.371411736629422,0.000738903547624904,172,"TYROBP/IFNGR1/EPHB2/NOD1/ADAM10/TWIST1/TMEM106A/SYK/CCL19/CYBB/CLEC7A/PTPN6/CD86/FCGR1A/WNT5A/LILRB4/CCL3/TNFAIP3/HAVCR2/PYCARD/RIPK2/SIRPA/FCGR3A/IFIH1/AXL/FCGR2A/FCGR1BP/ZFP36/LGALS9/CD33/BTK/IL10/CD36/LY96/FCGR2B/TLR1/IL23A/CARD9/TREM2/ACP5/TLR6/LPL/GPNMB"
"Masculino","GO:0046651","lymphocyte proliferation",-0.331235388246845,0.000738903547624904,288,"EPHB2/HLA-DPA1/CD300A/STAT5A/ATM/AIF1/IL7R/SYK/CCL19/HHLA2/LRRC32/GAL/BCL6/CD80/CR2/SLC39A10/PTPN6/NCK1/CD86/CD22/VCAM1/MEF2C/TGFBR2/TNFRSF14/TNFRSF21/LILRB4/PELI1/LAPTM5/GAPT/HAVCR2/PYCARD/RIPK2/FCGR3A/CD74/CD40LG/IFNB1/HSPD1/HLA-DPB1/IL27/BTN2A2/CD4/IL18/LGALS9/CLCF1/HLA-DRB1/HLA-DMB/NCKAP1L/BTK/TNFSF13/IL10/CD81/IL4I1/CD40/CD180/MNDA/FCGR2B/GPR183/TFRC/P2RX7/IL23A/LIPA/TNFSF9/GPNMB/VSIG4"
"Femenino","GO:0060993","kidney morphogenesis",0.507868576617553,0.000743344390158894,82,"TACSTD2/BMP7/IRX2/FOXJ1/IRX3/LAMA5/NPNT/GLI3/GREB1L/PAX8/KIF26B/HOXB7/PAX2/BMP4/FGF2/HOXD11/HNF1B/SOX9/GCNT3/WWTR1/MAGED1/PBX1/GATA3/SALL1/GCNT4/GDNF/WNT7B/LGR4/NOG/FOXD1"
"Masculino","GO:0071402","cellular response to lipoprotein particle stimulus",-0.619874192335002,0.000764319441963747,37,"ABCA1/ITGB2/CD81/ABCG1/CD68/CD36/TXNIP/TREM2/TLR6/LPL/APOE"
"Femenino","GO:0061326","renal tubule development",0.5039975149161,0.000764319441963747,87,"LGR5/TACSTD2/IRX2/IRX3/COL4A1/LAMA5/PROM1/NPNT/GLI3/GREB1L/PAX8/KIF26B/HOXB7/PAX2/BMP4/FGF2/YAP1/HOXD11/HNF1B/SOX9/WWTR1/CD24/MAGED1/PBX1/GATA3/SALL1/GDNF/WNT7B/LGR4/NOG/FOXD1"
"Femenino","GO:0014032","neural crest cell development",0.532292250697915,0.000771243497416696,71,"SEMA5A/SEMA3F/BMP7/CDH2/NRG1/ISL1/LAMA5/FN1/SEMA6D/FOLR1/EDN1/BMP4/OVOL2/SOX9/SEMA6A/EDNRB/CITED2/GDNF/SEMA4F/RADIL/BMPR1A/SEMA4B/FOXC1/KITLG/SEMA4G/HTR2B/PEF1/EFNB1/FOXC2/SEMA3B/HES1"
"Masculino","GO:0032635","interleukin-6 production",-0.402496811114592,0.000778651775853965,145,"NOD1/TWIST1/TMEM106A/AIF1/TSLP/SYK/CLEC7A/PTPN6/WNT5A/LILRB4/LAPTM5/TNFAIP3/UNC93B1/HAVCR2/PYCARD/RIPK2/SIRPA/EREG/CD74/HSPD1/IFIH1/SIGLEC16/MAPK13/LGALS9/SCIMP/NCKAP1L/BTK/TLR8/IL10/CD36/HGF/TNF/TLR1/RAB7B/P2RX7/CARD9/TREM2/TLR7/TLR6/LPL"
"Masculino","GO:0032675","regulation of interleukin-6 production",-0.402496811114592,0.000778651775853965,145,"NOD1/TWIST1/TMEM106A/AIF1/TSLP/SYK/CLEC7A/PTPN6/WNT5A/LILRB4/LAPTM5/TNFAIP3/UNC93B1/HAVCR2/PYCARD/RIPK2/SIRPA/EREG/CD74/HSPD1/IFIH1/SIGLEC16/MAPK13/LGALS9/SCIMP/NCKAP1L/BTK/TLR8/IL10/CD36/HGF/TNF/TLR1/RAB7B/P2RX7/CARD9/TREM2/TLR7/TLR6/LPL"
"Femenino","GO:0051017","actin filament bundle assembly",0.426947540205807,0.000778651775853965,158,"ASAP3/FHOD3/CGNL1/TACSTD2/SFRP1/CCN2/AIF1L/SHANK3/TPM1/FAM171A1/PLS1/TJP1/ARHGEF15/PDLIM1/BAIAP2L1/PLS3/RAPGEF3/FERMT2/CALD1/ARHGAP28/MET/TACR1/AMOT/FAM107A/DPYSL3/PHLDB2/SYNPO/RHPN2/FHDC1/PAWR/TNFAIP1/LIMA1/SYNPO2L/PFN2/MYL9/SRF/RHOD/ARHGEF5/MYO1B/ITGB1BP1/ELN/CX3CL1"
