"","SRR26204549","SRR26204550","SRR26204553","SRR26204554","SRR26204557","SRR26204558"
"ENSG00000011009",2039.999,297,1233.999,419.001,1563,460
"ENSG00000011021",134.908,293.486,357.981,327.425,321.823,157.191
"ENSG00000011028",12,179,190,522,162,363
"ENSG00000011052",7.463,0,20.699,5.308,7.313,4.119
"ENSG00000011083",0,0,0,8,3,0
"ENSG00000011105",283,31,104,47,229,672
"ENSG00000011114",836.959,376.282,741.455,634.815,1088.283,396.477
"ENSG00000011132",334.071,199.937,302.007,223.053,375.457,136.03
"ENSG00000011143",51.943,65.528,83.853,58.342,83.222,44.604
"ENSG00000011198",3472.107,566.773,2091.767,569.156,4324.294,311.964
"ENSG00000011201",7,45,87.999,264.353,14,30
"ENSG00000011243",782,822,1026,836,1063,443.001
"ENSG00000011258",538.042,256.569,624.617,242.302,705.08,165.052
"ENSG00000011260",1500,285.971,1122.988,365.952,1362.288,231
"ENSG00000011275",284.209,701.57,593.856,771.928,621.092,428.909
"ENSG00000011295",265.049,551.727,238.259,617.541,291.669,345.215
"ENSG00000011304",4558.999,2935.932,4708.519,4498.375,5512.011,2644
"ENSG00000011332",1,25.337,9.272,18.426,12.503,12.461
"ENSG00000011347",728.999,14,152,22,399,370
"ENSG00000011376",52.002,142.078,179.325,297.133,151.998,126.018
"ENSG00000011405",951.662,484.766,924.625,679.726,1040.606,407.067
"ENSG00000011422",165,20501.259,1941.614,28299.004,5226.045,7679.885
"ENSG00000011426",16.999,54,30,163,56,177.001
"ENSG00000011451",411.001,345.842,538.562,495.989,584.001,367
"ENSG00000011454",2589.001,470.654,1511.117,624.746,1949.866,493.158
"ENSG00000011465",4,25.652,4.21,27.778,22.651,95.734
"ENSG00000011478",12.195,108.62,59.558,195.519,46.992,69.56
"ENSG00000011485",603.975,325.788,528.918,343.143,598.845,339.992
"ENSG00000011523",757.371,216.055,467.341,232.446,865.364,142.169
"ENSG00000011566",1591,233,1166,392.001,1740.999,257.999
"ENSG00000011590",1,12,28,51,21,13
"ENSG00000011600",150,2971.001,4317.999,3627,3561,1475.999
"ENSG00000011638",100.813,90.668,110.425,152.365,134.826,59.197
"ENSG00000011677",103,24,160,21,131,64
"ENSG00000012048",37.251,104.391,88.567,179.223,103.97,121.321
"ENSG00000012061",1080.624,455.318,991.746,588.458,1090.254,333.788
"ENSG00000012124",63.001,389.221,1137.059,999.065,1455.879,293
"ENSG00000012171",5619.099,212.563,1625.377,255.503,4440.369,500.637
"ENSG00000012174",466.702,88.938,205.474,127.31,380.701,168
"ENSG00000012211",332.073,84.797,247.9,85.866,274.754,71.494
"ENSG00000012223",50,2386,1219.999,6434,2301.001,559
"ENSG00000012232",27.021,489.534,393.89,527.031,405.068,1485.539
"ENSG00000012504",0,0,0,0,0,0
"ENSG00000012660",1580.999,2469,1479,2283,1659,877
"ENSG00000012779",882,2274.999,3619.999,2332,2438,719
"ENSG00000012817",86,593.986,125.038,657.997,1.057,7
"ENSG00000012822",1439.001,809.625,1486.999,810.999,1613.101,566
"ENSG00000012963",684,239,551,331.265,738.999,251
"ENSG00000012983",157.97,365.06,402.156,478.444,465.007,283.994
"ENSG00000013016",1393.965,87.01,445.001,76.003,882.924,216.879
"ENSG00000013275",1528.999,533.159,1255.999,745,1721,620.999
"ENSG00000013288",181.581,658.235,770.668,1262.881,662.564,749.879
"ENSG00000013293",1.857,25.456,18.268,29.138,11.316,4.908
"ENSG00000013297",1,12.258,5.046,20.115,22.203,216.467
"ENSG00000013306",965.88,822.164,1282.092,1359.285,1559.912,568.324
"ENSG00000013364",551.043,1676.325,2857.458,2439.853,2453.2,1477.454
"ENSG00000013374",1655.555,683.967,1527.708,699.339,2035.015,549.927
"ENSG00000013375",1051.523,290.123,526.448,353.831,811.747,517.403
"ENSG00000013392",76.521,21.274,36.528,20.694,63.045,29.013
"ENSG00000013441",734.025,4254.956,2276.735,4768.855,2001.764,1510.01
"ENSG00000013503",268,62,307,132,434,137
"ENSG00000013523",49.715,251.084,237.46,403.593,192.938,194.504
"ENSG00000013561",2180.593,227.383,1152.099,262.203,1446.784,207.891
"ENSG00000013563",563,436,675.001,666,608.999,350.001
"ENSG00000013573",39.031,301.193,196.872,380.97,112.39,165.376
"ENSG00000013583",1114,147,584,234.984,783,239
"ENSG00000013588",17.091,211.046,31.848,551.892,127.825,1896.87
"ENSG00000013619",8,137,8,650.001,18,100
"ENSG00000013725",23,2035.001,39.001,2539,100.001,565.999
"ENSG00000013810",121.996,1181.373,1078.906,1151.523,738.08,484.71
"ENSG00000014123",127,303,396,375,377,231
"ENSG00000014138",112.178,100.554,194.664,166.356,152.985,110.109
"ENSG00000014164",537,429,500,316,685,199
"ENSG00000014216",2354.01,1143.363,2309.714,1787.729,2804.24,1514.108
"ENSG00000014257",52,108.051,267.264,182.126,339.111,75.449
"ENSG00000014641",1142.001,501.61,1329.421,957.617,1564.001,480.154
"ENSG00000014824",1662.022,311.485,992.879,382.125,1437.9,288.199
"ENSG00000014914",324.999,191,437,282,539,168
"ENSG00000014919",542.743,184.856,515.401,253.923,616.478,251.502
"ENSG00000015133",70,1608.278,728.023,1647.698,738.985,487
"ENSG00000015153",231.859,264.503,354.434,138.005,298.048,100.401
"ENSG00000015171",2969.325,660.224,1588.945,651.731,2558.233,441.917
"ENSG00000015285",78.015,2036.753,2746.892,2047.07,2478.671,832.119
"ENSG00000015413",0,0,0,0,0,0
"ENSG00000015475",69,1847.074,682.001,1688.607,508.492,623.375
"ENSG00000015479",5584.222,3165.784,4520.998,3954.52,5871.49,2067.746
"ENSG00000015520",0,1,0,0,1,2
"ENSG00000015532",22.746,140.441,139.42,153.338,146.584,155.767
"ENSG00000015568",40.292,251.063,58.748,210.798,67.2,94.799
"ENSG00000015592",0,1,1,0,0,0
"ENSG00000015676",741,408,589.999,538,709.698,391
"ENSG00000016082",2,2,5,3,14.002,67
"ENSG00000016391",16.391,21.698,12.776,31.404,23.207,65.216
"ENSG00000016402",93,3,21,2,73,11
"ENSG00000016490",0,0,0,0,0,0
"ENSG00000016602",0,0,0,0,0,0
"ENSG00000016864",324.999,114.001,282,185.001,277.209,299.001
"ENSG00000017260",661.001,910.002,895,1420.999,1029.002,606
