"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NSUN5",799.609580771431,0.187425542210034,0.0530059769765231,3.53593222690804,0.00040633892361272,0.000654225039896207
"NT5DC3",559.23450490751,1.33641046727753,0.0818272583486802,16.3320939042446,5.83469476214176e-60,4.70476848496862e-59
"NT5DC4",6.21545715316287,1.19834966009574,0.262207744341154,4.57022985002527,4.87189578845237e-06,8.75270081860594e-06
"NT5E",2591.37652146753,1.21630648601265,0.20859488243851,5.83095074909708,5.51124509838436e-09,1.13289208318383e-08
"NTF3",19.665003402368,2.4578975397281,0.168469513890388,14.5895686582635,3.27260208929836e-48,2.0292106021503e-47
"NTHL1",152.486564111463,0.345821374161164,0.0690230535555731,5.01023000790207,5.43650202203514e-07,1.02181670336075e-06
"NTM",3.28631721348255,1.88734037140726,0.3207138439603,5.88481104557771,3.98509011166182e-09,8.2441847733803e-09
"NTN1",187.121407343037,1.033352347798,0.133745158795584,7.72627852180705,1.10736202720855e-14,2.82598389664116e-14
"NTN5",3.73523290950028,0.706007816177825,0.25100028527894,2.81277694721832,0.0049115708018233,0.00725718023653458
"NTNG1",17.4847136424834,1.70636905451066,0.201703497020172,8.45978914455812,2.67861403261269e-17,7.42633514298427e-17
"NTNG2",17.9887846180115,1.20441837929237,0.143425412498275,8.39752424840931,4.55990403076123e-17,1.25620831121397e-16
"NTRK2",35.5366481710184,1.99098194850768,0.223785086270683,8.89684822919547,5.74549850230372e-19,1.68129396162861e-18
"NUB1",1746.66465214115,0.503008923737823,0.0244325826347239,20.5876280562719,3.54294044090453e-94,5.80047542806844e-93
"NUBP1",796.551913675834,0.257160025335114,0.0342181347677082,7.51531394334786,5.67745262077856e-14,1.41380192601514e-13
"NUCB1",7931.57877775368,0.849465683828145,0.0536350955495888,15.8378702437989,1.70498334235205e-56,1.26316152927497e-55
"NUDC",2699.28744548186,0.238156487859379,0.0382882574344622,6.22009210701296,4.96863119418261e-10,1.07117912719939e-09
"NUDCD3",2039.04158345543,0.275618665217339,0.028065475985498,9.82055908689227,9.18328080463209e-23,3.02270746996808e-22
"NUDT16L1",729.134572750386,0.41205391954973,0.0599986866709122,6.8677156520077,6.5238089911112e-12,1.50789357679928e-11
"NUDT17",22.6035229158213,0.274514581404323,0.0997577279321937,2.7518126875435,0.00592664094666446,0.00869286775957669
"NUDT9",745.874989809064,0.666729836630868,0.0394801231037877,16.8877344905468,5.53893780666338e-64,4.83876474183652e-63
