Gene_Symbol,WT_1.gProcessedSignal,WT_2.gProcessedSignal,RNA5_TLR4_1.gProcessedSignal,RNA5_TLR4_2.gProcessedSignal
EWSAT1,3.529099,3.073513,3.33762,3.990223
LOC220729,152.0445,150.1532,110.9763,107.7249
SNAI3-AS1,28.19211,29.91875,21.08168,25.94926
,2.595326,3.049415,3.34288,3.165361
,3.216994,3.305577,3.562495,9.181914
NUP50-DT,19.23898,32.73698,48.10282,39.10127
LINC01043,8.412984,7.553987,11.4509,3.339227
,12.22558,18.08642,9.51103,10.16572
LINC01503,30.04547,17.52268,34.31647,29.14891
LINC01004,37.07235,33.58902,79.52295,56.02028
LINC00574,7.165712,3.606754,5.011284,3.748642
,39.8977,50.34533,55.55364,43.24414
HCG18,311.4522,407.3158,379.0786,362.1149
LINC00882,2.560825,3.059775,3.394565,3.318619
GMDS-DT,2.2399,2.658914,2.896802,2.729075
LINC02593,61.94337,65.11977,38.80562,35.79749
lnc-ARHGAP26-4,8.165748,6.280471,3.307876,14.9183
MIR4697HG,7.481728,6.78853,3.624586,3.125299
LOC105375451,76.17784,76.65433,61.05568,61.56695
TUG1,734.1862,855.8089,930.8357,914.4457
NR2F1-AS1,9.429154,6.550961,3.286839,3.238033
lnc-RP3-368B9.1.1-1,3.053796,7.768425,4.202987,3.250318
IPW,407.1116,639.7078,450.1386,347.9573
SEC14L1,318.1186,380.4365,318.9926,261.6911
MIG7,20.02678,16.63547,13.92028,18.72876
LINC01948,6.046081,3.421348,3.666675,3.481409
LINC01237,68.0005,87.36232,68.824,53.74662
FLJ46906,24.06715,30.53568,12.00584,10.18369
SNHG14,123.0044,259.088,193.9769,139.7232
LINC01094,2.265285,2.633578,3.798072,2.840017
ZMIZ1-AS1,92.88079,97.58955,94.26355,76.34466
LINC00632,26.75278,41.25364,12.22329,6.321254
FLJ32255,436.1173,504.7422,441.5145,403.756
LOC100507403,4.756837,4.627555,8.003044,8.025789
LOC642852,105.8281,102.9037,91.76054,83.43308
XLOC_l2_013542,2.387718,2.728401,2.97149,2.789207
NBAT1,39.30364,38.02964,32.09538,29.95692
LOC101927151,12.27332,27.77468,20.47054,16.30146
CA5BP1,643.0995,794.3639,552.3026,468.3018
LINC01806,332.2129,356.5724,274.7924,232.7161
LINC00662,30.34971,32.6864,56.69743,60.4543
lnc-MRPL14-1,7.957819,6.904658,20.73318,15.88315
MIAT,2.982798,2.91964,6.983944,3.487825
,123.8039,159.4053,247.4604,159.2729
ZNF519,4.468389,6.932172,3.302749,8.053824
LOC101929709,75.10106,60.68252,83.2703,61.53319
CTD-3080P12.3,10.21249,3.095012,8.202376,5.688168
lnc-UBLCP1-4,124.5574,126.3719,121.8521,102.8661
LINC-PINT,19.31963,41.4661,87.53859,87.79109
lnc-SNCA-2,37.54771,31.47178,27.58802,28.60591
XLOC_l2_006673,102.2914,139.4375,133.4523,109.6366
LOC283177,20.54162,22.05862,18.36467,19.76678
ZNF876P,4.824952,2.664829,6.292133,8.596462
MIATNB,8.723358,4.608677,7.385717,11.22871
LOC100287290,5.304243,3.233293,11.72588,4.677168
FLJ46906,78.80101,118.7164,65.73103,71.66204
LINC00882,16.55129,14.74293,20.74478,8.896801
PCAT19,63.88472,41.89519,47.45612,50.62001
MDM4,838.4628,1400.26,1410.883,1213.308
SRP14-AS1,15.91303,17.97949,16.05163,16.35434
LOC101927237,5.436481,8.795384,10.19262,5.946709
CDYL2,657.2685,1314.075,860.8605,669.2529
EPCAM-DT,32.70018,34.51469,26.44477,29.98821
CARMN,3.776643,16.03728,3.458028,3.401617
,2.759976,2.839033,3.153219,3.110223
,55.64236,64.50503,62.37094,37.19197
,2.687239,3.271222,3.66339,3.561472
SNHG11,102.3762,123.5813,110.4765,104.8042
LOC102724030,2.225543,2.684057,7.433995,4.501507
LINC00160,26.83214,28.86084,30.60242,28.29978
CRYBB2P1,17.07276,29.36772,13.36367,21.22527
UBA6-AS1,26.45372,45.15807,49.0276,56.05971
lnc-KIAA0020-1,63.98937,85.26784,82.32819,64.27072
LINC01505,7.02527,3.03291,10.09281,3.434969
LINC01539,2.344631,3.016575,3.271969,3.099057
LINC00841,9.341453,15.86444,7.777026,9.166077
PURPL,6.509633,9.152365,7.748583,10.34658
LINC00942,55.44724,67.30566,89.56197,67.04691
FAM200B,554.1154,758.562,572.9176,451.1092
LINC00211,154.8007,157.1382,173.3952,138.4464
LINC00861,465.3734,437.64,399.8296,379.4748
PSD2-AS1,118.6966,83.3152,81.91133,85.39849
LINC01192,42.72314,60.81737,46.29488,47.45768
STMN1,11.92145,15.48262,16.29687,7.906874
LINC00894,19.09617,9.963656,15.72995,8.133914
LINC-PINT,46.88813,68.5902,62.67595,61.76247
LINC01133,2.684279,3.354524,3.739229,3.511495
,443.8548,652.7967,635.5751,666.309
,2.411426,2.812471,3.078421,3.002566
,3.590113,3.013888,3.334015,3.211626
FAM200B,43.90915,55.56186,24.17224,12.22457
PVT1,190.3377,283.5925,393.163,348.4571
LINC00963,401.9047,416.5575,611.8394,531.5538
,2.694437,2.730235,2.980731,2.804932
TIAM2,144.3136,150.7713,170.7824,135.4672
LNCAROD,2.467708,3.048482,3.380845,3.155478
LOC101927136,25.46905,26.03043,25.83001,25.00314
LOC100294145,237.9976,298.2068,264.5663,270.1994
LINC00877,11.97759,15.34612,10.63518,11.12502
LOC100132356,87.72486,135.8137,185.203,205.6397
LOC101927136,2.415952,2.742263,2.977079,2.907094
lnc-LRIG2-4,94.64138,144.8106,250.7275,227.3293
LOC728755,2.506076,3.198136,3.502532,3.305879
LINC01606,2.385623,3.043188,6.31526,3.121068
KC6,2.476205,3.025515,3.331048,3.135334
CRYBG3,198.7234,295.1289,292.9827,292.1211
LINC01192,3.251692,3.354952,3.574216,3.782689
LINC01747,60.04371,51.48078,56.84559,41.15016
LOC202181,97.66595,70.48005,137.4011,73.52099
LINC01133,49.53216,46.69394,32.06475,36.57014
LINC02099,5.969681,6.898462,4.223595,11.8118
ARMCX5-GPRASP2,65.34944,87.35713,55.01252,80.51241
GVQW3,36.87846,43.41671,35.56767,26.69363
,3.901601,5.722378,15.49211,12.76635
NEAT1,9348.964,7970.01,10832.46,10520.37
CCDC171,127.4197,119.4656,107.7439,89.12339
LINC01237,35.23323,34.96373,22.00129,19.0267
LOC101927136,7.398,10.5424,17.14631,7.9129
LINC-PINT,125.1996,192.9732,233.7896,201.016
,3.004431,10.86261,15.84542,19.96304
,543.0401,563.457,600.102,548.477
LINC02532,11.9875,3.076755,23.3625,24.17623
,10.1117,4.274582,12.20062,8.077544
LOC101928932,3.128775,3.29509,3.497196,3.418815
LINC01091,17.01146,13.54672,12.9164,10.50074
LOC105377621,379.5359,322.5532,269.4803,258.013
HCG18,486.7214,650.9161,772.0746,663.4757
,21.67119,25.76738,39.86525,26.65786
lnc-MACC1-1,3.892968,3.099515,3.3945,3.215167
LINC02036,12.80177,13.00975,15.90462,11.13995
SNHG5,34057.36,40758.12,42243.1,38477.75
lnc-MAGEA8-2,8.343661,17.11826,10.43347,5.151096
LINC01204,2.625101,6.582741,3.425479,3.206483
C7orf71,2.287084,2.894351,3.133858,2.975963
,277.7263,247.6495,220.5265,214.9078
LINC01108,17.77862,19.34943,16.50627,16.11555
BPESC1,3.401482,3.471592,3.755874,3.554579
DLEU1,88.08119,83.19987,67.57421,74.64886
C14orf132,84.94431,104.5423,117.7543,110.1867
LINC01550,2.445315,3.139077,3.46547,3.271696
,3.205142,2.712472,2.9601,5.618511
LINC02532,21.07327,22.46639,27.52241,9.827373
MIATNB,19.21431,21.07434,29.37433,23.12017
LINC00887,13.67343,16.30563,24.68978,12.99252
DDAH1,103.3505,153.4132,206.9335,153.9817
,786.8354,852.2201,611.211,501.3802
LOC105377329,6.130693,12.76715,3.485429,5.475203
LINC01829,22.07094,18.24572,14.7346,21.15281
LINC00313,60.07877,51.71868,35.49753,30.40187
MIR100HG,157.0746,149.8563,217.5495,186.1443
,2.351473,2.883229,4.443938,2.976661
lnc-CCDC71L-1,1085.429,1073.68,882.4616,778.8446
LINC00881,49.8656,60.76712,53.11536,64.92517
LINC00472,69.87383,97.61602,186.107,147.1229
,896.0164,1640.782,666.1838,524.4288
LINC00630,15.04049,29.72331,30.82005,35.79059
LINC01588,100.3427,199.4489,124.1404,82.22859
LINC-PINT,9.873663,15.68832,19.98997,11.60016
,196.5464,171.4648,197.0313,180.2835
LINC00664,2.573914,3.210315,3.562592,3.34248
lnc-HSCB-2,5.345327,3.119107,3.558215,3.239339
,2.601071,3.119021,3.471842,3.395049
LOC100506403,17.37372,73.12801,48.98321,31.65276
LINC00958,8572.056,13083.03,12717.6,11436.66
LINC00894,18.32898,18.7389,30.76199,30.7388
IPW,68.51253,81.2607,80.9975,78.74716
LINC01118,5.764867,22.31456,3.204618,3.192903
TALAM1,74.46168,99.66846,99.36859,102.0151
LOC101929452,2.252775,2.788895,3.033206,4.797024
XLOC_l2_013153,6.910959,15.84417,4.797549,3.766902
LINC00322,3.131805,3.433223,3.762981,3.570019
BLCAP,35.68253,49.11169,33.2429,26.90971
LINC01013,3.011243,3.194774,4.065817,3.336869
LOC400499,5.348178,8.610695,9.036723,3.954535
TDRG1,190.509,209.1174,237.352,226.8275
GARS-DT,28.62417,48.44126,58.41708,46.97062
LINC00963,20.104,16.5643,12.51547,8.462758
LINC00698,2.638672,3.286693,3.663011,3.447105
GDNF-AS1,2.696028,3.318539,6.388988,3.574571
lnc-COL5A1-1,2.263258,2.685314,4.555867,2.743476
,3.243101,3.39646,5.068416,4.4577
,3.098619,3.28877,3.599377,3.386975
LINC01606,2.845703,3.57808,4.044228,3.861433
LINC00894,9.174695,18.17443,23.93204,29.68288
MIAT,2.468754,7.917958,2.951531,5.010366
SNHG17,706.0664,741.7817,615.2255,527.9613
ARMCX5-GPRASP2,84.08905,119.8822,108.4788,119.0463
ZNF124,41.77103,37.1519,52.73004,45.46332
EDDM13,3.226965,6.00835,3.720984,3.515595
LOC101929709,89.61358,92.52489,151.8693,140.9134
LINC01013,2.40729,2.726314,2.957161,7.089354
LINC01091,22.36611,29.40827,31.24838,16.98856
FENDRR,2.915391,3.824007,3.321159,3.114834
ZSWIM6,100.7357,179.5923,160.8542,145.7464
LINC01094,18.15669,17.007,17.8175,14.4328
AOX3P-AOX2P,2.487211,3.214518,3.502539,4.745466
,2.510021,2.981845,3.29477,3.219967
LINC01192,41.69058,57.64888,54.21423,35.37378
,314.0332,494.6608,384.5059,388.0597
LINC00707,2.383585,2.726034,2.96342,5.70767
,3.298097,7.158664,3.335439,3.081846
MAGI2-AS3,8.384342,13.0617,14.51092,15.72541
LINC01978,162.0403,142.6205,164.8003,140.0761
LINC00472,38.27716,55.01964,158.4447,132.1755
FENDRR,10.10804,9.792048,3.409738,3.29879
STXBP5-AS1,6.377765,20.14673,12.22042,13.4878
OXR1,17.92383,16.71076,56.75128,59.79829
LINC01094,22.01073,34.86715,19.8442,14.44305
FENDRR,6.767969,5.060321,6.255947,3.459738
LINC00886,3.135185,3.304412,3.511761,3.496001
LINC01829,2.597887,2.830332,3.087004,2.885213
TSTD3,77.53479,102.3527,189.4068,162.2671
LOC102723493,22.03677,26.79819,29.17247,4.517263
PURPL,6.585311,10.84402,6.63762,3.197958
LINC01162,2.67962,2.88691,4.634473,2.967886
CRNDE,1977.693,2270.953,1809.658,1551.665
MIR34AHG,149.9187,172.0757,186.2978,159.0362
MIAT,2.54132,2.838527,3.968152,3.098628
LINC01372,44.45905,44.21506,62.83429,44.09421
LOC101929719,305.1578,288.3579,299.2251,245.8365
KIAA1671,69.18759,71.23899,66.24891,76.75923
LINC01013,2.401318,3.02125,3.310447,3.132524
LOC105375670,3.259124,4.426407,3.578528,3.426273
XLOC_l2_010831,33.04809,32.0078,14.62566,26.01074
LINC01592,2.584141,3.02374,3.362404,3.321792
RPS6KA5,28.59322,49.61994,44.3325,44.71941
EWSAT1,11.21155,3.261946,13.03341,11.53516
,8.619202,4.215691,10.45032,9.692698
,6.095772,2.755176,3.003196,6.745894
ERVMER34-1,408.5769,378.7647,511.4568,423.2407
LINC00662,225.1346,386.9086,369.582,291.1829
LINC00630,8.003736,4.686531,14.05846,11.61437
ZNF254,35.31391,37.31922,40.16854,49.86415
lnc-SLC30A7-2,8.40093,24.07239,22.10142,31.36722
,2.337954,3.018902,3.271373,3.111183
MCF2L,9.083526,12.09799,21.4001,11.27406
ZNF320,111.4274,117.2088,116.0713,84.49241
SEC14L1,210.736,254.4193,244.8018,194.914
LOC400499,2.276129,2.706962,2.93899,2.768588
CDKN2B-AS1,73.78519,78.32788,106.2697,88.16496
MIAT,12.43115,13.29516,48.17267,62.51343
