"ProbeID","Gene_Symbol","x.WT_1.gProcessedSignal","x.WT_2.gProcessedSignal","median.1","std.dev.1","p.outlier.x","flag.outlier.x","y.RNA5_TLR4_1.gProcessedSignal","y.RNA5_TLR4_2.gProcessedSignal","median.2","std.dev.2","p.outlier.y","flag.outlier.y","median.diff","pooled.std.dev","z.stats"
"A_19_P00316753","PVT1",8.02706988150416,8.13933774070552,8.08320381110484,0.229533886567378,0.72959229724726,".",8.95641981965465,9.23846870222438,9.09744426093951,0.12250472506139,0.104232582588624,".",-1.01424044983468,0.183974472067584,-5.51294121644272
"A_19_P00316758","MAP3K13",11.1858117288514,11.097773691123,11.1417927099872,0.159368123793519,0.696016546007193,".",10.9144762600133,10.951809246797,10.9331427534051,0.100214011064524,0.792395415063259,".",0.20864995658205,0.13311845644971,1.56740066063547
"A_19_P00316815","ARMCX5-GPRASP2",5.82101748573794,5.32866813747929,5.57484281160862,0.298165024083637,0.244524700245335,".",4.96887076472171,5.29938680586653,5.13412878529412,0.245915874330966,0.34204323643042,".",0.440714026314495,0.273291967348804,1.6126124400576
"A_19_P00316836","LINC01291",5.94962791686462,5.87991029068509,5.91476910377486,0.285948645285413,0.86392216571721,".",4.60065108321169,5.1088107190557,4.8547309011337,0.261105492624614,0.167266486742322,".",1.06003820264116,0.273808971747919,3.87145167623316
"A_19_P00316857","MIR570HG",7.95738379576548,7.15668595319277,7.55703487447913,0.247386145423633,0.021227823973428,".",7.50786049863331,7.66572882481817,7.58679466172574,0.152027639112423,0.461034389006181,".",-0.0297597872466149,0.2053196386146,-0.14494369582676
"A_19_P00316985","LINC00472",7.52060355841328,7.68007372961309,7.60033864401318,0.246021126488456,0.644673488717583,".",8.6444152081082,8.57469702605048,8.60955611707934,0.129961200012737,0.705104327976164,".",-1.00921747306615,0.196743879431356,-5.12960035139631
"A_19_P00317023","lnc-MYC-2",7.63322201493325,8.88992400450082,8.26157300971703,0.223262532586709,7.22560377905967e-05,"***",10.533477718328,10.5271131920312,10.5302954551796,0.10546441711318,0.965876418707853,".",-2.26872244546256,0.1745979692523,-12.9939795701987
"A_19_P00317094","DANT2",4.60328124432876,4.40537142005262,4.50432633219069,0.339511841021463,0.679448815809484,".",4.70146786566016,4.82676966885942,4.76411876725979,0.265936196270234,0.737851218403761,".",-0.2597924350691,0.30495110319563,-0.851915052435274
"A_19_P00317178","SNHG5",13.0397819389423,12.9910736800684,13.0154278095054,0.132460669446154,0.794276673962451,".",13.3598655493565,13.4168466096922,13.3883560795243,0.0806728658926821,0.612887690763442,".",-0.372928270018999,0.109667543606716,-3.40053454061464
"A_19_P00317180","PVT1",8.21384955104218,8.33539132081863,8.27462043593041,0.222807732084462,0.700564948346345,".",9.19649505922279,9.13942387564706,9.16795946743493,0.121608803602595,0.740387913396823,".",-0.893339031504521,0.179488142491748,-4.97714790014942
"A_19_P00317237","lnc-AC114947.1.1-2",8.02208414908175,8.31663850089597,8.16936132498886,0.226496356286784,0.358610980335879,".",8.66475619485245,8.97198277165253,8.81836948325249,0.126495416267356,0.0867983701374209,".",-0.64900815826363,0.183441666133735,-3.53795390078109
"A_19_P00317412","LINC01137",8.19584709887443,8.53074614347237,8.3632966211734,0.219742287430414,0.283132937343154,".",7.71633515248296,7.86258382893906,7.78945949071101,0.147144638590834,0.480785510254904,".",0.57383713046239,0.187000290843594,3.06864298378201
"A_19_P00317444","LOC389602",5.53408371637438,5.92240442839081,5.7282440723826,0.292353677739525,0.349975083146949,".",6.76682121058091,6.66865343612693,6.71773732335392,0.175772265995308,0.693112209427822,".",-0.989493250971325,0.241212108299885,-4.10217073241258
"A_19_P00317449","ZNF678",6.59108488831621,7.70964159654371,7.15036324242996,0.258165979861068,0.0020364855189019,"**",7.77837933741203,7.79708270077659,7.78773101909431,0.147185505722363,0.928174782957825,".",-0.63736777666435,0.210134773719598,-3.03313804460963
"A_19_P00317451","XIST",5.42851649989769,4.91554926927134,5.17203288458451,0.314818595395236,0.248140501673299,".",4.76556513461564,4.37787778089134,4.57172145775349,0.275875090473266,0.317381992626909,".",0.600311426831024,0.295988017958719,2.02816124440128
"A_19_P00317504","",5.6803253364145,5.80246962886918,5.74139748264184,0.291876226090651,0.76842595563539,".",4.93884894550894,5.39957877511587,5.16921386031241,0.244010001015865,0.182138697467846,".",0.572183622329435,0.26900986222877,2.12699868171689
"A_19_P00317507","MAGI2-AS3",7.20924676109196,7.01845222699134,7.11384949404165,0.258952210806494,0.60000545579312,".",6.53375568149136,6.68768498559996,6.61072033354566,0.179250672084625,0.544338428912363,".",0.50312916049599,0.222696038272306,2.2592640821063
"A_19_P00317597","",6.1826797737331,5.62980108865556,5.90624043119433,0.286223147525931,0.174514597246428,".",6.16024971540283,5.79305496135781,5.97665233838032,0.203776198579994,0.204687501747788,".",-0.0704119071859894,0.248443584428501,-0.283412056495478
"A_19_P00317647","LINC01278",6.07579033378449,5.95970698527766,6.01774865953108,0.282776598809309,0.772922926273499,".",6.48949051364163,6.27103243592281,6.38026147478222,0.187400250357057,0.411151956270963,".",-0.362512815251145,0.239876487664015,-1.51124780415704
"A_19_P00317653","",9.45336349422315,9.10837634493716,9.28086991958016,0.194041342792755,0.209718933048112,".",9.03643511338788,9.33527011203441,9.18585261271114,0.121387950677585,0.0821442308228697,".",0.0950173068690106,0.161844180127861,0.587091279982661
"A_19_P00317753","LOC101929563",5.18556052078918,5.24397906637738,5.21476979358328,0.313034177811333,0.894826665641524,".",4.86743013809413,5.26881633958261,5.06812323883837,0.249513787225124,0.255016288146121,".",0.146646554744911,0.283061412500398,0.518073281163693
"A_19_P00317789","LOC93622",10.7237416358499,10.7211696140666,10.7224556249583,0.166826570479682,0.991281260808253,".",10.7785156112592,10.7945690099066,10.7865423105829,0.102118829314879,0.911444386397931,".",-0.0640866856246483,0.138310086253053,-0.463355112854135
"A_19_P00317824","JPX",11.2853974967121,11.2429562351513,11.2641768659317,0.15726259490194,0.848708911866655,".",10.7387037050873,10.8080787059461,10.7733912055167,0.102290116897978,0.631317271272424,".",0.490785660415002,0.132655176624008,3.69970982592005
"A_19_P00317836","MIR4435-2HG",5.96621562083738,5.20034606115396,5.58328084099567,0.29783459471619,0.0699721913882132,".",5.4269500257939,5.41118264059918,5.41906633319654,0.230712247220788,0.961581057125411,".",0.16421450779913,0.266395933553257,0.616430234533969
"A_19_P00317871","PVT1",9.6842324868729,9.60092902957547,9.64258075822418,0.186554662460642,0.751998911643932,".",9.94420802268206,9.99321848390614,9.9687132532941,0.112610979731472,0.756945644494575,".",-0.326132495069917,0.154084189393147,-2.11658636979157
"A_19_P00317872","PVT1",8.84347726326874,8.79255911970343,8.81801819148609,0.205394005517878,0.861712500940095,".",9.02510636907076,9.07301788528411,9.04906212717744,0.123144256941694,0.783722408369448,".",-0.23104393569135,0.169338721975218,-1.36438927255612
"A_19_P00317904","lnc-ZNF674-3",4.77635199780036,5.40585829545489,5.09110514662762,0.318146807673354,0.160430841835037,".",7.13052958528728,7.11212720357261,7.12132839442994,0.164023585285586,0.936589999069376,".",-2.03022324780232,0.253101884389157,-8.02136757180658
"A_19_P00317937","PPP4R1L",5.81848081232519,5.70564677133465,5.76206379182992,0.29113335706139,0.785128583485186,".",5.6866959170483,6.01778937025992,5.85224264365411,0.209356006967341,0.265771617307971,".",-0.0901788518241897,0.253563176789478,-0.355646482135145
