NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	REACTOME_DEFECTIVE_FACTOR_VIII_CAUSES_HEMOPHILIA_A	Details ...	7	0.601445	1.2552351	0.086	0.9746223	1.0	4530	tags=86%, list=28%, signal=119%	
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS	Details ...	5	0.64848006	1.2503364	0.11811024	0.992708	1.0	1164	tags=20%, list=7%, signal=22%	
REACTOME_PROTEIN_METHYLATION	REACTOME_PROTEIN_METHYLATION	Details ...	9	0.55010015	1.2494643	0.23030303	0.9877286	1.0	3429	tags=56%, list=21%, signal=70%	
REACTOME_SYNTHESIS_OF_LIPOXINS_LX	REACTOME_SYNTHESIS_OF_LIPOXINS_LX	Details ...	5	0.6613649	1.24686	0.2742857	0.99608463	1.0	1419	tags=40%, list=9%, signal=44%	
REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN	REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN	Details ...	6	0.6221771	1.2449844	0.21031746	0.99640065	1.0	953	tags=33%, list=6%, signal=35%	
REACTOME_CARNITINE_METABOLISM	REACTOME_CARNITINE_METABOLISM		14	0.515293	1.2418308	0.15547025	1.0	1.0	3225	tags=57%, list=20%, signal=71%	
REACTOME_COMPLEX_I_BIOGENESIS	REACTOME_COMPLEX_I_BIOGENESIS		42	0.38116708	1.241778	0.2739726	0.9959678	1.0	5276	tags=69%, list=32%, signal=102%	
REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION	REACTOME_POU5F1_OCT4_SOX2_NANOG_REPRESS_GENES_RELATED_TO_DIFFERENTIATION		10	0.6158806	1.2410228	0.28656125	0.9911604	1.0	1352	tags=50%, list=8%, signal=55%	
REACTOME_LYSINE_CATABOLISM	REACTOME_LYSINE_CATABOLISM		10	0.57358557	1.2407355	0.16129032	0.98337984	1.0	3863	tags=60%, list=24%, signal=79%	
REACTOME_METABOLISM_OF_COFACTORS	REACTOME_METABOLISM_OF_COFACTORS		19	0.47484264	1.238531	0.15587045	0.98685414	1.0	1566	tags=32%, list=10%, signal=35%	
