NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL		36	-0.42536402	-1.2636508	0.26908398	0.4376214	1.0	4697	tags=56%, list=29%, signal=78%	
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1		17	-0.5315561	-1.2624617	0.19758065	0.439052	1.0	612	tags=18%, list=4%, signal=18%	
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING		44	-0.5102735	-1.2616553	0.28456914	0.4400349	1.0	1257	tags=20%, list=8%, signal=22%	
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER	REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION_INITIATION_FROM_TYPE_1_PROMOTER		26	-0.3857988	-1.2590258	0.14166667	0.446025	1.0	2912	tags=38%, list=18%, signal=47%	
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS		17	-0.5145204	-1.2575392	0.13385826	0.44830212	1.0	1243	tags=18%, list=8%, signal=19%	
REACTOME_RUNX3_REGULATES_P14_ARF	REACTOME_RUNX3_REGULATES_P14_ARF		10	-0.62793756	-1.2572478	0.17681728	0.44739535	1.0	3465	tags=80%, list=21%, signal=102%	
REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES	REACTOME_RESOLUTION_OF_D_LOOP_STRUCTURES		23	-0.46605247	-1.2551471	0.088709675	0.45216623	1.0	518	tags=13%, list=3%, signal=13%	
REACTOME_MET_ACTIVATES_RAS_SIGNALING	REACTOME_MET_ACTIVATES_RAS_SIGNALING		11	-0.47834826	-1.2508721	0.12098299	0.46186578	1.0	3734	tags=55%, list=23%, signal=71%	
REACTOME_INTERLEUKIN_7_SIGNALING	REACTOME_INTERLEUKIN_7_SIGNALING		23	-0.4453058	-1.2494465	0.19189766	0.46524015	1.0	2783	tags=35%, list=17%, signal=42%	
REACTOME_KERATAN_SULFATE_BIOSYNTHESIS	REACTOME_KERATAN_SULFATE_BIOSYNTHESIS		26	-0.46367547	-1.2434552	0.15430862	0.48056543	1.0	1681	tags=27%, list=10%, signal=30%	
REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON		17	-0.52276826	-1.2411618	0.16496944	0.4842161	1.0	1191	tags=29%, list=7%, signal=32%	
REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION	REACTOME_RAF_INDEPENDENT_MAPK1_3_ACTIVATION		22	-0.56300825	-1.2397578	0.2509804	0.48587334	1.0	1536	tags=41%, list=9%, signal=45%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS		292	-0.37600717	-1.2394433	0.0	0.4850775	1.0	3116	tags=20%, list=19%, signal=24%	
REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA	REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA		44	-0.41453195	-1.2384243	0.08858268	0.48569787	1.0	2932	tags=25%, list=18%, signal=30%	
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY	REACTOME_CLEC7A_INFLAMMASOME_PATHWAY		6	-0.7487635	-1.2376531	0.21235521	0.4860069	1.0	1717	tags=50%, list=11%, signal=56%	
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE	REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE		60	-0.4347772	-1.2371213	0.18951613	0.4860773	1.0	4923	tags=55%, list=30%, signal=79%	
REACTOME_MAPK1_ERK2_ACTIVATION	REACTOME_MAPK1_ERK2_ACTIVATION		9	-0.55859876	-1.2370163	0.26129666	0.4847365	1.0	2802	tags=44%, list=17%, signal=54%	
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING		14	-0.53279275	-1.2369899	0.040650405	0.48325312	1.0	789	tags=21%, list=5%, signal=23%	
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION		35	-0.47928604	-1.2357734	0.14371258	0.48532197	1.0	1197	tags=20%, list=7%, signal=22%	
REACTOME_TCR_SIGNALING	REACTOME_TCR_SIGNALING		111	-0.40303642	-1.2348542	0.22529644	0.4872049	1.0	1803	tags=17%, list=11%, signal=19%	
REACTOME_ATTENUATION_PHASE	REACTOME_ATTENUATION_PHASE		28	-0.5000221	-1.2346601	0.21553399	0.48609945	1.0	3516	tags=43%, list=22%, signal=55%	
REACTOME_RHOBTB2_GTPASE_CYCLE	REACTOME_RHOBTB2_GTPASE_CYCLE		19	-0.4242362	-1.2341286	0.12701613	0.48538873	1.0	5208	tags=74%, list=32%, signal=108%	
REACTOME_SIGNALING_BY_NOTCH2	REACTOME_SIGNALING_BY_NOTCH2		29	-0.44866344	-1.234102	0.18042226	0.48393014	1.0	3509	tags=45%, list=22%, signal=57%	
REACTOME_SIGNALING_BY_ERYTHROPOIETIN	REACTOME_SIGNALING_BY_ERYTHROPOIETIN		25	-0.45297453	-1.2337524	0.1529175	0.48357663	1.0	877	tags=20%, list=5%, signal=21%	
REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM	REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM		32	-0.41367793	-1.2324318	0.14202334	0.48591584	1.0	1681	tags=22%, list=10%, signal=24%	
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION	REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION		27	-0.46558547	-1.2321916	0.17303823	0.48527458	1.0	1474	tags=15%, list=9%, signal=16%	
REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION	REACTOME_MASTL_FACILITATES_MITOTIC_PROGRESSION		8	-0.48901567	-1.2313992	0.16597511	0.4864163	1.0	285	tags=13%, list=2%, signal=13%	
REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION	REACTOME_PURINERGIC_SIGNALING_IN_LEISHMANIASIS_INFECTION		24	-0.49393457	-1.2220006	0.12966602	0.51116616	1.0	1927	tags=25%, list=12%, signal=28%	
REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5	REACTOME_ACTIVATED_NTRK2_SIGNALS_THROUGH_CDK5		6	-0.6499939	-1.2218797	0.16920152	0.50977486	1.0	5688	tags=83%, list=35%, signal=128%	
REACTOME_CHROMATIN_MODIFYING_ENZYMES	REACTOME_CHROMATIN_MODIFYING_ENZYMES		145	-0.3250236	-1.2207671	0.100196466	0.5115461	1.0	2427	tags=23%, list=15%, signal=27%	
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2	REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2		117	-0.3221193	-1.2204863	0.11673152	0.5106374	1.0	3527	tags=29%, list=22%, signal=37%	
REACTOME_ESR_MEDIATED_SIGNALING	REACTOME_ESR_MEDIATED_SIGNALING		148	-0.35216707	-1.2203921	0.11904762	0.5093255	1.0	3951	tags=40%, list=24%, signal=52%	
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY		17	-0.5668531	-1.2197399	0.23791103	0.5102737	1.0	1348	tags=41%, list=8%, signal=45%	
REACTOME_HATS_ACETYLATE_HISTONES	REACTOME_HATS_ACETYLATE_HISTONES		51	-0.3698432	-1.2196131	0.091451295	0.5089029	1.0	3065	tags=27%, list=19%, signal=34%	
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS		41	-0.4424443	-1.2192204	0.18003914	0.50857526	1.0	1812	tags=22%, list=11%, signal=25%	
REACTOME_DEREGULATED_CDK5_TRIGGERS_MULTIPLE_NEURODEGENERATIVE_PATHWAYS_IN_ALZHEIMER_S_DISEASE_MODELS	REACTOME_DEREGULATED_CDK5_TRIGGERS_MULTIPLE_NEURODEGENERATIVE_PATHWAYS_IN_ALZHEIMER_S_DISEASE_MODELS		21	-0.42232057	-1.2186712	0.12450593	0.5083081	1.0	1565	tags=24%, list=10%, signal=26%	
