NAME	TITLE	SCORE	
SPATA21	spermatogenesis associated 21	1.0172788	
RBP7	retinol binding protein 7, cellular	1.0166488	
PPARD	peroxisome proliferative activated receptor, delta	1.0137914	
LOC647323	-	1.0136315	
TSPO	translocator protein (18kDa)	1.0107279	
DUSP9	dual specificity phosphatase 9	1.0107154	
AKR1A1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	1.0087537	
PPP1R13L	protein phosphatase 1, regulatory (inhibitor) subunit 13 like	1.0044621	
MAN1C1	mannosidase, alpha, class 1C, member 1	1.0037482	
RPS3A	ribosomal protein S3A	1.0022635	
DOK6	docking protein 6	1.0021629	
RPL4	ribosomal protein L4	1.0003827	
APH1B	anterior pharynx defective 1 homolog B (C. elegans)	0.9993886	
GNMT	glycine N-methyltransferase	0.9977346	
RCCD1	RCC1 domain containing 1	0.9976909	
DEPDC4	DEP domain containing 4	0.9975182	
SLC34A1	solute carrier family 34 (sodium phosphate), member 1	0.99734664	
ARF1	ADP-ribosylation factor 1	0.9956438	
SAMD13	sterile alpha motif domain containing 13	0.99562645	
PCDHB19P	protocadherin beta 19 pseudogene	0.99532336	
ABCA8	ATP-binding cassette, sub-family A (ABC1), member 8	0.99519587	
ACOXL	acyl-Coenzyme A oxidase-like	0.99510753	
AMY2A	amylase, alpha 2A; pancreatic	0.9940144	
LOC553103	-	0.9939205	
RPL6	ribosomal protein L6	0.99355036	
SHOC2	soc-2 suppressor of clear homolog (C. elegans)	0.99349296	
SRD5A2	steroid-5-alpha-reductase, alpha polypeptide 2 (3-oxo-5 alpha-steroid delta 4-dehydrogenase alpha 2)	0.993238	
FSCN2	fascin homolog 2, actin-bundling protein, retinal (Strongylocentrotus purpuratus)	0.9930768	
ZNF559	zinc finger protein 559	0.99277085	
PHGDH	phosphoglycerate dehydrogenase	0.99093604	
APOH	apolipoprotein H (beta-2-glycoprotein I)	0.98974276	
TMEFF2	transmembrane protein with EGF-like and two follistatin-like domains 2	0.9876016	
XK	X-linked Kx blood group (McLeod syndrome)	0.9870466	
EIF4EBP2	eukaryotic translation initiation factor 4E binding protein 2	0.9832105	
CLEC3B	C-type lectin domain family 3, member B	0.98307765	
ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)	0.9821841	
HTRA4	HtrA serine peptidase 4	0.9797044	
RPL3	ribosomal protein L3	0.979466	
EPDR1	ependymin related protein 1 (zebrafish)	0.9745779	
DHFR	dihydrofolate reductase	0.97239053	
GPR125	G protein-coupled receptor 125	0.971869	
OR2A9P	olfactory receptor, family 2, subfamily A, member 9 pseudogene	0.97135586	
FLRT2	fibronectin leucine rich transmembrane protein 2	0.9698133	
PIAS2	protein inhibitor of activated STAT, 2	0.96959835	
CCNB1IP1	cyclin B1 interacting protein 1	0.9688692	
PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	0.968391	
ABTB1	ankyrin repeat and BTB (POZ) domain containing 1	0.9679392	
SPATA20	spermatogenesis associated 20	0.9677563	
ELMOD2	ELMO/CED-12 domain containing 2	0.96771544	
LIME1	Lck interacting transmembrane adaptor 1	0.96766657	
MND1	meiotic nuclear divisions 1 homolog (S. cerevisiae)	0.96506906	
LONRF2	LON peptidase N-terminal domain and ring finger 2	0.9649378	
GRIN2B	glutamate receptor, ionotropic, N-methyl D-aspartate 2B	0.9634016	
SYNJ2BP	synaptojanin 2 binding protein	0.9613918	
SLC26A2	solute carrier family 26 (sulfate transporter), member 2	0.95957565	
TUBE1	tubulin, epsilon 1	0.9592406	
CYB5D2	cytochrome b5 domain containing 2	0.95618355	
PRAM1	PML-RARA regulated adaptor molecule 1	0.9560885	
TREX2	three prime repair exonuclease 2	0.9551908	
GPR133	G protein-coupled receptor 133	0.9545987	
SRMS	src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites	0.9545173	
IAPP	islet amyloid polypeptide	0.9542917	
HMBOX1	homeobox containing 1	0.95361185	
THRSP	thyroid hormone responsive (SPOT14 homolog, rat)	0.9515129	
GAS2L3	growth arrest-specific 2 like 3	0.9512566	
ITGAE	integrin, alpha E (antigen CD103, human mucosal lymphocyte antigen 1; alpha polypeptide)	0.9508585	
ZNF404	zinc finger protein 404	0.9506606	
SPDYC	speedy homolog C (Drosophila)	0.9489672	
SNAI1	snail homolog 1 (Drosophila)	0.94654584	
DSG1	desmoglein 1	0.94594145	
LAGE3	L antigen family, member 3	0.94557345	
ZRANB2	zinc finger, RAN-binding domain containing 2	0.9448067	
LOC257396	-	0.9444489	
RDH12	retinol dehydrogenase 12 (all-trans/9-cis/11-cis)	0.94400454	
DUXA	double homeobox A	0.94314563	
BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	0.940601	
SLC25A42	solute carrier family 25, member 42	0.9404619	
BMP8B	bone morphogenetic protein 8b (osteogenic protein 2)	0.9395679	
TMCO3	transmembrane and coiled-coil domains 3	0.9395112	
HLA-DPA1	major histocompatibility complex, class II, DP alpha 1	0.9392764	
SLC12A2	solute carrier family 12 (sodium/potassium/chloride transporters), member 2	0.93868095	
SNORD84	small nucleolar RNA, C/D box 84	0.93861693	
KLF1	Kruppel-like factor 1 (erythroid)	0.9386159	
LOH12CR2	loss of heterozygosity, 12, chromosomal region 2	0.93816745	
SNORA53	small nucleolar RNA, H/ACA box 53	0.93731594	
GRAP	GRB2-related adaptor protein	0.9365178	
MFRP	membrane frizzled-related protein	0.93497443	
FNDC3B	fibronectin type III domain containing 3B	0.93336904	
AQP7	aquaporin 7	0.9330147	
SMO	smoothened homolog (Drosophila)	0.9326419	
IL1A	interleukin 1, alpha	0.932531	
NANOS1	nanos homolog 1 (Drosophila)	0.93251413	
C1QL2	complement component 1, q subcomponent-like 2	0.9307092	
PSRC1	proline/serine-rich coiled-coil 1	0.92945033	
ATP11C	ATPase, Class VI, type 11C	0.92879015	
TSPAN1	tetraspanin 1	0.9279989	
LOC653786	-	0.9279229	
RPL5	ribosomal protein L5	0.9277859	
NBEA	neurobeachin	0.92743134	
TUBB1	tubulin, beta 1	0.9269667	
CEP70	centrosomal protein 70kDa	0.92633295	
VNN1	vanin 1	0.9248933	
TRAF3	TNF receptor-associated factor 3	0.9239897	
RAP1GAP	RAP1 GTPase activating protein	0.92350537	
SLFN14	schlafen family member 14	0.9213555	
CDKL3	cyclin-dependent kinase-like 3	0.91996896	
