NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_SIGNAL_AMPLIFICATION	33	33		
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	19	19		
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING	42	41		
REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE	29	28		
REACTOME_EPHRIN_SIGNALING	19	18		
REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS	51	51		
REACTOME_MUSCLE_CONTRACTION	195	184		
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	32	31		
REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	31	30		
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	16	15		
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	14	13		
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	16	15		
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION	10	10		
REACTOME_ADRENALINE_NORADRENALINE_INHIBITS_INSULIN_SECRETION	28	28		
REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA	120	98		
REACTOME_CIRCADIAN_CLOCK	70	61		
REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION	11	11		
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	23	20		
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP	13	11		
REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING	24	22		
REACTOME_SIALIC_ACID_METABOLISM	33	32		
REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS	35	30		
REACTOME_CA2_PATHWAY	62	58		
REACTOME_PCP_CE_PATHWAY	92	89		
REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS	30	30		
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	216	201		
REACTOME_G_ALPHA_12_13_SIGNALLING_EVENTS	80	73		
REACTOME_SEMA4D_MEDIATED_INHIBITION_OF_CELL_ATTACHMENT_AND_MIGRATION	8	7		
REACTOME_SEMA4D_INDUCED_CELL_MIGRATION_AND_GROWTH_CONE_COLLAPSE	20	19		
REACTOME_OTHER_SEMAPHORIN_INTERACTIONS	19	18		
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	17	16		
REACTOME_P2Y_RECEPTORS	12	10		
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	16	14		
REACTOME_PLATELET_HOMEOSTASIS	86	79		
REACTOME_REDUCTION_OF_CYTOSOLIC_CA_LEVELS	12	12		
REACTOME_PLATELET_CALCIUM_HOMEOSTASIS	28	25		
REACTOME_CGMP_EFFECTS	16	15		
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	144	139		
REACTOME_ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1	25	25		
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	314	289		
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	48	47		
REACTOME_DCC_MEDIATED_ATTRACTIVE_SIGNALING	14	14		
REACTOME_NETRIN_MEDIATED_REPULSION_SIGNALS	8	8		
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND	10	9		
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING	10	10		
REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	33	25		
REACTOME_NCAM1_INTERACTIONS	42	38		
REACTOME_LYSOSPHINGOLIPID_AND_LPA_RECEPTORS	14		Rejected!	
REACTOME_OPSINS	9	9		
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS	10	10		
REACTOME_TIGHT_JUNCTION_INTERACTIONS	30	29		
REACTOME_GLUCAGON_TYPE_LIGAND_RECEPTORS	33	33		
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	39	39		
REACTOME_NECTIN_NECL_TRANS_HETERODIMERIZATION	7		Rejected!	
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	65	56		
REACTOME_SYNTHESIS_SECRETION_AND_DEACYLATION_OF_GHRELIN	19	17		
REACTOME_REGULATION_OF_INSULIN_SECRETION	78	78		
REACTOME_TRANSPORT_OF_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	86	84		
REACTOME_BICARBONATE_TRANSPORTERS	10	9		
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	106	104		
REACTOME_TRANSPORT_OF_VITAMINS_NUCLEOSIDES_AND_RELATED_MOLECULES	44	43		
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	250	243		
REACTOME_METAL_ION_SLC_TRANSPORTERS	26	26		
REACTOME_SODIUM_CALCIUM_EXCHANGERS	11	10		
REACTOME_SODIUM_PROTON_EXCHANGERS	9	9		
REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG	5		Rejected!	
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS	7	7		
REACTOME_SMALL_INTERFERING_RNA_SIRNA_BIOGENESIS	9	5		
REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	68	6		
REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	76	16		
REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS	9	9		
REACTOME_SODIUM_COUPLED_PHOSPHATE_COTRANSPORTERS	5	5		
REACTOME_SPHINGOLIPID_METABOLISM	90	64		
REACTOME_ACTIVATION_OF_RAC1	13	12		
REACTOME_REGULATION_OF_COMMISSURAL_AXON_PATHFINDING_BY_SLIT_AND_ROBO	10	10		
REACTOME_INACTIVATION_OF_CDC42_AND_RAC1	8	7		
REACTOME_ORGANIC_ANION_TRANSPORTERS	10	10		
REACTOME_ROLE_OF_ABL_IN_ROBO_SLIT_SIGNALING	8	8		
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR	24	24		
REACTOME_DEADENYLATION_DEPENDENT_MRNA_DECAY	56	46		
REACTOME_DEADENYLATION_OF_MRNA	25	19		
REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	16	13		
REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	15	14		
REACTOME_GP1B_IX_V_ACTIVATION_SIGNALLING	12	12		
REACTOME_VASOPRESSIN_REGULATES_RENAL_WATER_HOMEOSTASIS_VIA_AQUAPORINS	43	43		
REACTOME_PASSIVE_TRANSPORT_BY_AQUAPORINS	13	13		
REACTOME_PLATELET_SENSITIZATION_BY_LDL	17	17		
REACTOME_LYSOSOME_VESICLE_BIOGENESIS	35	32		
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	56	52		
REACTOME_SODIUM_COUPLED_SULPHATE_DI_AND_TRI_CARBOXYLATE_TRANSPORTERS	5	5		
REACTOME_PROTON_COUPLED_MONOCARBOXYLATE_TRANSPORT	6	6		
REACTOME_FATTY_ACIDS_BOUND_TO_GPR40_FFAR1_REGULATE_INSULIN_SECRETION	8	8		
REACTOME_ZINC_TRANSPORTERS	17	17		
REACTOME_ZINC_EFFLUX_AND_COMPARTMENTALIZATION_BY_THE_SLC30_FAMILY	7	7		
REACTOME_RECYCLING_PATHWAY_OF_L1	49	36		
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	21	21		
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS	8	8		
REACTOME_DEPOLYMERISATION_OF_THE_NUCLEAR_LAMINA	15	11		
REACTOME_ZINC_INFLUX_INTO_CELLS_BY_THE_SLC39_GENE_FAMILY	10	10		
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	19	19		
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE	12	12		
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE	8	8		
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	28	28		
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	94	83		
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR	20	20		
REACTOME_FREE_FATTY_ACID_RECEPTORS	5		Rejected!	
REACTOME_RSK_ACTIVATION	7	7		
REACTOME_FORMYL_PEPTIDE_RECEPTORS_BIND_FORMYL_PEPTIDES_AND_MANY_OTHER_LIGANDS	8	6		
REACTOME_RELAXIN_RECEPTORS	8	8		
REACTOME_INTERACTION_BETWEEN_L1_AND_ANKYRINS	31	30		
REACTOME_SIGNAL_TRANSDUCTION_BY_L1	21	21		
REACTOME_SMOOTH_MUSCLE_CONTRACTION	38	33		
REACTOME_AQUAPORIN_MEDIATED_TRANSPORT	52	52		
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX	32	27		
REACTOME_TYPE_I_HEMIDESMOSOME_ASSEMBLY	11	10		
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	78	70		
REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE	6		Rejected!	
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION	305	267		
REACTOME_SYNTHESIS_OF_GDP_MANNOSE	5	5		
REACTOME_SYNTHESIS_OF_UDP_N_ACETYL_GLUCOSAMINE	8	8		
REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS	63	56		
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	18	17		
REACTOME_REGULATION_OF_CYTOSKELETAL_REMODELING_AND_CELL_SPREADING_BY_IPP_COMPLEX_COMPONENTS	8	8		
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	140	124		
REACTOME_CELL_JUNCTION_ORGANIZATION	92	81		
REACTOME_NRCAM_INTERACTIONS	7	7		
REACTOME_CHL1_INTERACTIONS	9	9		
REACTOME_NEUROFASCIN_INTERACTIONS	7	7		
REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING	57	51		
REACTOME_INTERLEUKIN_17_SIGNALING	71	65		
REACTOME_INTERLEUKIN_1_PROCESSING	9	8		
REACTOME_SIGNALING_BY_INTERLEUKINS	463	413		
REACTOME_OTHER_INTERLEUKIN_SIGNALING	24	21		
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES	31	31		
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	23	18		
REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	22	17		
REACTOME_ACTIVATION_OF_THE_AP_1_FAMILY_OF_TRANSCRIPTION_FACTORS	10	10		
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA	17	16		
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA	55	52		
REACTOME_TRISTETRAPROLIN_TTP_ZFP36_BINDS_AND_DESTABILIZES_MRNA	17	16		
REACTOME_HUR_ELAVL1_BINDS_AND_STABILIZES_MRNA	8	8		
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	87	83		
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	17	16		
REACTOME_IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS	10	10		
REACTOME_ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING	30	30		
REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING	44	44		
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS	31	29		
REACTOME_MITOTIC_G2_G2_M_PHASES	200	160		
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	149	135		
REACTOME_SUMOYLATION_OF_CHROMATIN_ORGANIZATION_PROTEINS	71	52		
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	32	32		
REACTOME_SUMOYLATION_OF_RNA_BINDING_PROTEINS	47	39		
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	64	62		
REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS	46	41		
REACTOME_DEGRADATION_OF_AXIN	55	53		
REACTOME_DEGRADATION_OF_DVL	57	55		
REACTOME_DISASSEMBLY_OF_THE_DESTRUCTION_COMPLEX_AND_RECRUITMENT_OF_AXIN_TO_THE_MEMBRANE	31	30		
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION	21	21		
REACTOME_REPRESSION_OF_WNT_TARGET_GENES	14	13		
REACTOME_SUMOYLATION_OF_DNA_METHYLATION_PROTEINS	16	16		
REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS	11	11		
REACTOME_SIGNALING_BY_WNT_IN_CANCER	34	33		
REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS	15	14		
REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	29	22		
REACTOME_PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS	21	21		
REACTOME_GPCR_LIGAND_BINDING	463	417		
REACTOME_DEFECTIVE_GALNT3_CAUSES_FAMILIAL_HYPERPHOSPHATEMIC_TUMORAL_CALCINOSIS_HFTC	16	12		
REACTOME_DEFECTIVE_LFNG_CAUSES_SCDO3	5	5		
REACTOME_DEFECTIVE_C1GALT1C1_CAUSES_TN_POLYAGGLUTINATION_SYNDROME_TNPS	17	13		
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4	15	14		
REACTOME_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	48	48		
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2	13	13		
REACTOME_O_LINKED_GLYCOSYLATION	111	90		
REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS	39	34		
REACTOME_MITOPHAGY	29	24		
REACTOME_PINK1_PRKN_MEDIATED_MITOPHAGY	22	17		
REACTOME_UPTAKE_AND_FUNCTION_OF_ANTHRAX_TOXINS	11	11		
REACTOME_RIPK1_MEDIATED_REGULATED_NECROSIS	29	28		
REACTOME_REGULATED_NECROSIS	56	50		
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	27	25		
REACTOME_VEGFR2_MEDIATED_CELL_PROLIFERATION	19	17		
REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS	26	17		
REACTOME_POSITIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	106	40		
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	91	25		
REACTOME_NEGATIVE_EPIGENETIC_REGULATION_OF_RRNA_EXPRESSION	109	44		
REACTOME_TOXICITY_OF_BOTULINUM_TOXIN_TYPE_D_BOTD	5	5		
REACTOME_MYOGENESIS	29	28		
REACTOME_DISEASES_OF_IMMUNE_SYSTEM	31	31		
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	35	28		
REACTOME_DNA_METHYLATION	65	5		
REACTOME_UPTAKE_AND_FUNCTION_OF_DIPHTHERIA_TOXIN	6	6		
REACTOME_UPTAKE_AND_ACTIONS_OF_BACTERIAL_TOXINS	29	28		
REACTOME_SIGNALING_BY_LRP5_MUTANTS	6	6		
REACTOME_SIGNALING_BY_RNF43_MUTANTS	8	8		
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY	26	25		
REACTOME_TNFR1_INDUCED_PROAPOPTOTIC_SIGNALING	13	13		
REACTOME_PROGRAMMED_CELL_DEATH	208	190		
REACTOME_REGULATION_OF_TNFR1_SIGNALING	35	31		
REACTOME_TNFR1_INDUCED_NFKAPPAB_SIGNALING_PATHWAY	30	25		
REACTOME_HEDGEHOG_LIGAND_BIOGENESIS	65	62		
REACTOME_SIGNALING_BY_HEDGEHOG	150	132		
REACTOME_SYNTHESIS_OF_DIPHTHAMIDE_EEF2	8		Rejected!	
REACTOME_MISMATCH_REPAIR	15	15		
REACTOME_SIGNALING_BY_RETINOIC_ACID	43	42		
REACTOME_RELEASE_OF_HH_NP_FROM_THE_SECRETING_CELL	8	8		
REACTOME_RA_BIOSYNTHESIS_PATHWAY	22	21		
REACTOME_MITOCHONDRIAL_TRANSLATION	96	92		
REACTOME_NEGATIVE_REGULATION_OF_TCF_DEPENDENT_SIGNALING_BY_DVL_INTERACTING_PROTEINS	5		Rejected!	
REACTOME_DISEASES_OF_MISMATCH_REPAIR_MMR	5	5		
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	19	16		
REACTOME_ORGANIC_CATION_TRANSPORT	10	10		
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	15	15		
REACTOME_METABOLISM_OF_LIPIDS	741		Rejected!	
REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL	19	19		
REACTOME_PHASE_3_RAPID_REPOLARISATION	8	7		
REACTOME_CARDIAC_CONDUCTION	127	121		
REACTOME_PHASE_0_RAPID_DEPOLARISATION	32	30		
REACTOME_PHASE_2_PLATEAU_PHASE	15	14		
REACTOME_PHASE_1_INACTIVATION_OF_FAST_NA_CHANNELS	7	7		
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS	107	40		
REACTOME_PHYSIOLOGICAL_FACTORS	12	11		
REACTOME_ION_HOMEOSTASIS	54	52		
REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES	34	32		
REACTOME_PIWI_INTERACTING_RNA_PIRNA_BIOGENESIS	29	26		
REACTOME_IKBA_VARIANT_LEADS_TO_EDA_ID	7	7		
REACTOME_IRAK4_DEFICIENCY_TLR2_4	18	18		
REACTOME_DECTIN_1_MEDIATED_NONCANONICAL_NF_KB_SIGNALING	62	58		
REACTOME_CLEC7A_DECTIN_1_INDUCES_NFAT_ACTIVATION	11	11		
REACTOME_CLEC7A_DECTIN_1_SIGNALING	100	93		
REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSYLATION_PRECURSOR_BIOSYNTHESIS	18	14		
REACTOME_ORGANIC_ANION_TRANSPORT	5	5		
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME	60	57		
REACTOME_HEDGEHOG_OFF_STATE	113	99		
REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS	122	56		
REACTOME_CILIUM_ASSEMBLY	202	148		
REACTOME_ABC_TRANSPORTER_DISORDERS	77	72		
REACTOME_SLC_TRANSPORTER_DISORDERS	99	94		
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS	176	166		
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE	97	64		
REACTOME_VXPX_CARGO_TARGETING_TO_CILIUM	21	20		
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE	51	47		
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM	23	20		
REACTOME_INTRAFLAGELLAR_TRANSPORT	54	37		
REACTOME_PYROPTOSIS	27	22		
REACTOME_DECTIN_2_FAMILY	26	22		
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS	140	129		
REACTOME_CD209_DC_SIGN_SIGNALING	21	21		
REACTOME_TRAFFICKING_OF_MYRISTOYLATED_PROTEINS_TO_THE_CILIUM	5	5		
REACTOME_RHO_GTPASES_ACTIVATE_PKNS	94	31		
REACTOME_ACTIVATED_PKN1_STIMULATES_TRANSCRIPTION_OF_AR_ANDROGEN_RECEPTOR_REGULATED_GENES_KLK2_AND_KLK3	67	5		
REACTOME_RHO_GTPASES_ACTIVATE_CIT	19	18		
REACTOME_RHO_GTPASES_ACTIVATE_KTN1	11	10		
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS	32	20		
REACTOME_TNFR1_MEDIATED_CERAMIDE_PRODUCTION	6	5		
REACTOME_RHO_GTPASES_ACTIVATE_ROCKS	19	18		
REACTOME_RHO_GTPASES_ACTIVATE_PAKS	21	20		
REACTOME_TP53_REGULATES_METABOLIC_GENES	87	65		
REACTOME_LIGAND_RECEPTOR_INTERACTIONS	8	8		
REACTOME_HEDGEHOG_ON_STATE	86	81		
REACTOME_REGULATION_OF_TP53_ACTIVITY	160	139		
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_DEATH_GENES	44	36		
REACTOME_ACTIVATION_OF_SMO	18	16		
REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION	7	7		
REACTOME_CONSTITUTIVE_SIGNALING_BY_EGFRVIII	15	15		
REACTOME_APEX1_INDEPENDENT_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY	7	7		
REACTOME_PCNA_DEPENDENT_LONG_PATCH_BASE_EXCISION_REPAIR	21	21		
REACTOME_FRUCTOSE_METABOLISM	7	6		
REACTOME_VESICLE_MEDIATED_TRANSPORT	724		Rejected!	
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR2	18	18		
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR4	15	15		
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR1	31	31		
REACTOME_SHC_MEDIATED_CASCADE_FGFR1	21	21		
REACTOME_PI_3K_CASCADE_FGFR1	21	21		
REACTOME_FRS_MEDIATED_FGFR1_SIGNALING	23	23		
REACTOME_PI_3K_CASCADE_FGFR2	23	23		
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR2	30	30		
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING	25	25		
REACTOME_SHC_MEDIATED_CASCADE_FGFR3	18	18		
REACTOME_FRS_MEDIATED_FGFR3_SIGNALING	20	20		
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR3	25	25		
REACTOME_PI_3K_CASCADE_FGFR3	18	18		
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING	22	22		
REACTOME_DOWNSTREAM_SIGNALING_OF_ACTIVATED_FGFR4	27	27		
REACTOME_SHC_MEDIATED_CASCADE_FGFR4	20	20		
REACTOME_PI_3K_CASCADE_FGFR4	20	20		
REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING	33	32		
REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING	34	34		
REACTOME_NEGATIVE_REGULATION_OF_FGFR3_SIGNALING	29	29		
REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING	31	31		
REACTOME_SIGNALING_BY_FGFR1	50	49		
REACTOME_SIGNALING_BY_FGFR2	73	64		
REACTOME_SIGNALING_BY_FGFR3	40	40		
REACTOME_SIGNALING_BY_FGFR4	41	41		
REACTOME_SIGNALING_BY_FGFR2_IN_DISEASE	43	43		
REACTOME_SIGNALING_BY_FGFR4_IN_DISEASE	11	11		
REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE	38	34		
REACTOME_TRANSLESION_SYNTHESIS_BY_POLK	17	16		
REACTOME_TERMINATION_OF_TRANSLESION_DNA_SYNTHESIS	32	29		
REACTOME_REGULATION_OF_RAS_BY_GAPS	68	65		
REACTOME_FGFRL1_MODULATION_OF_FGFR1_SIGNALING	13	13		
REACTOME_RESPONSE_TO_METAL_IONS	14	14		
REACTOME_CLEC7A_INFLAMMASOME_PATHWAY	6	6		
REACTOME_METALLOTHIONEINS_BIND_METALS	11	11		
REACTOME_FORMATION_OF_XYLULOSE_5_PHOSPHATE	5	5		
REACTOME_MELANIN_BIOSYNTHESIS	5	5		
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM	34	34		
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	394	362		
REACTOME_INFECTIOUS_DISEASE	924		Rejected!	
REACTOME_RHO_GTPASES_ACTIVATE_WASPS_AND_WAVES	36	33		
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS	140	108		
REACTOME_RHO_GTPASES_ACTIVATE_RHOTEKIN_AND_RHOPHILINS	9	9		
REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	101	95		
REACTOME_RHO_GTPASES_ACTIVATE_NADPH_OXIDASES	24	23		
REACTOME_DISEASES_OF_METABOLISM	246	218		
REACTOME_TNFS_BIND_THEIR_PHYSIOLOGICAL_RECEPTORS	29	27		
REACTOME_RAF_ACTIVATION	34	34		
REACTOME_MAP2K_AND_MAPK_ACTIVATION	40	37		
REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER	26	20		
REACTOME_NEGATIVE_FEEDBACK_REGULATION_OF_MAPK_PATHWAY	6	6		
REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY	43	43		
REACTOME_TNF_RECEPTOR_SUPERFAMILY_TNFSF_MEMBERS_MEDIATING_NON_CANONICAL_NF_KB_PATHWAY	17	17		
REACTOME_PROTEIN_REPAIR	6	5		
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS	61	56		
REACTOME_LGI_ADAM_INTERACTIONS	14	13		
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	327	306		
REACTOME_SURFACTANT_METABOLISM	30	27		
REACTOME_MAP3K8_TPL2_DEPENDENT_MAPK1_3_ACTIVATION	16	15		
REACTOME_HDR_THROUGH_SINGLE_STRAND_ANNEALING_SSA	37	31		
REACTOME_HDR_THROUGH_MMEJ_ALT_NHEJ	10	9		
REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	67	54		
REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	21	19		
REACTOME_MAPK6_MAPK4_SIGNALING	93	81		
REACTOME_DISEASES_ASSOCIATED_WITH_SURFACTANT_METABOLISM	10	9		
REACTOME_DEUBIQUITINATION	298	209		
REACTOME_DEFECTIVE_CSF2RB_CAUSES_SMDP5	8	7		
REACTOME_UCH_PROTEINASES	102	77		
REACTOME_JOSEPHIN_DOMAIN_DUBS	12	11		
REACTOME_UB_SPECIFIC_PROCESSING_PROTEASES	221	150		
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES	38	34		
REACTOME_METALLOPROTEASE_DUBS	37	13		
REACTOME_CD22_MEDIATED_BCR_REGULATION	61	5		
