NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1	74	70		
REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS	6	6		
REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING	12	9		
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE	26	20		
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE	19	18		
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS	34	27		
REACTOME_TELOMERE_C_STRAND_SYNTHESIS_INITIATION	13	9		
REACTOME_ACTIVATION_OF_C3_AND_C5	8	6		
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	71	65		
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION	16	14		
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	37	32		
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	37	29		
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	20	18		
REACTOME_PHOSPHORYLATION_OF_THE_APC_C	20	17		
REACTOME_PHOSPHORYLATION_OF_EMI1	6	5		
REACTOME_UNWINDING_OF_DNA	12	11		
REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE	6		Rejected!	
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS	37	32		
REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	14	13		
REACTOME_SIGNALING_BY_EGFR	50	49		
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	50	39		
