SYMBOL,001_C_Female,001_F_Female,002_A_Male,002_C_Male,014_D_Female,015_A_Female,015_D_Female,015_E_Male,022_B_Male,022_F_Male,023_B_Male,023_D_Female,023_E_Male,029_A_Male,029_E_Female,030_B_Male,030_E_Male,030_F_Male,033_A_Female,033_C_Male,033_D_Male,054_B_Male,054_D_Female,054_F_Female,072_C_Male,072_F_Male,087_A_Female,087_C_Female,087_E_Male,623b_Male,624_Male,657_Female,668_Male,701_Female,705_Male,777_Female,784b_Female
ISOC2,32.7163008252002,32.7296678903375,32.6893817954997,29.4320614417389,32.6123599891894,32.6820566633507,32.6903224745124,32.6904760614301,29.3330755225547,32.7074334908547,32.7291417144315,32.7980269693654,32.8124857722976,32.7364957471226,32.7489162761856,32.577637297816,32.6464557406922,32.6155349063839,29.4286527641491,32.618116066059,32.6429811065167,32.7049493338681,32.6511269572944,32.6989662278425,32.6864149302979,32.817172889378,32.7247817312754,32.6599015795038,32.6680723930897,22.7470267744524,22.6893567109157,22.6537989343592,22.6423582552684,22.6922870799147,22.6952928708842,22.6897325023938,22.7322349278307
IST1,29.9396233560866,29.9147012490388,29.9077136374458,33.2178202937892,29.9420014695817,29.9034587422832,29.9219724917759,33.2155581654047,29.9411685440904,29.9166518391322,33.2112701318888,33.2076231735204,33.2023191230442,33.2187022611902,33.1752893682099,29.9120732168877,29.9263981159849,29.9182662216785,33.2032243628697,29.9138697893695,29.9299894505807,29.9344898061223,29.9348864438359,29.9158037358207,29.9148587299204,33.2134250000081,33.1972875416304,29.8977655528887,33.2149287016219,19.9674120334954,19.9689184577265,19.9789589817767,19.997409681038,19.9766326430903,19.9633857839251,16.648062608361,19.9964886601666
ISX,32.4104558627244,32.414773752877,32.3514434026545,32.4376659784885,32.4396937053852,32.3950322773728,32.4016673336292,32.3962421790939,32.4013796473414,32.4401558571951,32.4337012127884,32.3981527040005,32.4280673498897,32.4183844906346,22.4550743219057,32.4141300924902,32.4292264582599,32.4268932416233,32.4361551084437,32.4286191693055,32.4032189442561,32.4001276487774,32.4078500653286,32.4302083729662,32.4434525846229,32.4304526443866,32.4108274385201,32.4537497427645,32.4291529199369,22.4863700647181,22.4409755900143,22.4495051048855,22.4766147023047,22.4391394634656,22.4375466169165,22.4319864473079,22.4783378564858
ISY1,31.8318332001227,32.6647302689797,32.6603363607415,32.6666343991213,32.6722527768454,32.6696468778581,31.8246073596302,32.6575206496075,31.8744579036717,31.8449970595849,32.6906554079795,32.7106125907068,32.6785273018797,32.6702868608395,32.66969635052,31.8593653694241,32.6745971654967,32.6671709985476,32.6586211778928,31.8664845994984,32.6781659932379,31.8621910835879,31.86205350319,32.6728749154381,32.6935518440349,32.6593251835656,31.8448219020884,31.8648387036325,31.8698523035923,20.9861013552369,22.6483833187181,22.6731993455942,22.6853195816812,22.6593756400922,21.8373570838924,22.6623323872981,22.6746887335421
ISY1-RAB43,30.877482379878,32.5676844190355,32.5555908636078,32.5693922000792,32.531750834649,30.9016496355764,32.5552134804485,32.5350029590851,30.869182599385,32.5646281156242,32.5273485398383,32.5558730056586,32.5061830396565,32.5176375607049,32.5368857425973,32.5492371492788,32.550721035329,32.5533949715609,32.5024559548025,32.5501768290874,32.4965769729306,30.8942201072559,32.5080513713552,32.5431792559047,32.5213739332388,32.4894957295316,30.8622773263184,30.8809945296122,32.5543025440699,22.4438014817361,22.4593546362842,22.4738251156557,22.4615077253576,22.4615645557777,22.4780183254947,22.4436014769576,22.5069925428185
ISYNA1,33.1496842403084,33.1599146643304,29.8608977733389,33.2157083293817,33.1977548639916,33.1530497969345,33.2070115908598,33.1738187730706,33.1693980421868,29.9029897950802,29.9192192059707,33.1686944573252,33.1712686746301,33.1904357145047,29.9208099906073,33.2118995531302,33.1761421092496,33.0804266853064,33.128624993339,33.1603142887137,33.195747563766,33.1891314871406,33.1715989594027,29.8278701267825,33.1574690725123,29.8980594240527,33.1615386715429,33.1806659780418,33.2023191230442,19.9417669170231,16.6652526311235,23.2457927706618,20.0490269108103,20.0053723537425,19.9528819863414,19.9755667238553,19.9487664546074
ITCH,32.7852216932226,32.7774455901285,32.7977110807407,32.7416323904756,32.8354226182532,32.7661225519399,29.4763084475994,32.7275779536602,29.5052502939932,32.790096625354,32.7416981433042,29.4641520484146,32.7900410091154,32.7030094118369,32.7284000291855,32.8058961277561,29.5027443607434,32.7703202826431,32.7997102714011,32.8154135463094,32.8793888497472,32.7209858279209,32.7402050646767,32.7627609359396,32.7704987681123,29.4428317205871,29.4866546104299,32.8191593734794,29.4569607026841,22.7763434684736,19.4488825658936,22.781438560725,22.7508901374196,22.7714673044267,22.718586178479,22.8311108220908,22.7988670803079
ITFG1,29.8200208834352,33.1525081277238,33.2188350872168,33.1870773100628,33.1111608455694,33.2150638903463,33.1886735039307,33.1938658914868,33.1875916062673,33.1591838234272,33.2041763954577,33.1928247144567,33.0766445101904,33.1746297973693,33.15873320183,33.1735379491672,33.1604588886021,33.191856893869,29.8202929017489,33.1693980421868,33.1242526514359,33.1470939518262,33.1700944579987,33.1928247144567,33.1536834490056,33.128624993339,33.1542142172172,33.1645500009989,33.1255940685229,23.1658698423341,23.1610745114353,23.1500462898499,23.0303109994197,23.1881686552225,23.1271728689249,23.1223743014203,23.1776470337915
ITFG2,32.9252525618513,32.8962024921477,32.9497629119581,32.8825216361614,32.9620213178832,32.9717333282637,32.9195173241291,29.5736745563993,32.9339978040189,32.9209489362944,32.9203778214359,32.9197372759347,32.9564343308746,32.9333045057447,32.8992377453692,32.9521543954078,32.9719959243241,32.8915442242951,29.5747085988775,32.9336033690063,32.9200676105865,32.8945088553595,32.9488645115165,32.8691307291156,32.921051124102,32.9259986632325,32.9170752175522,32.9166089446745,32.990546110674,22.989262649365,23.0408398560763,23.0325504206997,23.0577557884449,23.0144119814318,23.0155578052144,23.0339344371665,23.0224074372871
ITFG2-AS1,29.0621350833116,32.3665071301275,32.2977281889613,32.31368999985,32.3609793669084,32.3214545070058,32.3497183579104,32.3284814287881,29.0149970410919,32.3351822318897,32.3339737297049,29.0342146685569,32.3510133149625,32.3822398259549,32.3243952406531,32.3344488940834,32.3795812339749,32.3584031999815,32.3098080053341,32.3683925339843,32.3455329970716,32.4110301211634,32.3828877651083,32.3282251212452,32.360649238775,32.3498472532756,32.3981696193991,32.3526263823477,32.3654609779475,19.1068006097821,22.3570383478241,22.4175023116846,22.3701446085182,22.3640902927191,22.3824253447201,22.3623336794185,22.3881137484725
