SYMBOLS,logFC,AveExpr,t,P.Value,adj.P.Val,B
TMEM141,-0.277232588,4.460641478,-0.519995904,0.613292288,0.999966589,-4.613938615
PRR13,0.117024635,5.75401746,0.519729008,0.613472295,0.999966589,-4.628429624
HPS5,0.161349442,4.951313365,0.519705065,0.613488444,0.999966589,-4.628205135
HSD17B8,0.266928407,1.969863534,0.519662909,0.613516879,0.999966589,-4.607544468
CIART,0.331555566,-2.246810877,0.519588817,0.613566856,0.999966589,-4.601421515
ZNF8-ERVK3-1,0.360633297,-0.541263553,0.519406859,0.613689602,0.999966589,-4.601953267
NAALADL2,0.658813375,-0.206613249,0.519303039,0.613759643,0.999966589,-4.600103172
BFSP1,0.431273229,-0.59544478,0.51925422,0.613792579,0.999966589,-4.603252528
LGALS9,0.518211357,6.018375693,0.519048615,0.613931303,0.999966589,-4.629924458
LHB,-0.580827822,-2.871673022,-0.518990158,0.613970747,0.999966589,-4.597585837
BRAF,0.184864755,5.85710686,0.518983894,0.613974974,0.999966589,-4.629959902
ASPH,-0.262991112,4.896384865,-0.518971005,0.613983671,0.999966589,-4.629855264
HSDL2,-0.178525084,4.973743815,-0.518957969,0.613992467,0.999966589,-4.624329695
TRIM6,0.505405043,1.69087602,0.518917659,0.614019668,0.999966589,-4.604637411
HORMAD1,0.604898297,-1.245812845,0.518558103,0.61426232,0.999966589,-4.599903002
SLC1A5,0.384943281,5.494481453,0.518389029,0.614376439,0.999966589,-4.630046544
PAXIP1,0.16137458,3.657793187,0.518281725,0.614448871,0.999966589,-4.61759628
TSPOAP1,-0.413372994,3.195194506,-0.518192107,0.614509368,0.999966589,-4.625434957
TLDC1,-0.29865718,4.10004874,-0.518189328,0.614511244,0.999966589,-4.615292326
POPDC2,-0.337401745,0.827030855,-0.518175177,0.614520797,0.999966589,-4.604476404
RPS29,0.160618767,6.398574429,0.518095359,0.614574681,0.999966589,-4.629881506
ALOX15B,0.467490477,1.044342928,0.518073046,0.614589745,0.999966589,-4.609949184
GLP2R,-0.71315371,-1.414106773,-0.518066375,0.614594248,0.999966589,-4.598776649
STAT2,0.305248493,6.546560184,0.518019895,0.614625628,0.999966589,-4.629994786
PCP2,-0.638940731,-2.272481826,-0.517949491,0.614673161,0.999966589,-4.599564137
RASSF7,0.27200534,4.005049575,0.517779339,0.614788046,0.999966589,-4.617453282
GALNT14,-0.558268586,-0.514420202,-0.517759106,0.614801708,0.999966589,-4.603300208
EPOR,-0.249289384,2.480903887,-0.517721062,0.614827397,0.999966589,-4.619960402
CPSF3,0.141318194,4.70827796,0.517709562,0.614835162,0.999966589,-4.624525036
AUP1,-0.102524328,6.449475499,-0.517652288,0.614873837,0.999966589,-4.630247187
PHF8,-0.138762964,5.397823442,-0.517626612,0.614891175,0.999966589,-4.629329726
MRPS2,-0.199795085,3.862858261,-0.517390695,0.615050495,0.999966589,-4.618692505
FAM84A,-0.542874243,0.797514242,-0.517271653,0.615130895,0.999966589,-4.606311505
