Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Cellular_Component_2023,Mitochondrial Matrix GO0005759,16/355,0.0507031808839751,0.2398964507847585,0,0,1.6174300800220311,4.822799040624383,MECR;OAT;MMAB;NUDT1;TYMS;HSD17B8;TXN2;ACAT1;ALDH4A1;CCNB1;PCCA;LYRM7;PDK3;PDSS1;NAT8L;ALDH7A1
GO_Cellular_Component_2023,Lysosomal Membrane GO0005765,16/356,0.0517529733796788,0.2398964507847585,0,0,1.6125884465096632,4.775315258694227,SLC46A3;SEC13;MARCHF1;MIOS;AHNAK;GAA;ARRB1;AZU1;DAB2;VNN1;RAB37;LAMP2;TLR7;CD68;ATP6V1D;ATP6V0A1
GO_Cellular_Component_2023,Platelet Dense Granule Lumen GO0031089,2/13,0.0518695028723802,0.2398964507847585,0,0,6.182455023085496,18.294034490993333,ECM1;SELENOP
GO_Cellular_Component_2023,Nuclear Chromosome GO0000228,6/95,0.0553496630579254,0.2507678612012134,0,0,2.2992687711788835,6.654278588703444,TOP2A;RRS1;BIRC5;SMC1A;SPIDR;LRPPRC
GO_Cellular_Component_2023,Mitochondrial Membrane GO0031966,22/540,0.0630298614587144,0.279852584876692,0,0,1.4575044320960835,4.028756027562032,BNIP3L;TIMMDC1;DMAC1;MRPS34;ABCB8;MRPL23;TYMS;MRPL24;DHODH;TOMM22;SLC25A16;MRPL3;AIFM1;PLSCR3;NNT;LYRM7;TSPO;UQCRC2;SLC25A5;NAT8L;SLC25A13;SLC25A6
GO_Cellular_Component_2023,Tertiary Granule Lumen GO1904724,4/53,0.0649609905859331,0.2827713707858265,0,0,2.780101144148345,7.6007084936336256,CNN2;TIMP2;LTA4H;PPBP
GO_Cellular_Component_2023,Organelle Inner Membrane GO0019866,17/398,0.0671901117306348,0.2868500923884794,0,0,1.5284559753771785,4.127181439037693,TIMMDC1;SMAD3;DMAC1;MRPS34;MRPL23;TYMS;MRPL24;DHODH;SLC25A16;MRPL3;AIFM1;PLSCR3;NNT;UQCRC2;SLC25A5;SLC25A13;SLC25A6
GO_Cellular_Component_2023,Glutamatergic Synapse GO0098978,5/78,0.0730546045275081,0.3060023057567323,0,0,2.3338317576693037,6.106583075114067,BCR;GSK3B;SLC4A8;TRIO;SLITRK4
GO_Cellular_Component_2023,Polymeric Cytoskeletal Fiber GO0099513,12/265,0.0803571093041211,0.3280602907209981,0,0,1.6211029147555536,4.087245783724562,KIF9;KIFC1;KIF14;COTL1;KIF23;TSC1;KIF20A;KIF11;KIF20B;SEPTIN9;LRPPRC;GAS7
GO_Cellular_Component_2023,Cell Projection Membrane GO0031253,6/105,0.0812761981515986,0.3280602907209981,0,0,2.0659505103949547,5.185333464532072,SLC12A2;FSCN3;CD36;BBS5;PLB1;ABCG2
GO_Cellular_Component_2023,Endoribonuclease Complex GO1902555,2/17,0.0839458963505783,0.3327855176755069,0,0,4.53286631640397,11.230551523758486,POP5;RPP40
GO_Cellular_Component_2023,Nuclear Lumen GO0031981,29/780,0.0924500560847547,0.3342065149999476,0,0,1.3256931933892069,3.156590450281583,POMT2;TOP2A;DDX28;POP5;RPL3;WDR3;ABCB8;STON2;MKI67;TXN2;FBL;RRS1;NUSAP1;PDK3;NAA50;CEMIP2;CD180;RRP1B;URB1;PIMREG;SPIDR;VMP1;ZEB2;GNL3L;SAPCD2;CDK4;BIRC5;POLR1G;KIF20B
GO_Cellular_Component_2023,HighDensity Lipoprotein Particle GO0034364,2/18,0.0927076396564821,0.3342065149999476,0,0,4.2493432574430825,10.106231754026934,CETP;PLTP
GO_Cellular_Component_2023,Preribosome Large Subunit Precursor GO0030687,2/18,0.0927076396564821,0.3342065149999476,0,0,4.2493432574430825,10.106231754026934,PPAN;RRS1
GO_Cellular_Component_2023,Condensed Chromosome GO0000793,4/60,0.0929063124966169,0.3342065149999476,0,0,2.431709766507657,5.778140442308377,RRS1;MKI67;SMC1A;LRPPRC
GO_Cellular_Component_2023,SerineThreonine Protein Kinase Complex GO1902554,4/60,0.0929063124966169,0.3342065149999476,0,0,2.431709766507657,5.778140442308377,CCNA2;CDK4;TGFBR1;TGFBR2
GO_Cellular_Component_2023,ActinBased Cell Projection GO0098858,5/84,0.093336954639625,0.3342065149999476,0,0,2.155910144410768,5.112825344819385,WWOX;KITLG;TGFB1;FSCN3;CD302
GO_Cellular_Component_2023,Specific Granule Lumen GO0035580,4/61,0.0972987172377772,0.3428621464569292,0,0,2.3889248604816085,5.566121999302136,CNN2;CRACR2A;TIMP2;DOCK2
GO_Cellular_Component_2023,Mitochondrial Intermembrane Space GO0005758,4/62,0.1017864859894381,0.3530718732758636,0,0,2.347615296042664,5.364014388089107,NLN;GATM;AIFM1;SDHAF3
GO_Cellular_Component_2023,CyclinDependent Protein Kinase Holoenzyme Complex GO0000307,3/40,0.1062063315720308,0.3627354709075514,0,0,2.7581792318634424,6.184862646583064,CCNA2;CCNB1;CDK4
GO_Cellular_Component_2023,AnaphasePromoting Complex GO0005680,2/20,0.1109605435886941,0.3695512514696639,0,0,3.7768048258416034,8.303609835289889,CDC20;BUB1B
GO_Cellular_Component_2023,Endocytic Vesicle GO0030139,9/196,0.1115312335516553,0.3695512514696639,0,0,1.641825008533394,3.601262059534541,COLEC12;MSR1;MARCO;CD163;SPARC;ITGB5;STAB1;CD36;MPEG1
GO_Cellular_Component_2023,Endoplasmic Reticulum Lumen GO0005788,12/284,0.1173071694502864,0.3829734061465235,0,0,1.5063699276502045,3.228089603200145,CCNA2;VCAN;P4HA1;APLP2;FN1;SPP1;TSPO;ADAM10;TIMP1;TXNDC16;CTSC;TXNDC5
GO_Cellular_Component_2023,ProtonTransporting Vtype ATPase Complex GO0033176,2/21,0.1204097792861362,0.3850447529744322,0,0,3.577841275693612,7.573769498116097,ATP6V1D;ATP6V0A1
GO_Cellular_Component_2023,Mitochondrial Envelope GO0005740,7/146,0.1268059069688263,0.3850447529744322,0,0,1.7161451051173195,3.5440072290193028,NLN;GATM;AIFM1;SDHAF3;LYRM7;ABCB8;NAT8L
GO_Cellular_Component_2023,Spindle Microtubule GO0005876,4/68,0.1306127752579635,0.3850447529744322,0,0,2.1268673110720564,4.32927722102732,KIF4A;PLK1;KIF11;CALM2
GO_Cellular_Component_2023,ATPbinding Cassette ABC Transporter Complex GO0043190,1/5,0.135285994288314,0.3850447529744322,0,0,8.489073426573427,16.981239126671532,ABCB8
GO_Cellular_Component_2023,Activin Receptor Complex GO0048179,1/5,0.135285994288314,0.3850447529744322,0,0,8.489073426573427,16.981239126671532,TGFBR1
GO_Cellular_Component_2023,External Side Of Apical Plasma Membrane GO0098591,1/5,0.135285994288314,0.3850447529744322,0,0,8.489073426573427,16.981239126671532,ABCG2
GO_Cellular_Component_2023,Platelet Dense Granule Membrane GO0031088,1/5,0.135285994288314,0.3850447529744322,0,0,8.489073426573427,16.981239126671532,LAMP2
GO_Cellular_Component_2023,Postsynaptic Recycling Endosome GO0098837,1/5,0.135285994288314,0.3850447529744322,0,0,8.489073426573427,16.981239126671532,RAB4A
GO_Cellular_Component_2023,Serine Protease Inhibitor Complex GO0097180,1/5,0.135285994288314,0.3850447529744322,0,0,8.489073426573427,16.981239126671532,PLAU
GO_Cellular_Component_2023,Symmetric Synapse GO0032280,1/5,0.135285994288314,0.3850447529744322,0,0,8.489073426573427,16.981239126671532,SLC4A8
GO_Cellular_Component_2023,Vesicle GO0031982,10/235,0.1391106652997072,0.3909185784371521,0,0,1.5158476416025262,2.989987507485817,SLC12A2;CETP;KIF9;RAB4A;AHNAK;APLP2;ITSN1;ITGB2;CALM2;PPIA
GO_Cellular_Component_2023,Cytoskeleton GO0005856,22/599,0.1410652126646933,0.3914559651445241,0,0,1.3043874851774149,2.5546859271458366,FYB1;CR1;AHNAK;CKAP2L;PLK1;CKAP2;DSTN;SEPTIN9;LRPPRC;PTK2;LIMD2;ARHGAP33;CNN2;TPX2;SMTN;CAPZB;FES;ARHGDIB;BIRC5;FSCN3;WASF1;S100A9
GO_Cellular_Component_2023,Vacuolar ProtonTransporting Vtype ATPase Complex GO0016471,2/24,0.1498176707572802,0.4084448117818546,0,0,3.089476198057634,5.864864668084008,ATP6V1D;ATP6V0A1
GO_Cellular_Component_2023,CellCell Junction GO0005911,12/299,0.1523425586138684,0.4084448117818546,0,0,1.4265218282434926,2.684177164701444,MPP1;CNN2;PDLIM2;AHNAK;SAPCD2;GAB1;PECAM1;CCN3;DCHS1;FRMD4A;FRMD4B;NECTIN1
GO_Cellular_Component_2023,ATPase Dependent Transmembrane Transport Complex GO0098533,1/6,0.1600662100226186,0.4084448117818546,0,0,6.790909090909091,12.442084539252042,ABCB8
GO_Cellular_Component_2023,Macropinosome GO0044354,1/6,0.1600662100226186,0.4084448117818546,0,0,6.790909090909091,12.442084539252042,APLP2
GO_Cellular_Component_2023,Pinosome GO0044352,1/6,0.1600662100226186,0.4084448117818546,0,0,6.790909090909091,12.442084539252042,APLP2
GO_Cellular_Component_2023,ProtonTransporting Vtype ATPase V0 Domain GO0033179,1/6,0.1600662100226186,0.4084448117818546,0,0,6.790909090909091,12.442084539252042,ATP6V0A1
GO_Cellular_Component_2023,Vacuolar ProtonTransporting Vtype ATPase V0 Domain GO0000220,1/6,0.1600662100226186,0.4084448117818546,0,0,6.790909090909091,12.442084539252042,ATP6V0A1
GO_Cellular_Component_2023,Nucleolus GO0005730,27/771,0.1649597941178023,0.4161485715244559,0,0,1.2417803970223324,2.237754719114347,POMT2;TOP2A;DDX28;POP5;RPL3;WDR3;ABCB8;STON2;MKI67;TXN2;FBL;RRS1;NUSAP1;PDK3;NAA50;CEMIP2;CD180;RRP1B;URB1;PIMREG;VMP1;ZEB2;GNL3L;SAPCD2;CDK4;POLR1G;KIF20B
GO_Cellular_Component_2023,Endocytic Vesicle Membrane GO0030666,7/159,0.1725697419415092,0.4304548619215173,0,0,1.5683117909615027,2.755451396955474,COLEC12;MSR1;MARCO;CD163;STAB1;CD36;ATP6V0A1
GO_Cellular_Component_2023,Endolysosome GO0036019,2/28,0.1908671783790685,0.4582339829530875,0,0,2.613633301899501,4.328640652163764,CTSK;TLR7
GO_Cellular_Component_2023,Chromosome GO0005694,7/164,0.1918518315664375,0.4582339829530875,0,0,1.517971686435147,2.506219701080798,TOP2A;BIRC5;BRCA1;RRP1B;MKI67;SMC1A;SPIDR
GO_Cellular_Component_2023,Microbody Membrane GO0031903,3/53,0.1938221291595748,0.4582339829530875,0,0,2.039684210526316,3.3467432250922697,IMPDH2;CAT;PXMP4
GO_Cellular_Component_2023,Peroxisomal Membrane GO0005778,3/53,0.1938221291595748,0.4582339829530875,0,0,2.039684210526316,3.3467432250922697,IMPDH2;CAT;PXMP4
GO_Cellular_Component_2023,Lytic Vacuole Membrane GO0098852,11/287,0.202699845327017,0.4582339829530875,0,0,1.3581218732270874,2.1676018797059102,SLC46A3;SEC13;DAB2;MARCHF1;MIOS;AHNAK;GAA;LAMP2;ARRB1;ATP6V1D;ATP6V0A1
GO_Cellular_Component_2023,AP2 Adaptor Complex GO0030122,1/8,0.2075201126303875,0.4582339829530875,0,0,4.85014985014985,7.626991669405603,STON2
GO_Cellular_Component_2023,Clathrin Coat Of Endocytic Vesicle GO0030128,1/8,0.2075201126303875,0.4582339829530875,0,0,4.85014985014985,7.626991669405603,STON2
GO_Cellular_Component_2023,Perineuronal Net GO0072534,1/8,0.2075201126303875,0.4582339829530875,0,0,4.85014985014985,7.626991669405603,VCAN
GO_Cellular_Component_2023,Phosphatidylinositol 3Kinase Complex Class I GO0097651,1/8,0.2075201126303875,0.4582339829530875,0,0,4.85014985014985,7.626991669405603,PIK3R1
GO_Cellular_Component_2023,Phosphatidylinositol 3Kinase Complex Class IA GO0005943,1/8,0.2075201126303875,0.4582339829530875,0,0,4.85014985014985,7.626991669405603,PIK3R1
GO_Cellular_Component_2023,Platelet Dense Tubular Network Membrane GO0031095,1/8,0.2075201126303875,0.4582339829530875,0,0,4.85014985014985,7.626991669405603,IRAG1
GO_Cellular_Component_2023,Lipid Droplet GO0005811,4/82,0.2084758210732515,0.4582339829530875,0,0,1.7438601234734803,2.734254458276258,RDH10;LPCAT2;TSC1;PLIN2
