,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
125,prerank,GO_Molecular_Function_2023__Single-Stranded RNA Binding (GO:0003727),-0.7554367086061897,-1.5943099673036656,0.04088586030664395,0.525516886292622,1.0,1/42,0.03%,DDX3X
128,prerank,GO_Biological_Process_2023__Positive Regulation Of Interferon-Beta Production (GO:0032728),-0.758980070831906,-1.5889736766700981,0.026936026936026935,0.530089013597977,1.0,1/36,0.03%,DDX3X
131,prerank,GO_Biological_Process_2023__Regulation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0043281),-0.7011215012511923,-1.5835292073756049,0.03898305084745763,0.5345941524639812,1.0,1/81,0.03%,DDX3X
133,prerank,GO_Biological_Process_2023__Positive Regulation Of Type I Interferon Production (GO:0032481),-0.6887620713387432,-1.5784764916734846,0.028380634390651086,0.5383531348364039,1.0,1/63,0.03%,DDX3X
136,prerank,WikiPathway_2021_Human__Regulation of sister chromatid separation at the metaphase-anaphase transition WP4240,-0.8606746635993148,-1.5740471862523517,0.019097222222222224,0.5415066096489781,1.0,1/15,0.12%,SMC1A
139,prerank,GO_Biological_Process_2023__Ribosome Biogenesis (GO:0042254),-0.6304927952643483,-1.567503229034972,0.03436426116838488,0.5499560920118716,1.0,1/155,0.03%,RPS4X
141,prerank,GO_Biological_Process_2023__Vesicle Coating (GO:0006901),-0.7561741448771307,-1.5652039347779252,0.023769100169779286,0.5482335478488156,1.0,1/28,0.08%,TRAPPC2
143,prerank,GO_Biological_Process_2023__Regulation Of Interferon-Beta Production (GO:0032648),-0.715812345987022,-1.5601430085086392,0.04180602006688963,0.5533141277678647,1.0,2/50,2.24%,DDX3X;REL
144,prerank,WikiPathway_2021_Human__Rett syndrome causing genes WP4312,-0.7274154271448264,-1.5595267577497784,0.03257328990228013,0.5471671139639619,1.0,3/45,2.24%,HDAC8;SMC1A;SCN2A
145,prerank,GO_Biological_Process_2023__Negative Regulation Of Translation (GO:0017148),-0.6672528526546135,-1.557726749444798,0.03866432337434095,0.5440781597476102,1.0,5/106,2.97%,DDX3X;NHLRC3;ENC1;ZAR1;GZMB
146,prerank,GO_Biological_Process_2023__Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),-0.6586623753712479,-1.5566530136097765,0.0297029702970297,0.5392890650352832,1.0,2/84,0.89%,DDX3X;SCEL
147,prerank,GO_Biological_Process_2023__Protein Localization To Cilium (GO:0061512),-0.7296865866497673,-1.5545469466105488,0.03205128205128205,0.5372898005688866,1.0,3/39,2.00%,TULP2;TMEM107;FSIP2
148,prerank,GO_Biological_Process_2023__COPII Vesicle Coating (GO:0048208),-0.8054120916754487,-1.5542997953456639,0.030035335689045935,0.5237556486869139,1.0,1/19,0.08%,TRAPPC2
149,prerank,"GO_Biological_Process_2023__Vesicle Targeting, Rough ER To cis-Golgi (GO:0048207)",-0.8054120916754487,-1.5542997953456639,0.030035335689045935,0.5237556486869139,1.0,1/19,0.08%,TRAPPC2
150,prerank,GO_Biological_Process_2023__Regulation Of NIK/NF-kappaB Signaling (GO:1901222),-0.6681086603035997,-1.5492955848325172,0.03618421052631579,0.5297000200057751,1.0,2/81,0.39%,DDX3X;LRRC19
151,prerank,GO_Biological_Process_2023__Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557),-0.6517866993203825,-1.548801709389287,0.04111842105263158,0.5240757904544845,1.0,2/120,0.03%,RPS4X;DDX3X
154,prerank,GO_Biological_Process_2023__Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242),-0.7072566639053397,-1.5390695755291774,0.03305785123966942,0.5423135713715118,1.0,1/48,0.03%,DDX3X
159,prerank,GO_Biological_Process_2023__Calcium-Dependent Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0016339),-0.7281680048364423,-1.5353100299729256,0.035175879396984924,0.5452344139864908,1.0,3/35,2.11%,CDH12;CDH26;CDH7
162,prerank,GO_Biological_Process_2023__Negative Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001237),-0.6647847382019403,-1.5316715584578324,0.035058430717863104,0.5484852609956642,1.0,1/66,0.03%,DDX3X
163,prerank,GO_Biological_Process_2023__Adherens Junction Organization (GO:0034332),-0.7237693228035733,-1.5302294690491223,0.04241435562805873,0.5455992138377146,1.0,3/32,2.11%,CDH12;CDH26;CDH7
166,prerank,KEGG_2021_Human__RIG-I-like receptor signaling pathway,-0.6834150589223009,-1.5253477811114338,0.028145695364238412,0.5520453120509262,1.0,1/56,0.03%,DDX3X
167,prerank,GO_Biological_Process_2023__Negative Regulation Of Cellular Component Organization (GO:0051129),-0.6581627162111662,-1.5210923745255847,0.03599374021909233,0.5570720015641281,1.0,1/72,0.03%,DDX3X
170,prerank,GO_Biological_Process_2023__Extrinsic Apoptotic Signaling Pathway (GO:0097191),-0.65657174576073,-1.5199493802594615,0.03140495867768595,0.5533527698335016,1.0,1/66,0.03%,DDX3X
181,prerank,WikiPathway_2021_Human__Aryl Hydrocarbon Receptor Pathway WP2873,-0.6945245195275944,-1.5118901233198736,0.04241435562805873,0.5701778135295202,1.0,1/40,0.03%,IGFBP1
182,prerank,GO_Biological_Process_2023__Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),-0.711616124549294,-1.510024573371397,0.048,0.5689866500355312,1.0,1/38,0.03%,DDX3X
183,prerank,GO_Biological_Process_2023__Regulation Of Translational Initiation (GO:0006446),-0.6621109766573362,-1.5094004851563916,0.040783034257748776,0.5643062585412083,1.0,1/61,0.03%,DDX3X
190,prerank,GO_Biological_Process_2023__Translation (GO:0006412),0.9920396777057298,1.5023534294938516,0.03811659192825112,1.0,1.0,1/232,0.01%,RPS4Y1
192,prerank,GO_Biological_Process_2023__Spindle Assembly (GO:0051225),-0.6426352238920139,-1.4986839906875395,0.040268456375838924,0.5895582506143675,1.0,5/72,5.05%,SMC1A;OFD1;GOLGA8M;GOLGA8K;GOLGA8S
193,prerank,GO_Biological_Process_2023__RNA Metabolic Process (GO:0016070),-0.6285796873402418,-1.4966833403276627,0.02586206896551724,0.5889205997461769,1.0,2/109,0.71%,DDX3X;CTAG2
194,prerank,GO_Molecular_Function_2023__G Protein-Coupled Peptide Receptor Activity (GO:0008528),-0.6555092170425921,-1.49595274009795,0.03858520900321544,0.5845597057129365,1.0,11/60,12.10%,RXFP4;FBXW7-AS1;NMUR1;NPY6R;MCHR1;GPR151;LTB4R2;GPR83;GPR171;BRS3;VIPR1
195,prerank,GO_Cellular_Component_2023__Catenin Complex (GO:0016342),-0.7441323816651264,-1.4920561622557063,0.03908794788273615,0.5903474199066688,1.0,3/25,2.11%,CDH12;CDH26;CDH7
205,prerank,GO_Biological_Process_2023__Protein Localization To Organelle (GO:0033365),-0.6092974537455408,-1.4789989282270097,0.03924914675767918,0.6250288328296105,1.0,5/134,3.92%,DDX3X;TULP2;FSIP2;TRAM1L1;PAQR3
207,prerank,GO_Biological_Process_2023__Cellular Response To Chemical Stress (GO:0062197),-0.6268443078188816,-1.4750989490716404,0.041050903119868636,0.6313839467856798,1.0,2/85,1.61%,DDX3X;ERMP1
225,prerank,GO_Biological_Process_2023__Positive Regulation Of Wnt Signaling Pathway (GO:0030177),-0.602255355112304,-1.456321268969307,0.04658901830282862,0.6496955536622733,1.0,3/108,3.09%,DDX3X;SCEL;DISC1
228,prerank,GO_Biological_Process_2023__Non-Membrane-Bounded Organelle Assembly (GO:0140694),-0.6086591356705918,-1.451063873127425,0.04869565217391304,0.6618050813892726,1.0,5/125,2.05%,DDX3X;GOLGA8M;LMOD2;ZAR1;GOLGA8K
