"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"EDN1",-0.299072183333333,-0.517956098333333,-1.30440472941693,0.230889314024627,0.53848314556819,-6.08390206321422
"C6orf15",-0.38347324,-0.318472313333333,-1.30432197075528,0.230916095860987,0.53848314556819,-6.08400063457921
"OGN",0.351455566666667,0.150922276,1.30393474098624,0.23104144419184,0.53848314556819,-6.08446180046924
"THAP1",-0.272851312666667,-0.214191120666667,-1.30386324327461,0.231064594774263,0.53848314556819,-6.08454694031659
"TFF1",0.259346644666667,0.173726557,1.30354213285364,0.231168593218664,0.538531022397125,-6.08492928431063
"PRKCI",-0.249253439333333,-0.179072940333333,-1.30291732965892,0.2313710642961,0.538808184013979,-6.08567306455188
"GTPBP1",-0.248961776333333,-0.185096108166667,-1.30196438157892,0.231680165979241,0.539333373399727,-6.08680704670758
"SEPTIN7P2",-0.24639797,-0.115619816666667,-1.30122781614304,0.231919323953717,0.539695419211444,-6.08768318375597
"NPAS4",-0.393800502333334,0.0560784463333333,-1.30075046677859,0.232074429352289,0.539861677220735,-6.08825082019742
"MAP3K9",0.272754196666667,0.185583593333333,1.30006899947294,0.232296013228802,0.540182404816382,-6.08906095594457
"ZSCAN30",0.30262518,0.159175001666667,1.29975445360472,0.232398351269279,0.540225706318681,-6.08943480177995
"ARF3",-0.242894176666667,-0.314044638333333,-1.29918947395454,0.2325822655484,0.540458537840772,-6.09010615221697
"MINK1",-0.40198659,-0.699135548333333,-1.2989111518325,0.232672911913971,0.540474550245089,-6.09043680778861
"C16orf89",-0.818577420000001,0.10027787,-1.29851394179008,0.232802331233834,0.540517595080907,-6.09090862906317
"NIPSNAP3A",-0.277491885333333,-0.0884119903333333,-1.29834017639621,0.232858967042449,0.540517595080907,-6.09111500578255
"RP1L1",0.459139193333333,0.0706892516666667,1.2980758578423,0.232945139745549,0.540523188341613,-6.09142889695325
"TBX2",-0.256428521333333,-0.187376577333333,-1.29766151827622,0.23308027710885,0.5406423537683,-6.09192086468634
"TESK1",0.278511683333333,0.194852512833333,1.29698844420966,0.233299944396472,0.54095723167788,-6.09271983169844
"CACNB3",-0.345415594,-0.190660158666667,-1.29673199445246,0.233383687120908,0.54095723167788,-6.09302417978595
"FGA",-0.56628852,0.162184694333333,-1.2961635269994,0.23356940998034,0.54119332229915,-6.09369868780287
"UNC119",-0.373489696666667,-0.552442558333333,-1.29541883979323,0.233812896963834,0.541563038086009,-6.09458200596794
"ATP5PDP4",-0.340923946666667,-0.084349,-1.29513435313523,0.233905971695162,0.541584225098272,-6.09491936841315
"AKAP3",-0.327025452666667,-0.301047919666667,-1.2939217873757,0.234303039780979,0.54226739178026,-6.09635678360001
"BICD1",-0.495026206666667,-0.495604833333333,-1.29365985521733,0.234388888188342,0.54226739178026,-6.09666717528253
"NALF1",-0.254947225666667,-0.240364035166667,-1.29341026957996,0.234470715090326,0.54226739178026,-6.09696289943311
"ST18",0.290002026666667,0.208704671666667,1.29307995419895,0.234579046947372,0.54226739178026,-6.0973542218238
"HLA-DQB1",-0.6756048,-0.939620666666667,-1.29285254010948,0.234653655710609,0.54226739178026,-6.09762360116494
"CCL20",0.932638796666667,0.396976726666667,1.29269538463944,0.234705226288899,0.54226739178026,-6.09780973946163
"BCOR",-0.482842763,-0.236995743166667,-1.29189835143221,0.234966922279938,0.542492276028259,-6.09875354309607
"EPB41L4A",-0.544148883333334,-0.00387927666666669,-1.29188685876358,0.234970697582362,0.542492276028259,-6.09876714940984
"CPNE7",-0.306765237333333,-0.261541207,-1.29108937535498,0.235232795048487,0.542749907326172,-6.09971111357941
"NPM1P7",0.253399530666667,0.177931946166667,1.29103552523843,0.235250502214676,0.542749907326172,-6.09977484156967
"RICTOR",-0.271357535,-0.217432656666667,-1.29069146616974,0.235363663748827,0.542767825274067,-6.10018197275073
"MIOS",0.450482273333334,0.116858790166667,1.2905005074468,0.235426490460578,0.542767825274067,-6.10040790804139
"DMBX1",0.373194696666667,-0.0109411883333333,1.2895482523792,0.235740003141377,0.543296514382609,-6.10153426601896
"LAIR2",0.252996126666667,0.2859734695,1.28917485622933,0.235863034525045,0.543385991356699,-6.10197578773164
"LRRC57",0.247024856666667,0.251162288333333,1.28855764324902,0.236066522294081,0.543660695347504,-6.10270543318287
"FAM13A",-0.245739776666667,-0.134033065,-1.28823411672484,0.236173245122066,0.543683082104015,-6.10308780559965
"CXCL10",-1.22627193333333,-0.19560403,-1.28801742662246,0.236244748523114,0.543683082104015,-6.10334387529606
"FGFR1OP2",-0.275032678333333,-0.148765880833333,-1.28732272829859,0.236474109936408,0.543723832248357,-6.10416463912579
"EPB42",0.312586393666667,0.131016731833333,1.28725526719998,0.236496393016446,0.543723832248357,-6.10424432733694
"ZNF431",0.399425346666667,0.345053745,1.28703219767208,0.236570087913561,0.543723832248357,-6.10450780870817
"AGAP11",0.34393819,0.14993874,1.28688677381703,0.236618141786174,0.543723832248357,-6.1046795623641
"GRPEL2",-0.293755856666667,-0.380088975,-1.28646419186405,0.236757827176905,0.543723832248357,-6.1051785854476
"ADPRHL1",-0.35083834,-0.364246051666667,-1.28643339466763,0.236768010013619,0.543723832248357,-6.10521494951448
"RBM5",0.265898706666667,0.0986288391666667,1.28570663088903,0.237008417108641,0.544082289435097,-6.10607292243562
"CD79A",0.618028976666667,0.624403641666667,1.28537967589831,0.237116638993026,0.544086437912302,-6.10645880539748
"NIPSNAP2",0.242483774666667,0.237893012333333,1.28515432630814,0.237191254143598,0.544086437912302,-6.10672473415802
"SMARCE1",-0.304813225,-0.116392293833333,-1.28493718621887,0.23726317004265,0.544086437912302,-6.10698094717178
"NOL8",-0.268837931,-0.208584627166667,-1.28428671694763,0.237478714304337,0.544369858906586,-6.10774829989692
"SPATA46",0.41401537,0.49029561,1.28405517054509,0.237555481587005,0.544369858906586,-6.10802139365634
"H2AC20",-0.46102968,-0.0377384766666667,-1.2837171291355,0.2376675944751,0.544433435267241,-6.10842003521182
"PEPD",0.271165838333333,0.413059230833333,1.2821655172954,0.238182773255462,0.545256704638129,-6.11024894770179
"TBC1D2B",0.257034624333333,0.144017378833333,1.2821257830035,0.238195978672693,0.545256704638129,-6.11029576478224
"CD93",0.568422314666667,0.598962464,1.28124147404956,0.238490034459244,0.545736238427483,-6.11133746671042
"TRIML1",-0.515703636666667,0.436240896666667,-1.27991341104189,0.238932232190667,0.546554304972127,-6.11290104580341
"BRF2",0.251180486666667,0.1719827635,1.27821439742377,0.239498963206669,0.547656559026447,-6.11489985516423
"PRICKLE3",-0.240944863333333,-0.345459936666667,-1.27722825964847,0.239828429587099,0.548007959419828,-6.11605922433224
"ARHGDIB",-0.32742373,-0.23350938,-1.27713792943945,0.239858628017282,0.548007959419828,-6.11616539403378
"P2RY1",-0.434291845333334,-0.068009386,-1.27699204671862,0.239907405138852,0.548007959419828,-6.11633684733115
"AP2B1",0.292774826666667,0.302094771833333,1.27571947839445,0.240333257872343,0.548786451893216,-6.11783194406843
"UBALD1",-0.226512913333333,-0.30807384,-1.27534632526407,0.24045825207446,0.548877644370884,-6.11827016856638
"LEAP2",0.274111273333334,0.249954463333333,1.27483890636019,0.240628309841517,0.549071599507536,-6.11886594117343
