"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LINC00504",1.714156775,2.02622256666667,4.9644434707959,0.00129854166781735,0.021740039903794,-0.891158984844776
"CD1C",3.564185675,3.07489318333333,4.96082715839951,0.00130419797252579,0.021740039903794,-0.895764972120434
"XRCC2",1.0502198,1.10143715,4.94182875245706,0.00133436156647883,0.021740039903794,-0.919994871844009
"SEL1L3",1.373600025,1.30245353333333,4.90871512076627,0.00138878382595692,0.0218382351821358,-0.962356268122099
"SUV39H2",1.279383175,1.205057225,4.87077074730801,0.00145416014838891,0.0218673688541776,-1.01109991577866
"HLTF",1.0470349825,0.986404895,4.86717102925265,0.00146053556115768,0.0218673688541776,-1.01573537619445
"MMAB",1.039433945,1.35095643,4.85984806420394,0.00147360003234808,0.0219104631537838,-1.02517137929481
"MT2A",2.037652525,2.18819016666667,4.83284017741509,0.00152290316926405,0.0221192713649804,-1.060042068984
"GPX3",1.2115519,1.35514593333333,4.82959133760443,0.00152895485291202,0.0221192713649804,-1.06424413302641
"REXO5",1.056710485,0.834309818333333,4.76061167032284,0.00166387422172866,0.0228296681565742,-1.15383745217994
"MSH2",1.0556559475,1.06425825666667,4.74843967610821,0.00168900958449909,0.0228296681565742,-1.16972118773268
"CCDC138",1.1516600675,0.6506278,4.74579129779,0.00169453345572556,0.0228296681565742,-1.17318011822018
"LINC02901",1.0669325075,1.09246877166667,4.74398439890576,0.00169831356295717,0.0228296681565742,-1.17554063502879
"RANBP1P1",1.1434727825,1.10091597666667,4.72575410402056,0.00173697313536754,0.0228296681565742,-1.19938401152335
"TP53I11",1.0191635,1.20805583333333,4.69956447219943,0.00179420865871605,0.02291053775766,-1.23372490288492
"EVL",1.402596,1.6250027,4.68943163547589,0.00181690460919894,0.0230796957542535,-1.2470391649748
"POGLUT2",1.148907275,1.22663313333333,4.65540177823725,0.0018954561691835,0.0233150407460375,-1.29186643986838
"ID2B",1.07055209,0.977069201666667,4.65477706471202,0.00189693251030561,0.0233150407460375,-1.29269099773754
"CCDC150",1.220147495,0.981034996666667,4.64379847744138,0.00192308383500975,0.0233691050870803,-1.3071911819586
"BCL2A1",1.5440662,1.77921756666667,4.64082949482071,0.00193022361869112,0.0233691050870803,-1.31111563565644
"TOX",2.811651975,1.99596832333333,4.62689732193155,0.00196411713900479,0.0233957724482288,-1.32954911848946
"CCL17",4.448783875,4.0914397,4.62534791875091,0.00196792649635472,0.0233957724482288,-1.33160091621482
"RAD54B",1.25373436,1.30086550666667,4.62437495792362,0.0019703227445695,0.0233957724482288,-1.33288954426816
"SDC2",1.25648262,1.18845281333333,4.61453080534423,0.00199474762460321,0.0234892452948257,-1.34593552871673
"RAB40B",1.075394505,1.10214613666667,4.58397450219213,0.00207269578191464,0.0239237044740327,-1.38652300600092
"DCANP1",1.6309712125,1.27863320833333,4.57928375143117,0.00208495383460619,0.0239490388450027,-1.39276606500686
"HLA-DQA1",1.01947379,0.801125205,4.56781536358489,0.00211525846996663,0.0239890385003421,-1.40804357901608
"AMIGO2",1.91684282,1.82703113833333,4.5595668643986,0.00213735226096879,0.0240704927182035,-1.41904393838104
"CENPL",1.0466858125,0.897956286666667,4.54918460835068,0.00216552054632302,0.0240923654545872,-1.43290441246089
"PPFIBP1",1.1550891375,1.28755950833333,4.54106264660822,0.00218783916881886,0.0240923654545872,-1.4437586162894
"COLEC12",1.397480725,1.50680813333333,4.52920703228971,0.00222087000120359,0.0241608546534153,-1.45962021349982
"STEAP1",1.004917975,1.86216553333333,4.51975427850776,0.00224759659680248,0.0242571243609004,-1.47228210371584
"L2HGDH",1.0851078125,0.926793661666667,4.51517438201455,0.00226067189164879,0.0242571243609004,-1.47842164713291
"CNKSR3",2.1575129,2.33688838333333,4.50483282903944,0.00229050290467247,0.0243096286919732,-1.49229647136437
"CHEK2",1.03038882,1.00895022166667,4.48837130086507,0.0023388778122563,0.0244246561316699,-1.51441518058453
"ARHGAP33",0.86862705,0.817641723333333,4.45786513954433,0.00243150005878779,0.0248266928470848,-1.55551206741439
"WWTR1",1.694529535,1.84558655666667,4.45622003317272,0.00243660739701631,0.0248395379667397,-1.55773224430738
"PDLIM4",1.4632366875,1.635252325,4.43607888197612,0.00250009473303377,0.0250801467489968,-1.58494670714188
"ID2",1.032984975,1.10940424166667,4.43252126353745,0.00251149515225126,0.0251266328953138,-1.5897599911405
"TMEM106C",1.380267635,1.51174499,4.42577115087768,0.00253328210293176,0.0251682782411924,-1.5988977393373
"CHRNA5",0.90000582,0.884461246666667,4.41820507829283,0.00255794795623728,0.0251682782411924,-1.60914812034461
"ABCG1",1.576920975,1.43417246666667,4.41551077239748,0.00256679468813226,0.0251682782411924,-1.61280037264262
"ZNF682",1.0461712875,0.878384101666667,4.4065513593682,0.00259645359026171,0.0252234858577938,-1.62495301361772
"CD1A",3.924078,3.3526853,4.39863205114669,0.00262298059768959,0.025326921577732,-1.63570476887238
"DHFR",1.536611665,1.56290172666667,4.38623574587663,0.00266509905154961,0.0255540626740707,-1.65255345999199
"RFC3",1.1596129925,1.001740045,4.36447031253216,0.00274084483991115,0.0260098113999215,-1.68219147835041
"C5orf34",1.2804024125,0.96161762,4.36031361543774,0.00275557557994015,0.0260130058178394,-1.68785963144904
"FADS2",0.954075325,1.25729051666667,4.35453015533031,0.00277621500132753,0.0261150370314381,-1.69575032004317
"CENPQ",0.92073275,0.744041925,4.34183294665592,0.00282212061063266,0.0264613642418805,-1.71309114466153
"TMEM266",1.5311935325,1.80464568833333,4.31594144244339,0.0029183114021515,0.026969259824702,-1.74852536674484
"ANXA11",1.0296401825,1.00409888,4.30736909519994,0.00295094085665571,0.0270186330347824,-1.76027893999617
"ITPRIPL1",1.3923048,1.39450145833333,4.29483677304567,0.00299936013412121,0.0270850808237389,-1.77748148863
"MAP2K6",1.07568966,0.949396678333333,4.28997090225096,0.00301839210470291,0.0270850808237389,-1.78416686446113
"PLD4",1.59645449,1.41301122166667,4.28779227151193,0.00302695597666886,0.0270914659049156,-1.78716128112132
"TUBB",0.824059735,0.875830013333333,4.27266846838558,0.00308713910139427,0.0274020751324584,-1.80796735847558
"IL2RG",1.0616972425,1.24585486166667,4.2624639155794,0.00312848157548484,0.027644829036254,-1.82202486334607
"ESPL1",0.991042855,0.942200353333333,4.25354796933398,0.00316509654926054,0.0276752954368269,-1.83431968442772
"C5",1.00962687,0.757400276666667,4.24582627205923,0.00319718381157085,0.0277786931156818,-1.84497705415362
"ATF3",2.072797775,1.83081690666667,4.24552436820554,0.00319844552687922,0.0277786931156818,-1.84539391404909
"STARD4",1.1295547425,1.187126635,4.24428295299632,0.00320363933655677,0.0277864040844097,-1.84710816313474
"SEMA3C",1.44892061,1.52827962333333,4.22223573749359,0.0032974239836887,0.0282418434514746,-1.87759019780669
"AOC3",2.1409024,1.79782605,4.22165952359162,0.0032999147624999,0.0282418434514746,-1.8783878082569
"ST20",1.3778798575,1.60890962166667,4.20722091661491,0.00336300030340156,0.0285163989368694,-1.89838985791535
"NLRP2",1.48642899125,1.60061106083333,4.20523776927962,0.00337176699036593,0.0285163989368694,-1.90113950984794
"GPAT2",1.50867845,1.84273943333333,4.20284654468724,0.00338237065268573,0.02856238641622,-1.90445572318839
"CCR5",1.135316375,0.969003203333333,4.18464874303215,0.00346426394961332,0.0289683220907347,-1.92972005393903
"ZGRF1",0.81631826,0.710419961666667,4.17953860623144,0.00348764592795798,0.0290001776928214,-1.93682316327148
"CKAP4",1.066236005,0.96633322,4.17841583396303,0.00349280622311338,0.0290001776928214,-1.93838432649969
